Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,2284.0,2274.0,3030.0,2642.0,2440.0,2437.0,2518.0,2291.0,2657.0,2408.0,2718.0,2697.0,1299.0,2646.0,912.0,2902.0,3137.0,3007.0,2749.0,2362.0,669.0,912.0,739.0,1390.0,3174.0,3281.0,1414.0,2035.0,3109.0,1353.0
AluminiumConcentration,10885.0,10475.0,10074.0,10451.0,10935.0,10284.0,10293.0,10474.0,10974.0,10320.0,10515.0,10973.0,10383.0,10304.0,11304.0,10986.0,11085.0,10823.0,11174.0,10818.0,10970.0,11133.0,11076.0,11037.0,11067.0,11134.0,11160.0,11104.0,11273.0,10954.0
AppliancesEnergy,4598.0,4597.0,4598.0,4598.0,4596.0,4600.0,3862.0,3631.0,3851.0,3645.0,3855.0,3632.0,3855.0,3848.0,3621.0,3630.0,3861.0,3853.0,3858.0,3854.0,3853.0,3640.0,3862.0,3855.0,3860.0,3835.0,3642.0,3842.0,3645.0,3856.0
AustraliaRainfall,121559.0,118852.0,120148.0,119424.0,120178.0,118436.0,120515.0,119830.0,118697.0,119205.0,114552.0,118878.0,114688.0,114987.0,120198.0,117540.0,114779.0,115561.0,114103.0,115269.0,118159.0,115512.0,115905.0,116367.0,115236.0,101950.0,101737.0,101729.0,103455.0,102855.0
BIDMC32HR,824717.0,557093.0,575507.0,1237378.0,565480.0,833142.0,563086.0,902648.0,584985.0,900212.0,550987.0,1059720.0,572424.0,983740.0,564875.0,573764.0,1064900.0,597646.0,1036230.0,596869.0,618643.0,980222.0,571718.0,964417.0,562833.0,976137.0,548979.0,1216065.0,565735.0,558293.0
BIDMC32RR,1170309.0,1044262.0,1356511.0,858199.0,781007.0,632131.0,1193697.0,1004852.0,1161788.0,1300284.0,854550.0,849915.0,912424.0,599511.0,1091646.0,1110304.0,1026378.0,1115152.0,1140729.0,1123387.0,1065267.0,1085678.0,1507850.0,1088903.0,1148401.0,1091839.0,1073384.0,1056138.0,1064222.0,1010650.0
BIDMC32SpO2,1560456.0,556915.0,484390.0,560103.0,995798.0,1138039.0,1102810.0,1240452.0,1197177.0,1071033.0,1447077.0,1082022.0,1434112.0,1026382.0,1057101.0,1272265.0,1217519.0,1011524.0,1343372.0,1007430.0,1149500.0,1328146.0,1075372.0,1020726.0,1298063.0,1074932.0,977970.0,500587.0,547813.0,550867.0
BarCrawl6min,2557.0,4059.0,4064.0,4054.0,4054.0,4059.0,4055.0,4056.0,4051.0,4056.0,4055.0,4060.0,4059.0,4061.0,4054.0,2743.0,2748.0,2748.0,2739.0,2736.0,2759.0,2755.0,2724.0,2760.0,2758.0,2769.0,2768.0,2761.0,2752.0,2751.0
BeijingIntAirportPM25Quality,2949.0,2867.0,2970.0,2840.0,2840.0,2838.0,2840.0,2840.0,2904.0,2394.0,2399.0,2508.0,2390.0,2407.0,2396.0,2565.0,2398.0,2566.0,2389.0,2392.0,2392.0,2463.0,2395.0,2721.0,2720.0,2721.0,2721.0,2720.0,2708.0,2933.0
BeijingPM10Quality_nmv,34103.0,34073.0,34044.0,34062.0,34029.0,34056.0,34053.0,34055.0,34075.0,34028.0,34045.0,34049.0,34637.0,34396.0,35043.0,34522.0,34600.0,34149.0,34949.0,34548.0,34111.0,34578.0,35050.0,34222.0,34625.0,34529.0,34617.0,34518.0,34747.0,35962.0
BeijingPM25Quality_nmv,34018.0,34566.0,34074.0,34071.0,34066.0,35709.0,36050.0,36873.0,35734.0,35443.0,35588.0,35390.0,36051.0,36597.0,35484.0,35799.0,35801.0,35660.0,36342.0,35130.0,35408.0,34939.0,34950.0,34967.0,31918.0,32565.0,31941.0,32120.0,32451.0,32063.0
BenzeneConcentration_nmv,64190.0,64325.0,63997.0,64275.0,63979.0,64263.0,65309.0,58589.0,59387.0,58670.0,58820.0,58971.0,59276.0,60437.0,59332.0,59232.0,59037.0,58910.0,59198.0,59190.0,62695.0,62615.0,63144.0,63579.0,63083.0,62811.0,63407.0,62909.0,62856.0,63144.0
BinanceCoinSentiment,804.0,803.0,804.0,803.0,803.0,804.0,804.0,803.0,804.0,803.0,803.0,803.0,804.0,803.0,1019.0,1019.0,1019.0,830.0,830.0,830.0,830.0,1016.0,1016.0,1015.0,1016.0,1015.0,1016.0,1018.0,1016.0,1016.0
BitcoinSentiment,1118.0,1115.0,1113.0,1115.0,1115.0,1116.0,1116.0,1115.0,1116.0,1116.0,1115.0,1115.0,1116.0,1115.0,1300.0,1305.0,1318.0,958.0,1015.0,955.0,958.0,1561.0,1560.0,1562.0,1562.0,1562.0,1562.0,1509.0,1509.0,1509.0
BoronConcentration,10862.0,11430.0,10961.0,10783.0,11117.0,10790.0,10781.0,10803.0,10877.0,11163.0,11025.0,10816.0,11056.0,11021.0,10997.0,11196.0,10879.0,10893.0,11318.0,10963.0,11142.0,11176.0,11217.0,11406.0,11129.0,11224.0,11337.0,11158.0,11132.0,11227.0
CalciumConcentration,9733.0,9917.0,9792.0,10327.0,9728.0,10325.0,9877.0,9827.0,9796.0,9950.0,10004.0,10330.0,9776.0,9938.0,9901.0,9897.0,10099.0,9795.0,9813.0,9974.0,9963.0,9664.0,10034.0,9889.0,9761.0,11524.0,11522.0,11526.0,11515.0,11522.0
