Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,990.0,815.0,1594.0,679.0,1341.0,909.0,1341.0,1556.0,1338.0,1335.0,1302.0,693.0,604.0,694.0,1344.0,594.0,600.0,674.0,590.0,600.0,637.0,571.0,646.0,663.0,646.0,646.0,674.0,667.0,1256.0,1156.0
AluminiumConcentration,11599.0,11489.0,11828.0,11364.0,11546.0,11824.0,11787.0,11475.0,11541.0,11882.0,11530.0,11229.0,11634.0,11662.0,11475.0,12323.0,11031.0,11001.0,11788.0,11731.0,11476.0,11638.0,11733.0,11819.0,11947.0,9927.0,10119.0,9774.0,9875.0,10229.0
AppliancesEnergy,3290.0,3208.0,3180.0,3175.0,3368.0,3240.0,3193.0,3238.0,3189.0,3361.0,3403.0,3374.0,3333.0,3365.0,3390.0,3474.0,3601.0,3601.0,3369.0,3379.0,3374.0,3601.0,3600.0,3375.0,3383.0,3376.0,3381.0,3381.0,3369.0,3374.0
AustraliaRainfall,117065.0,117454.0,117157.0,119036.0,116985.0,115681.0,116701.0,115440.0,115089.0,113673.0,118387.0,112479.0,114683.0,115280.0,114058.0,114914.0,113285.0,114309.0,114213.0,115105.0,115395.0,114073.0,114054.0,114683.0,114057.0,113685.0,120856.0,122351.0,118392.0,118276.0
BIDMC32HR,446152.0,453168.0,452943.0,449848.0,447529.0,448057.0,449173.0,452085.0,443013.0,446426.0,447843.0,457014.0,440406.0,449131.0,452653.0,446346.0,447098.0,443984.0,446021.0,455276.0,449436.0,443345.0,448749.0,450819.0,440560.0,449701.0,445674.0,447116.0,463384.0,456830.0
BIDMC32RR,424517.0,395925.0,401868.0,409257.0,419953.0,409182.0,432238.0,445652.0,422597.0,442925.0,450533.0,429268.0,393492.0,395093.0,388203.0,413413.0,398926.0,403910.0,400595.0,405705.0,399332.0,409578.0,399134.0,405047.0,404250.0,393990.0,384076.0,439291.0,442252.0,441062.0
BIDMC32SpO2,427097.0,410334.0,405773.0,411383.0,402593.0,408027.0,430257.0,443704.0,436338.0,449020.0,438596.0,441852.0,399417.0,404404.0,403150.0,400986.0,402709.0,406336.0,406592.0,397195.0,405727.0,402112.0,400764.0,411337.0,401873.0,398687.0,399516.0,446974.0,446516.0,446577.0
BarCrawl6min,1736.0,1731.0,1731.0,1727.0,1722.0,1724.0,1725.0,1735.0,1733.0,1738.0,1736.0,1737.0,1736.0,1731.0,1732.0,1733.0,1737.0,1801.0,1803.0,1795.0,1782.0,1828.0,1792.0,1801.0,1804.0,1806.0,1803.0,1831.0,1759.0,1754.0
BeijingIntAirportPM25Quality,2506.0,2338.0,2347.0,2347.0,2057.0,2403.0,2241.0,2225.0,2220.0,2226.0,2231.0,2338.0,2233.0,2222.0,2225.0,2207.0,2224.0,2230.0,2198.0,2221.0,2217.0,2249.0,2197.0,2236.0,2242.0,2251.0,2262.0,2225.0,2255.0,2211.0
BeijingPM10Quality_nmv,33875.0,35402.0,34202.0,33745.0,34019.0,33255.0,32664.0,33850.0,33022.0,32916.0,40714.0,40757.0,35530.0,36595.0,36378.0,36944.0,36486.0,36937.0,36411.0,36673.0,36687.0,36785.0,36465.0,36492.0,36335.0,37993.0,38018.0,37966.0,37964.0,33200.0
