Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,206666.0,110707.0,116724.0,203673.0,116289.0,237034.0,122627.0,202831.0,114342.0,226727.0,111876.0,224937.0,191675.0,223578.0,226812.0,193173.0,126678.0,126171.0,104668.0,104387.0,126630.0,116046.0,200472.0,199918.0,209282.0,237436.0,239717.0,117011.0,112099.0,229130.0
AluminiumConcentration,499344.0,495392.0,571148.0,302401.0,274249.0,317168.0,571894.0,282931.0,269792.0,285790.0,490120.0,491531.0,579898.0,509390.0,571216.0,562875.0,265999.0,288086.0,288822.0,277848.0,271867.0,277411.0,493636.0,500679.0,283206.0,571146.0,575005.0,285630.0,312162.0,278025.0
AppliancesEnergy,127785.0,67571.0,69757.0,77891.0,158345.0,76095.0,122539.0,70028.0,94697.0,68165.0,68382.0,136233.0,64595.0,64147.0,132420.0,152871.0,67489.0,129448.0,79012.0,70910.0,154935.0,92992.0,65854.0,63634.0,145012.0,133999.0,160134.0,153529.0,78730.0,76893.0
AustraliaRainfall,66781970.0,58367785.0,58025880.0,68100385.0,67383389.0,160275662.0,62288247.0,177928140.0,160296421.0,160981999.0,161176851.0,178085095.0,72068758.0,180758945.0,180224180.0,180165455.0,59646740.0,60587539.0,65024375.0,57916340.0,67488414.0,64826756.0,58683515.0,58980641.0,60343292.0,59139655.0,60202595.0,61382915.0,97013395.0,91311155.0
BIDMC32HR,3487504.0,3462832.0,5460475.0,5526959.0,5497286.0,5518720.0,5481141.0,5465213.0,3651924.0,3511684.0,3466855.0,3502863.0,5446844.0,5290335.0,3368571.0,3487142.0,3444803.0,3567620.0,3629272.0,3400793.0,5548951.0,5534143.0,5426893.0,5456764.0,5398058.0,5484069.0,3638429.0,5414658.0,5453076.0,3427354.0
BIDMC32RR,3517738.0,3473204.0,3334951.0,3399251.0,3441965.0,3406417.0,5248578.0,5425712.0,5335753.0,5413659.0,5402151.0,3370897.0,5406756.0,3482279.0,3517343.0,3381341.0,5320737.0,5223993.0,3333791.0,3521325.0,3585058.0,3487888.0,3377012.0,3442020.0,5150760.0,5478290.0,5348956.0,5268935.0,5334061.0,5346405.0
BIDMC32SpO2,3378001.0,5503852.0,3433403.0,5565201.0,3515203.0,3645624.0,3576586.0,3468935.0,3415893.0,3533338.0,5395845.0,5404640.0,3662048.0,5551838.0,5721149.0,5385500.0,5352911.0,3477196.0,3490358.0,3410080.0,5630268.0,5587677.0,5383422.0,3391992.0,3634650.0,3525144.0,3481145.0,3552883.0,3522971.0,5251703.0
BarCrawl6min,144842.0,141227.0,147104.0,138109.0,137427.0,141054.0,140092.0,138895.0,148118.0,142131.0,140910.0,139692.0,138979.0,140957.0,140235.0,140191.0,139763.0,139197.0,141023.0,140552.0,149315.0,140960.0,139655.0,140743.0,140546.0,141252.0,146881.0,141601.0,140734.0,140178.0
BeijingIntAirportPM25Quality,923669.0,928587.0,940066.0,941202.0,927644.0,939718.0,929214.0,934850.0,949571.0,923997.0,922247.0,927522.0,937079.0,929044.0,921308.0,924207.0,932076.0,932022.0,931547.0,953074.0,935691.0,939860.0,927620.0,933204.0,932002.0,928620.0,918688.0,924883.0,938689.0,935335.0
BeijingPM10Quality_nmv,9857319.0,10171686.0,10126155.0,6390678.0,11348725.0,6419761.0,11174233.0,11378917.0,11371587.0,10290025.0,10381534.0,11588305.0,10544030.0,6383371.0,6287862.0,6234282.0,6330549.0,10945257.0,6557236.0,10047843.0,6557684.0,10170015.0,6609241.0,10318599.0,10649028.0,10380552.0,10010438.0,6343923.0,6265691.0,10105620.0
BeijingPM25Quality_nmv,6259150.0,6646972.0,6335547.0,6288045.0,6283930.0,10074146.0,6552576.0,9872410.0,10430953.0,10118413.0,6474766.0,10323566.0,10272139.0,6490945.0,10120633.0,6292663.0,9947517.0,6222997.0,6437841.0,6389799.0,6503801.0,6321758.0,9659527.0,6433253.0,9901185.0,6466421.0,10098396.0,6446093.0,9755228.0,6378755.0
BenzeneConcentration_nmv,3035734.0,2917605.0,2919407.0,2933514.0,1951762.0,1902220.0,3004874.0,2938648.0,2828602.0,1961427.0,1845485.0,2895532.0,1852302.0,1784474.0,1803297.0,1787272.0,1886159.0,1836723.0,3021781.0,2956341.0,2915990.0,2975856.0,1843462.0,1840749.0,2935714.0,2858020.0,1786358.0,1915433.0,1864048.0,1770361.0
