Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,1564152.0,1653237.0,1618841.0,1697685.0,1610587.0,1645761.0,1462369.0,1443498.0,1448505.0,1410716.0,1630091.0,1611073.0,1610914.0,1615303.0,1586383.0,1633577.0,1574055.0,1577663.0,1624697.0,1627344.0,1626448.0,1597651.0,1607195.0,1592952.0,1614960.0,1624774.0,1641125.0,1571474.0,1575203.0,1612453.0
AluminiumConcentration,15603610.0,16583076.0,15681842.0,17067934.0,16380200.0,16730567.0,15503547.0,16030122.0,15840582.0,15501551.0,16536864.0,15918304.0,16467522.0,15902245.0,16121097.0,16310231.0,15354073.0,15804586.0,16053461.0,16484945.0,16286057.0,16312529.0,16074111.0,16077008.0,16257769.0,16758505.0,16899331.0,15290244.0,15460018.0,15493091.0
AppliancesEnergy,1659778.0,1735307.0,1828607.0,1817565.0,1802070.0,1616276.0,1600746.0,1576071.0,1593809.0,1580425.0,1650281.0,1603636.0,1596738.0,1601327.0,1565888.0,1607470.0,1553558.0,1774832.0,1607476.0,1780502.0,1602350.0,1825408.0,1808478.0,1605808.0,1598545.0,1826841.0,1841275.0,1762772.0,1748347.0,1827383.0
AustraliaRainfall,354257753.0,366758100.0,365499070.0,367483322.0,366509065.0,366074162.0,363308331.0,362030046.0,369922842.0,359992010.0,370211305.0,368438084.0,369962832.0,365438115.0,360849441.0,368891575.0,361407523.0,362525295.0,364077228.0,368958593.0,372080428.0,364082749.0,364982451.0,363832216.0,363467164.0,367810743.0,375339494.0,370281883.0,366083463.0,373302104.0
BIDMC32HR,364236940.0,391370903.0,383755458.0,404993035.0,382426688.0,191366771.0,392516105.0,386756587.0,408887125.0,400449533.0,392005025.0,373044983.0,391477642.0,385486184.0,386827380.0,190040379.0,408695149.0,375867299.0,388552578.0,187107714.0,386346098.0,389978043.0,380146781.0,381531264.0,384049850.0,397739139.0,408533254.0,410050593.0,383623242.0,384884216.0
BIDMC32RR,359688979.0,382540644.0,376408629.0,397531496.0,376106052.0,394630805.0,384816043.0,380295689.0,372706491.0,366244455.0,384220575.0,370103980.0,384225301.0,380888513.0,378813333.0,390229137.0,358906209.0,370025359.0,381718868.0,388511529.0,380553213.0,382005743.0,381367253.0,373225821.0,382924115.0,389461451.0,401759375.0,374744201.0,379548574.0,381465665.0
BIDMC32SpO2,367483750.0,390996129.0,357770191.0,406139170.0,379046823.0,398269896.0,392079334.0,386042460.0,403430351.0,370371605.0,391228076.0,375403339.0,391482040.0,387199597.0,387063853.0,397833962.0,363594469.0,374953385.0,388475032.0,394059012.0,385907819.0,388131583.0,385327489.0,382973030.0,385115972.0,398041513.0,407615454.0,380420247.0,383393228.0,385595231.0
BarCrawl6min,1138049.0,1178743.0,1162309.0,1169644.0,1151248.0,1175250.0,1150800.0,1136026.0,1151470.0,1129624.0,1174797.0,1164194.0,1166019.0,1147352.0,1136935.0,1161408.0,1134933.0,1132150.0,1140914.0,1154443.0,1163788.0,1137408.0,1158445.0,1151551.0,1160096.0,1154614.0,1163579.0,1128978.0,1136636.0,1163743.0
BeijingIntAirportPM25Quality,6932476.0,7519930.0,7598334.0,7898375.0,7441793.0,6221884.0,6303316.0,6063208.0,6711154.0,6145371.0,7024142.0,6002348.0,6154315.0,6972922.0,5763814.0,7167893.0,6523210.0,6502034.0,6785262.0,5872479.0,7064557.0,7127532.0,6121732.0,6115270.0,5877757.0,5923692.0,5876281.0,5735597.0,5678231.0,6227270.0
BeijingPM10Quality_nmv,80574282.0,82444908.0,81821878.0,83203122.0,82793312.0,81651475.0,83207501.0,80842095.0,81944127.0,80792441.0,84108564.0,82635885.0,82080940.0,81293252.0,74820612.0,70430283.0,80346957.0,80851882.0,86818715.0,81818236.0,63793914.0,64007781.0,66922392.0,82223537.0,63711524.0,64260075.0,63513050.0,62620617.0,62513973.0,64524722.0
BeijingPM25Quality_nmv,80952768.0,82795551.0,81929405.0,83244098.0,81211399.0,82407380.0,82156730.0,80760684.0,81414362.0,81044855.0,82709401.0,82091451.0,82799438.0,80972010.0,81453775.0,82634493.0,80973737.0,80446072.0,81430346.0,82875529.0,82348467.0,82758336.0,82705401.0,80981145.0,81993833.0,82422634.0,83845837.0,81010309.0,80855331.0,82523597.0
BenzeneConcentration_nmv,53770067.0,56762874.0,56355703.0,57160831.0,56787477.0,57510373.0,56684699.0,55765940.0,55959026.0,55713650.0,57767775.0,56901987.0,56540424.0,56002695.0,55823866.0,57634743.0,54941471.0,56099556.0,56472437.0,56134824.0,56607402.0,56373764.0,56262119.0,56043123.0,56052374.0,56829460.0,57872080.0,55326010.0,54959141.0,56690839.0
BinanceCoinSentiment,852905.0,877476.0,869770.0,770647.0,666938.0,767492.0,671944.0,661425.0,673248.0,660584.0,678989.0,674356.0,673942.0,667091.0,675780.0,777750.0,746694.0,750013.0,752070.0,677571.0,679540.0,672884.0,680239.0,676279.0,677522.0,766899.0,767291.0,743668.0,666070.0,781986.0
BitcoinSentiment,1067126.0,1111583.0,1096970.0,860182.0,841330.0,862072.0,854609.0,837437.0,840044.0,838966.0,851261.0,851339.0,866164.0,845048.0,842665.0,847047.0,836465.0,831745.0,836912.0,854889.0,857607.0,854918.0,855141.0,966801.0,962446.0,973032.0,857541.0,951291.0,834957.0,848695.0
BoronConcentration,15271709.0,16278372.0,17341378.0,16854129.0,15631954.0,15480214.0,16307133.0,15882909.0,15787102.0,15576053.0,16340138.0,15826612.0,16134441.0,15737154.0,15562492.0,16045311.0,15542194.0,15768765.0,16186904.0,16481349.0,16219127.0,16199454.0,16075412.0,16078325.0,16209341.0,16673631.0,16757662.0,15751447.0,15884285.0,15936944.0
CalciumConcentration,13304905.0,16280695.0,16931630.0,17603026.0,16449324.0,15561465.0,17003383.0,16833474.0,16181985.0,16012951.0,15384478.0,16177416.0,15239541.0,15065692.0,15270564.0,16938635.0,15615615.0,15874905.0,15121932.0,15503419.0,15247249.0,15222702.0,15192312.0,14999251.0,15169235.0,15907519.0,16088821.0,14937202.0,15200755.0,15174748.0
CardanoSentiment,352537.0,339028.0,285917.0,276255.0,318297.0,277108.0,277410.0,273294.0,275413.0,270442.0,317304.0,281488.0,279171.0,274631.0,270937.0,280243.0,306766.0,270218.0,274148.0,278691.0,278045.0,277605.0,277773.0,274944.0,312396.0,281555.0,280499.0,274149.0,272781.0,275293.0
ChilledWaterPredictor,3049751.0,3177913.0,3130828.0,3229463.0,3171772.0,2839825.0,2847442.0,2729331.0,3085290.0,3048265.0,3173729.0,2816555.0,2790922.0,3092641.0,3099648.0,3181163.0,3115192.0,3085981.0,3058449.0,3116428.0,3159756.0,2745022.0,2749476.0,2770314.0,3229363.0,2747865.0,2746210.0,2674553.0,2836692.0,2794256.0
CopperConcentration,15300147.0,16168597.0,16076183.0,15523781.0,14787983.0,16435356.0,16209384.0,14775235.0,14710349.0,14587512.0,14864572.0,14469079.0,14794130.0,14699221.0,14622436.0,15021812.0,14128219.0,14506573.0,14744330.0,14994427.0,14849325.0,14782818.0,14730134.0,14635087.0,14775302.0,15214179.0,15394563.0,14530970.0,14786092.0,14942170.0
Covid19Andalusia,837674.0,861913.0,859413.0,873104.0,861630.0,661316.0,745541.0,646316.0,654044.0,647409.0,667100.0,758691.0,757784.0,738998.0,647723.0,662147.0,646566.0,652920.0,647444.0,666926.0,762530.0,741803.0,752669.0,752761.0,657941.0,660042.0,679722.0,652106.0,645255.0,666860.0
Covid3Month,755502.0,782532.0,780790.0,775351.0,770309.0,779271.0,766639.0,763398.0,765463.0,757145.0,775692.0,778823.0,764970.0,768761.0,766654.0,773077.0,756778.0,764777.0,773687.0,771636.0,777638.0,764631.0,768967.0,775560.0,775375.0,781184.0,777825.0,726788.0,717284.0,734566.0
DailyOilGasPrices,549684.0,496503.0,492515.0,499800.0,490528.0,489073.0,487662.0,486935.0,487555.0,481431.0,498472.0,498081.0,491992.0,489426.0,482071.0,495244.0,487832.0,549745.0,500662.0,494534.0,496805.0,489859.0,497101.0,492901.0,488170.0,492006.0,499867.0,482857.0,480045.0,492442.0
DailyTemperatureLatitude,238404842.0,249082557.0,245193879.0,251737244.0,242594683.0,249364512.0,246313893.0,240840695.0,244541770.0,266203039.0,248010357.0,244632526.0,245688735.0,244092376.0,265606347.0,275792366.0,244350397.0,273799170.0,273902287.0,275779863.0,277819482.0,271117944.0,242691482.0,245014708.0,245548466.0,246267542.0,248925732.0,241312420.0,240953640.0,247086756.0
DhakaHourlyAirQuality,5184289.0,5281400.0,4718403.0,5342534.0,4669392.0,4545367.0,4498074.0,4471119.0,5292078.0,4479886.0,5361308.0,5217700.0,4596160.0,4619797.0,5222226.0,5300754.0,5242084.0,4604916.0,4596917.0,4654169.0,4623152.0,5201993.0,4654186.0,4691292.0,4625239.0,5363469.0,5274543.0,5235932.0,5187050.0,5411164.0
ElectricMotorTemperature,83540631.0,75382012.0,84922495.0,97812763.0,98876302.0,99502219.0,97573371.0,98276636.0,97608044.0,94982648.0,98314365.0,98857496.0,97314860.0,97800132.0,97810126.0,97981490.0,95890310.0,96089433.0,95663214.0,97927423.0,100994742.0,98454486.0,98409468.0,96430951.0,97291633.0,98308505.0,99050222.0,95261128.0,95877082.0,97176326.0
