Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,270446.0,162095.0,166265.0,161860.0,165156.0,153120.0,152555.0,153379.0,151507.0,153982.0,296940.0,224873.0,265817.0,207599.0,209249.0,225362.0,280355.0,301831.0,208011.0,227187.0,273534.0,328502.0,320882.0,211680.0,296796.0,202645.0,228866.0,274203.0,210167.0,214638.0
AluminiumConcentration,814312.0,817616.0,813826.0,808602.0,811290.0,802363.0,805814.0,805204.0,808027.0,799752.0,825690.0,847079.0,841009.0,1517950.0,796844.0,846780.0,851663.0,839995.0,805007.0,796470.0,830523.0,797822.0,1513724.0,835042.0,1130063.0,846933.0,823279.0,847735.0,1125837.0,1119487.0
AppliancesEnergy,183402.0,153332.0,177762.0,153652.0,150419.0,150538.0,157003.0,157388.0,152657.0,149969.0,283367.0,276513.0,164580.0,165783.0,281049.0,288631.0,279034.0,168023.0,163530.0,163602.0,165635.0,166387.0,287770.0,165248.0,283572.0,165133.0,165648.0,165673.0,166252.0,167358.0
AustraliaRainfall,138401418.0,92239088.0,90778096.0,81288492.0,88246117.0,166266839.0,167013685.0,167877063.0,95403071.0,96401174.0,170948460.0,97314056.0,94848783.0,166825997.0,95419887.0,167467701.0,93646125.0,165560492.0,165279074.0,165730137.0,164472088.0,93605602.0,97313610.0,95287710.0,95522520.0,96671843.0,96616429.0,153598874.0,153775281.0,158315640.0
BIDMC32HR,14435108.0,15217923.0,15182107.0,15146371.0,15139264.0,15158141.0,15180660.0,15209092.0,25052842.0,12886778.0,12800955.0,19731655.0,19956708.0,13004281.0,14176146.0,14129628.0,14120380.0,14205459.0,14129668.0,14126688.0,13094382.0,12989972.0,12829164.0,13814871.0,13045359.0,14166141.0,14124172.0,14213775.0,14237071.0,14123781.0
BIDMC32RR,14142867.0,15183970.0,14854770.0,14997479.0,14984778.0,13968638.0,12738604.0,19436137.0,19582194.0,24268904.0,12906729.0,12816785.0,12778892.0,13972925.0,13929460.0,13940061.0,13939659.0,14079240.0,13915264.0,12776929.0,12697719.0,12826681.0,19545868.0,12777811.0,19556924.0,13953950.0,13908928.0,14025316.0,13872316.0,13955321.0
BIDMC32SpO2,14489532.0,15228338.0,15139463.0,15178949.0,15197705.0,14249590.0,12964436.0,25320953.0,12975700.0,27720993.0,13028375.0,13047367.0,13162748.0,14174332.0,14150985.0,14115064.0,14176828.0,14259620.0,14286681.0,20089736.0,20208479.0,13332087.0,14239918.0,19813246.0,14160882.0,13068207.0,14153330.0,14186545.0,14178916.0,12986145.0
BarCrawl6min,213844.0,114723.0,108087.0,106943.0,108045.0,104092.0,105197.0,110005.0,108162.0,105273.0,212158.0,219257.0,213250.0,218986.0,157969.0,209175.0,215864.0,213238.0,215426.0,221878.0,209827.0,213017.0,218141.0,215030.0,219516.0,213265.0,219233.0,225747.0,214797.0,204674.0
BeijingIntAirportPM25Quality,1611854.0,899060.0,895803.0,900064.0,901792.0,878724.0,901890.0,867193.0,906401.0,863903.0,1705131.0,1688283.0,1685235.0,1704009.0,1677937.0,1149454.0,1695257.0,1668052.0,1712312.0,1689039.0,1706166.0,1709444.0,1717051.0,1705059.0,1689136.0,1690005.0,1685993.0,1704459.0,1685329.0,1697565.0
BeijingPM10Quality_nmv,10378507.0,9564672.0,9647264.0,9331227.0,9676817.0,9273802.0,9399364.0,9498492.0,9306273.0,9528456.0,18187924.0,18391537.0,17771284.0,18330929.0,18152808.0,17821543.0,18515164.0,17734226.0,17493217.0,17942479.0,17958357.0,18039938.0,17551588.0,18287723.0,10224246.0,10446377.0,10451835.0,10369584.0,10497968.0,10406916.0
BeijingPM25Quality_nmv,16579497.0,9334144.0,9570547.0,8690105.0,9380799.0,9637439.0,9240348.0,9416035.0,9540399.0,9267845.0,10340833.0,10201031.0,10458415.0,10376948.0,10238791.0,10466208.0,17805857.0,17909014.0,18069308.0,18520708.0,18485971.0,19273034.0,18412637.0,18234552.0,10224611.0,10379870.0,10127804.0,10238156.0,10303287.0,10565428.0
BenzeneConcentration_nmv,4839320.0,2747625.0,2461568.0,2706512.0,2486410.0,2664990.0,2707773.0,2703516.0,2707048.0,2653246.0,3040942.0,3070193.0,3014784.0,5269671.0,2976020.0,3068054.0,5179347.0,5194862.0,5144765.0,5337620.0,3023262.0,5205731.0,5347166.0,3042051.0,3001141.0,2946534.0,3018615.0,3080381.0,3021812.0,4787059.0
BinanceCoinSentiment,267674.0,165182.0,165927.0,163959.0,165127.0,190202.0,215389.0,232462.0,217120.0,209926.0,222609.0,222899.0,222723.0,218369.0,209212.0,284617.0,176017.0,279594.0,226139.0,180579.0,285214.0,176312.0,285745.0,175794.0,285915.0,283808.0,289400.0,186042.0,286441.0,179922.0
BitcoinSentiment,327586.0,197650.0,214322.0,218964.0,205548.0,348216.0,350492.0,222744.0,353179.0,217213.0,352790.0,362659.0,355442.0,220191.0,274331.0,350205.0,355418.0,265123.0,218517.0,351725.0,220617.0,348171.0,354803.0,217157.0,354834.0,226427.0,352042.0,352075.0,355246.0,219291.0
BoronConcentration,784884.0,805702.0,809370.0,809291.0,809951.0,804975.0,809291.0,813663.0,810323.0,817886.0,1140875.0,1109900.0,1392722.0,771193.0,801728.0,763011.0,770566.0,767761.0,769171.0,764635.0,811212.0,791910.0,811858.0,768761.0,1092572.0,1086114.0,1092212.0,812990.0,1096578.0,1121084.0
CalciumConcentration,724287.0,765471.0,774639.0,762700.0,764018.0,769500.0,768983.0,767316.0,772174.0,760261.0,1251129.0,754461.0,755801.0,759725.0,761461.0,755031.0,719567.0,753778.0,725915.0,723671.0,720390.0,717617.0,721766.0,1021389.0,1272843.0,774342.0,1034129.0,766196.0,1034135.0,717073.0
CardanoSentiment,228942.0,149966.0,156349.0,150323.0,151168.0,253118.0,202066.0,266833.0,167166.0,264954.0,203093.0,260823.0,163567.0,275053.0,165021.0,264065.0,257773.0,163452.0,271493.0,267795.0,164188.0,261052.0,273958.0,163930.0,262567.0,259437.0,171278.0,270257.0,192819.0,199405.0
ChilledWaterPredictor,486148.0,262739.0,298896.0,298292.0,285493.0,280888.0,283253.0,287489.0,276001.0,282461.0,518647.0,515284.0,521735.0,525557.0,302659.0,521144.0,532047.0,307225.0,305964.0,309041.0,306689.0,318598.0,521961.0,522061.0,521381.0,529804.0,304081.0,311586.0,305823.0,307606.0
CopperConcentration,786370.0,810141.0,814218.0,804825.0,805151.0,808813.0,809650.0,798273.0,812677.0,815586.0,1365707.0,775510.0,768305.0,769090.0,766554.0,767570.0,805781.0,799606.0,814474.0,772973.0,817066.0,1108352.0,1094325.0,1085685.0,1098583.0,1119394.0,767470.0,767969.0,764629.0,837583.0
Covid19Andalusia,237669.0,149299.0,162324.0,148046.0,147305.0,168400.0,272024.0,267029.0,270123.0,271217.0,259978.0,162080.0,264406.0,259686.0,265289.0,166489.0,263369.0,250007.0,162991.0,270493.0,274127.0,283080.0,274073.0,273049.0,166437.0,270261.0,159942.0,281754.0,273103.0,278924.0
Covid3Month,212283.0,107162.0,110245.0,108261.0,106813.0,205936.0,124468.0,197565.0,120046.0,200041.0,202547.0,199656.0,122964.0,196996.0,121485.0,228489.0,200620.0,195851.0,121315.0,194093.0,224068.0,158581.0,196080.0,120608.0,183449.0,119005.0,199108.0,196800.0,195252.0,188845.0
DailyOilGasPrices,236958.0,151878.0,155837.0,160587.0,152935.0,270971.0,269177.0,266353.0,166829.0,271261.0,279599.0,204442.0,280536.0,272286.0,275749.0,172458.0,267776.0,207090.0,197197.0,163273.0,271493.0,280012.0,271048.0,280209.0,271710.0,268373.0,163179.0,276737.0,161204.0,272857.0
DailyTemperatureLatitude,20393523.0,16383178.0,15313452.0,16517979.0,16501631.0,31721514.0,32931682.0,33796646.0,31309894.0,18989647.0,32527242.0,32248080.0,32883240.0,32165864.0,34126796.0,19608298.0,19526359.0,19007029.0,19217495.0,19678499.0,33046466.0,33720869.0,19090549.0,19259641.0,19552801.0,33283943.0,19175784.0,19229436.0,19622367.0,33058560.0
DhakaHourlyAirQuality,1893046.0,1172289.0,1161669.0,1163589.0,1164694.0,2198756.0,2177488.0,2214035.0,2205595.0,2166103.0,2187600.0,2156961.0,2198162.0,2211280.0,2245387.0,2251026.0,2206429.0,2214823.0,2149584.0,2237283.0,2182116.0,2146107.0,2207053.0,2209405.0,2203357.0,2186158.0,2126553.0,2206447.0,2188592.0,2169317.0
ElectricMotorTemperature,20040187.0,12250842.0,12246041.0,12393882.0,11569790.0,22756978.0,22753420.0,23683130.0,23871717.0,23606716.0,23369367.0,13558874.0,13515295.0,13552423.0,13657766.0,13912243.0,22635102.0,13784380.0,13684974.0,13626351.0,13843159.0,13776338.0,20440949.0,21724775.0,13976036.0,14012488.0,21202546.0,21076184.0,21575265.0,22382203.0
ElectricityPredictor,519784.0,451723.0,492168.0,503672.0,475302.0,485280.0,472914.0,470712.0,484992.0,466641.0,513236.0,509527.0,895406.0,902692.0,883021.0,903232.0,899954.0,878006.0,508616.0,914895.0,503083.0,511344.0,522591.0,904534.0,905776.0,924775.0,514108.0,517162.0,506778.0,514085.0
EthereumSentiment,261016.0,209971.0,209427.0,207534.0,219242.0,235132.0,235515.0,372074.0,232441.0,371837.0,238526.0,367450.0,235500.0,234412.0,366712.0,370187.0,372597.0,235264.0,236744.0,238357.0,235812.0,235494.0,236551.0,366874.0,373429.0,374026.0,364805.0,372050.0,234451.0,236820.0
FloodModeling1,446027.0,370038.0,396200.0,391496.0,390192.0,446399.0,439605.0,692083.0,444838.0,441852.0,433763.0,443243.0,685623.0,680106.0,694438.0,691098.0,689620.0,441664.0,436155.0,435505.0,435752.0,442830.0,440382.0,693136.0,435340.0,438943.0,445834.0,708043.0,442216.0,690529.0
FloodModeling2,441179.0,370233.0,386210.0,385611.0,394942.0,703323.0,691165.0,689247.0,438644.0,438617.0,435527.0,440095.0,444248.0,445260.0,687940.0,443652.0,439849.0,704423.0,690562.0,694465.0,692277.0,691080.0,440088.0,444535.0,438158.0,450397.0,442684.0,435755.0,684392.0,440300.0
FloodModeling3,398985.0,348737.0,337049.0,346084.0,345203.0,398035.0,396825.0,397409.0,630329.0,621274.0,634972.0,627996.0,617625.0,397422.0,400461.0,402249.0,396009.0,389595.0,398993.0,612293.0,391738.0,395990.0,614381.0,613785.0,398950.0,618910.0,408376.0,620639.0,622414.0,386128.0
GasSensorArrayAcetone,1460623.0,1614832.0,1627912.0,1615454.0,1605422.0,1459306.0,1452909.0,1441142.0,2007676.0,1441768.0,1446563.0,1467400.0,1957260.0,1926334.0,1207832.0,1943805.0,2589566.0,1185169.0,1197545.0,1476604.0,1460612.0,1444921.0,1955443.0,1181857.0,1448049.0,1460776.0,1451968.0,1195154.0,1986268.0,1918065.0
GasSensorArrayEthanol,1504178.0,1611372.0,1630559.0,1616462.0,1624142.0,1950041.0,1946771.0,1194637.0,1479129.0,1196820.0,1452456.0,1438652.0,1176698.0,2551777.0,1459895.0,1442828.0,1450751.0,1953571.0,1195880.0,1193303.0,1174074.0,2002401.0,1922396.0,1967705.0,1457326.0,1944443.0,1457096.0,1441692.0,1467766.0,1466426.0
HotwaterPredictor,254918.0,212489.0,226225.0,230199.0,215541.0,214574.0,223594.0,230156.0,214483.0,222813.0,234280.0,233955.0,403756.0,406477.0,233482.0,406649.0,420576.0,236998.0,401268.0,397916.0,236120.0,235015.0,405774.0,414269.0,234736.0,234398.0,403193.0,236328.0,419746.0,236788.0
HouseholdPowerConsumption1_nmv,918901.0,891466.0,883279.0,888307.0,899071.0,922682.0,1209363.0,1223706.0,1142244.0,1315388.0,1600953.0,928221.0,933667.0,936896.0,926486.0,924345.0,927127.0,1376612.0,1386102.0,1360417.0,1310941.0,1368740.0,930141.0,1275207.0,1231110.0,926667.0,923870.0,926215.0,1371580.0,926293.0
HouseholdPowerConsumption2_nmv,943138.0,905526.0,901781.0,888984.0,898500.0,928831.0,1616491.0,930525.0,1360297.0,1384764.0,1364834.0,1282727.0,1383376.0,927256.0,919661.0,930820.0,1236993.0,1283433.0,919766.0,929218.0,1363060.0,925918.0,922795.0,925198.0,920413.0,1608542.0,920222.0,932992.0,1266979.0,1380245.0
IEEEPPG,1799025.0,1623039.0,1625029.0,1568139.0,1618681.0,2893049.0,2895091.0,2921457.0,2883526.0,2980376.0,1813470.0,1804065.0,1802226.0,2900271.0,1808441.0,1798975.0,1783485.0,2863696.0,2875139.0,3121366.0,1820551.0,1814316.0,1783517.0,1796893.0,1799222.0,1779580.0,2868966.0,2931620.0,2867336.0,2923088.0
