Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,1281.0,610.0,878.0,1155.0,537.0,525.0,551.0,550.0,539.0,1232.0,548.0,545.0,547.0,533.0,550.0,555.0,536.0,796.0,541.0,538.0,550.0,540.0,538.0,563.0,553.0,551.0,550.0,534.0,544.0,538.0
AluminiumConcentration,9363.0,9420.0,8961.0,8998.0,8939.0,8967.0,9188.0,9223.0,9140.0,9174.0,9369.0,9149.0,9289.0,9235.0,9360.0,9269.0,9301.0,9616.0,9180.0,9669.0,10034.0,9799.0,9951.0,9996.0,10063.0,9406.0,9842.0,10068.0,9954.0,10123.0
AppliancesEnergy,3422.0,3424.0,3481.0,3451.0,3541.0,3524.0,3533.0,3485.0,3551.0,3558.0,3518.0,3510.0,3528.0,3516.0,3564.0,3542.0,3523.0,3487.0,3559.0,3548.0,3579.0,3553.0,3431.0,3518.0,3456.0,3486.0,3449.0,3493.0,3559.0,3557.0
AustraliaRainfall,111525.0,117446.0,95852.0,97688.0,98860.0,98143.0,98976.0,98749.0,98716.0,101898.0,102779.0,102367.0,102696.0,101121.0,105445.0,102869.0,103849.0,103698.0,103748.0,100549.0,101290.0,100931.0,100276.0,102258.0,101877.0,101176.0,99319.0,101162.0,100724.0,102415.0
BIDMC32HR,355595.0,363078.0,359022.0,362092.0,358078.0,355122.0,351151.0,364004.0,359667.0,357724.0,415394.0,426767.0,410344.0,422867.0,419852.0,408954.0,417300.0,416518.0,407492.0,412162.0,404662.0,409970.0,404953.0,409876.0,416711.0,412641.0,411754.0,405440.0,414365.0,408908.0
BIDMC32RR,395545.0,391860.0,407830.0,397281.0,395057.0,397352.0,348280.0,351831.0,343251.0,343244.0,354523.0,385541.0,381540.0,373128.0,379618.0,380855.0,384727.0,380320.0,379834.0,390536.0,374439.0,396831.0,385693.0,378852.0,377415.0,387020.0,377728.0,381325.0,382516.0,389322.0
BIDMC32SpO2,351035.0,345040.0,400844.0,403189.0,403198.0,410403.0,356386.0,357580.0,352257.0,346303.0,360940.0,343385.0,355633.0,360963.0,361794.0,351843.0,351895.0,420321.0,412049.0,408671.0,415035.0,420212.0,408920.0,410111.0,407805.0,408338.0,412792.0,413925.0,420331.0,415768.0
BarCrawl6min,1425.0,1402.0,1413.0,1431.0,1684.0,1683.0,1502.0,1426.0,1454.0,1474.0,1442.0,1468.0,1478.0,1688.0,1453.0,1452.0,1450.0,1440.0,1458.0,1487.0,1731.0,1549.0,1532.0,1797.0,1650.0,1797.0,1580.0,1468.0,1477.0,1480.0
BeijingIntAirportPM25Quality,2623.0,2391.0,2282.0,2047.0,2101.0,2006.0,2016.0,2024.0,1968.0,2012.0,2041.0,2014.0,1994.0,2018.0,2021.0,2249.0,1975.0,2015.0,2049.0,2031.0,2046.0,2044.0,2224.0,2192.0,2223.0,2448.0,2117.0,2098.0,2131.0,2112.0
BeijingPM10Quality_nmv,30733.0,30135.0,30516.0,30177.0,30640.0,31184.0,31447.0,30938.0,35305.0,34960.0,34295.0,34911.0,34791.0,35088.0,34244.0,34464.0,35481.0,34757.0,34853.0,34500.0,35126.0,34694.0,35097.0,35488.0,30169.0,30234.0,30512.0,30780.0,30788.0,32541.0
BeijingPM25Quality_nmv,31264.0,31652.0,31337.0,31019.0,31133.0,31779.0,30865.0,31479.0,31158.0,31365.0,32130.0,31241.0,30941.0,30539.0,30269.0,30634.0,30963.0,30413.0,30465.0,30564.0,35291.0,34478.0,34720.0,34835.0,30296.0,30539.0,30036.0,36164.0,35145.0,34998.0
BenzeneConcentration_nmv,62893.0,61530.0,60908.0,61873.0,61387.0,60410.0,60700.0,60787.0,60660.0,61327.0,61940.0,57211.0,60531.0,60501.0,60944.0,60944.0,62079.0,61877.0,61586.0,60198.0,61453.0,61149.0,60893.0,59838.0,61774.0,53409.0,53128.0,52921.0,54565.0,53175.0
