Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,83264.0,83366.0,81818.0,81595.0,82017.0,85652.0,83264.0,82961.0,83147.0,82644.0,83984.0,83491.0,84310.0,83103.0,85290.0,85915.0,84846.0,83859.0,82333.0,81698.0,83602.0,80887.0,81843.0,80221.0,85529.0,83297.0,82710.0,82759.0,82754.0,82622.0
AluminiumConcentration,2027189.0,2425182.0,1965909.0,1936083.0,1937231.0,2001640.0,2461929.0,1946344.0,1944713.0,1944919.0,2193879.0,1941332.0,2461327.0,2468604.0,2466167.0,2037374.0,2031243.0,2032559.0,2046612.0,2253605.0,1951566.0,1991956.0,1989115.0,2029287.0,2263840.0,2259484.0,2497691.0,2251240.0,1975116.0,1977290.0
AppliancesEnergy,6722903.0,9045632.0,9229679.0,5341982.0,4572523.0,6769118.0,6829366.0,4557047.0,4558716.0,17267669.0,17487492.0,17596693.0,17519396.0,17634800.0,17685218.0,17539988.0,17596050.0,13591831.0,13517022.0,13366319.0,13554063.0,13517227.0,13515472.0,13615644.0,4993021.0,11709050.0,11715812.0,11680629.0,11631729.0,11680169.0
AustraliaRainfall,848179409.0,838917431.0,832642515.0,824509382.0,827718713.0,845977917.0,850361922.0,840945668.0,825038303.0,841703843.0,1156257241.0,1145735865.0,1140133095.0,1128804522.0,1141839444.0,1151032779.0,1148281253.0,1152339612.0,1127189464.0,1136752884.0,1152254048.0,1139839769.0,1141100234.0,1140398362.0,1155078110.0,752445121.0,745930303.0,766172481.0,728778814.0,745898016.0
BIDMC32HR,140017391.0,140670469.0,143180824.0,144167496.0,143062440.0,139935233.0,142783704.0,139847845.0,142973939.0,145834572.0,142383879.0,142542087.0,143928930.0,136327745.0,136716299.0,136211134.0,129482111.0,129840442.0,129586440.0,128919533.0,135538835.0,135097627.0,134956482.0,129279940.0,129154435.0,129410324.0,129675897.0,144201488.0,129053785.0,141031049.0
BIDMC32RR,130456832.0,132406326.0,128232749.0,127572842.0,130527184.0,141873871.0,130452013.0,129364230.0,122860395.0,128333791.0,125856257.0,125894567.0,126888018.0,143156865.0,127850555.0,128261006.0,123729680.0,128258469.0,127686590.0,126144736.0,127643162.0,145518420.0,128963298.0,128456928.0,126398787.0,128531509.0,142973588.0,125939573.0,130843145.0,129421721.0
BIDMC32SpO2,126660146.0,129495763.0,132530323.0,141905107.0,124408697.0,130185023.0,129364949.0,131622845.0,131450960.0,143354274.0,144926790.0,129325949.0,127404703.0,127111067.0,127459629.0,126868032.0,131006949.0,142160025.0,141651019.0,141154692.0,140995058.0,141379941.0,132008377.0,127281009.0,144159468.0,129984407.0,130225712.0,130389581.0,144545820.0,130845550.0
BarCrawl6min,301226.0,287034.0,300707.0,297305.0,315906.0,314858.0,306285.0,322637.0,343663.0,315434.0,303042.0,288773.0,310350.0,295742.0,291188.0,295482.0,288922.0,287879.0,402798.0,410561.0,407141.0,389789.0,401905.0,413061.0,386222.0,396574.0,393949.0,408521.0,405333.0,393567.0
BeijingIntAirportPM25Quality,3611166.0,3209719.0,6699541.0,3229336.0,3939402.0,3938096.0,3924988.0,3914961.0,3861578.0,3831195.0,3838977.0,6970976.0,7097430.0,6934385.0,7054494.0,7052295.0,6956946.0,6928849.0,6955984.0,6993316.0,6944118.0,6923573.0,7014071.0,6974022.0,6955433.0,6917472.0,4125570.0,4098243.0,4041599.0,4053991.0
BeijingPM10Quality_nmv,135421014.0,137960624.0,132261565.0,117395384.0,155288108.0,191636273.0,115748293.0,119646521.0,119751412.0,118102986.0,103668326.0,122688082.0,112999844.0,119696241.0,118371755.0,109554174.0,117575051.0,114435903.0,119023990.0,112033836.0,112573492.0,121258700.0,123126868.0,110818622.0,120633345.0,151169335.0,119309383.0,109886706.0,118145890.0,110415454.0
