Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,908.0,920.0,930.0,915.0,908.0,927.0,916.0,901.0,905.0,898.0,913.0,910.0,913.0,909.0,895.0,917.0,905.0,935.0,919.0,867.0,878.0,869.0,889.0,867.0,858.0,883.0,874.0,871.0,877.0,862.0
AluminiumConcentration,33058.0,32900.0,32886.0,34993.0,37991.0,35271.0,35327.0,35982.0,32525.0,32223.0,43431.0,43006.0,42871.0,41960.0,40699.0,44065.0,43668.0,43456.0,44183.0,42595.0,41221.0,40783.0,44059.0,43935.0,32059.0,30607.0,30542.0,31165.0,29493.0,30283.0
AppliancesEnergy,4173.0,4306.0,4190.0,4221.0,4052.0,4089.0,4240.0,3994.0,3946.0,4080.0,4037.0,4116.0,4137.0,4095.0,4231.0,4115.0,4015.0,4077.0,4022.0,4878.0,4700.0,4849.0,4887.0,4837.0,4823.0,4842.0,4764.0,4789.0,4732.0,4668.0
AustraliaRainfall,374487573.0,386387313.0,539905930.0,521144677.0,542680351.0,535215381.0,553505530.0,548230640.0,545051283.0,549253781.0,537347245.0,532716160.0,566187816.0,535463111.0,519226742.0,552547105.0,542269012.0,558479499.0,477224673.0,483116395.0,478814818.0,468967279.0,469393299.0,474782042.0,473912512.0,568781536.0,560510013.0,549901562.0,561960383.0,561817181.0
BIDMC32HR,11446531.0,21884514.0,21900860.0,21924814.0,21822686.0,21838680.0,21885029.0,21852001.0,21812464.0,21901835.0,21863539.0,21857738.0,21853503.0,21974442.0,21936005.0,19214387.0,19150835.0,19100519.0,19122597.0,18989161.0,19034514.0,19034659.0,19066318.0,19017685.0,18976732.0,19134503.0,14189125.0,11915178.0,11765683.0,19875011.0
BIDMC32RR,19060974.0,19097262.0,19103151.0,19136801.0,19202955.0,19081363.0,19104406.0,19110716.0,19042925.0,19805972.0,19715909.0,19702863.0,19778460.0,19718443.0,19635618.0,19620739.0,19567645.0,19557124.0,19633591.0,19473027.0,19545738.0,19744671.0,23127466.0,23140502.0,23242953.0,23198849.0,23156220.0,23315470.0,23206265.0,23216085.0
BIDMC32SpO2,23009118.0,23600933.0,23735628.0,23667284.0,23708478.0,23748780.0,23730506.0,21913767.0,21904754.0,21913372.0,21919533.0,21930999.0,21911514.0,21844222.0,21857709.0,21904590.0,21834548.0,21816610.0,21751322.0,21839818.0,21845187.0,21693808.0,14643321.0,14591607.0,14680334.0,14416294.0,14437125.0,14389434.0,12453649.0,12301770.0
BarCrawl6min,1828.0,1799.0,1772.0,1817.0,1817.0,1762.0,1860.0,1837.0,1803.0,1793.0,1883.0,1757.0,1841.0,1830.0,1835.0,1831.0,1791.0,1808.0,1726.0,1809.0,1785.0,1801.0,1709.0,1712.0,1646.0,1664.0,1629.0,1587.0,1637.0,1600.0
BeijingIntAirportPM25Quality,6697.0,6681.0,7393.0,7145.0,7247.0,7341.0,7259.0,7395.0,7208.0,7239.0,6724.0,6740.0,7263.0,6745.0,7258.0,7178.0,7264.0,6621.0,8579.0,8516.0,7953.0,7877.0,8315.0,8417.0,8440.0,7841.0,8316.0,8548.0,7726.0,7782.0
BeijingPM10Quality_nmv,3363801.0,3373957.0,3362723.0,3383060.0,3374174.0,3336053.0,3355179.0,3263731.0,3343601.0,3340542.0,3339524.0,3220543.0,3362413.0,3358731.0,3159938.0,3177465.0,3110932.0,3190002.0,3167249.0,3112610.0,3189359.0,3196665.0,3188949.0,3187240.0,3134057.0,3174723.0,3202825.0,3194190.0,3350274.0,3410869.0
