Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,972597.0,733010.0,807713.0,737395.0,875838.0,589459.0,598799.0,593889.0,844676.0,755750.0,862167.0,882114.0,861872.0,721956.0,873105.0,877689.0,883543.0,712267.0,731516.0,736053.0,889018.0,713552.0,726041.0,720647.0,838864.0,860258.0,710304.0,837637.0,834133.0,920371.0
AluminiumConcentration,5859249.0,7097401.0,5148446.0,5799605.0,5841944.0,6639074.0,6668173.0,6650285.0,5184678.0,5870078.0,7180279.0,5804793.0,5847869.0,5811691.0,5825670.0,7053604.0,5835526.0,5825660.0,5194249.0,5162107.0,7096242.0,5163592.0,7143687.0,5183331.0,5820493.0,5158565.0,5162612.0,5855914.0,5819041.0,5828168.0
AppliancesEnergy,679789.0,646112.0,521615.0,509723.0,488314.0,416123.0,418067.0,425724.0,610170.0,610155.0,613906.0,614945.0,613346.0,614941.0,618755.0,604227.0,495280.0,498471.0,499704.0,620840.0,494987.0,607341.0,623973.0,503064.0,501799.0,603377.0,624235.0,600890.0,627839.0,498693.0
AustraliaRainfall,358233466.0,382200909.0,348202401.0,339502961.0,344001162.0,336964765.0,380964952.0,538524484.0,384754561.0,541889020.0,330946248.0,342926220.0,331656796.0,385379281.0,341793185.0,341114227.0,390687450.0,398765137.0,399179581.0,390639770.0,401504394.0,380739253.0,389179813.0,337662743.0,347145144.0,335626213.0,340066670.0,336409554.0,339482279.0,412307640.0
BIDMC32HR,118578687.0,150414086.0,144880741.0,147003175.0,98591409.0,97901719.0,222193670.0,98016336.0,118661337.0,145660800.0,147869712.0,146914161.0,145989116.0,394208811.0,146785125.0,150370784.0,147620435.0,117724462.0,98577286.0,120033721.0,146924416.0,118960374.0,146882306.0,118222850.0,118103815.0,118247809.0,98407786.0,98504956.0,98558659.0,150508784.0
BIDMC32RR,145703377.0,217474469.0,143262297.0,144169650.0,147994386.0,218566322.0,241876080.0,145596920.0,116420994.0,145329258.0,144158596.0,147190974.0,96672022.0,117111280.0,117343020.0,96911286.0,116541581.0,143249271.0,116049572.0,116524326.0,97005081.0,97037004.0,218513719.0,96865176.0,96950339.0,97119391.0,97002754.0,116170669.0,115905174.0,116259248.0
BIDMC32SpO2,98173818.0,119231254.0,118548745.0,97817892.0,98092480.0,118228365.0,118701944.0,119126727.0,244713924.0,146185398.0,145380020.0,147331743.0,147232736.0,149316372.0,98331088.0,98401854.0,98497989.0,98534385.0,118113052.0,117749784.0,118168080.0,118281605.0,118760086.0,119187754.0,393353699.0,145739026.0,144596292.0,146514397.0,146397181.0,97428068.0
BarCrawl6min,978646.0,794218.0,904096.0,875667.0,914041.0,839186.0,849074.0,838245.0,878113.0,870691.0,877362.0,858127.0,863672.0,967932.0,837996.0,834837.0,863762.0,861902.0,858771.0,873424.0,869513.0,865813.0,962451.0,1433430.0,839681.0,829645.0,848254.0,863693.0,834463.0,846768.0
BeijingIntAirportPM25Quality,3680978.0,3588599.0,4378908.0,4205481.0,4431468.0,4097461.0,4236031.0,4236314.0,4161119.0,4160770.0,4379355.0,4148254.0,4980361.0,4154051.0,4170530.0,4728448.0,4193545.0,4225887.0,4119152.0,4219746.0,4224959.0,4106058.0,4161331.0,4222608.0,4368697.0,5239832.0,5267099.0,4064862.0,4209824.0,4179143.0
BeijingPM10Quality_nmv,45663724.0,43067405.0,37475328.0,43243645.0,43459859.0,41777396.0,42012151.0,41051004.0,41292750.0,42508570.0,42956020.0,56979152.0,57184759.0,40592983.0,42771780.0,41638911.0,41449061.0,41792144.0,42116117.0,41991269.0,41849743.0,43201111.0,40140170.0,41501036.0,42362560.0,58924759.0,60042742.0,41049198.0,40909375.0,42343109.0
BeijingPM25Quality_nmv,44667893.0,40070321.0,40794420.0,50451820.0,36431106.0,42977768.0,40112329.0,42041088.0,43835697.0,42987812.0,42847386.0,42324166.0,36311709.0,57848734.0,36149523.0,42916367.0,57871111.0,35873699.0,42932370.0,35455429.0,41434636.0,35958993.0,41401666.0,36505940.0,41070414.0,41107140.0,41451244.0,43517853.0,35700373.0,36426406.0
BenzeneConcentration_nmv,14802721.0,13315943.0,14343515.0,13820673.0,14123739.0,13577769.0,12573849.0,19949753.0,12596904.0,12563563.0,12485556.0,12218879.0,12423220.0,12212208.0,12429637.0,12621090.0,12095215.0,13602765.0,12929268.0,12438598.0,12472084.0,12291881.0,12611237.0,12496724.0,13954845.0,13930669.0,20386219.0,13088391.0,11645065.0,19751896.0
BinanceCoinSentiment,858214.0,866344.0,870209.0,867294.0,871200.0,834655.0,848648.0,842083.0,836616.0,777390.0,829367.0,818307.0,762162.0,836996.0,829279.0,777942.0,837685.0,834580.0,773613.0,843486.0,834679.0,771631.0,830160.0,840563.0,774546.0,853540.0,824343.0,787040.0,820951.0,846568.0
BitcoinSentiment,1047144.0,1097851.0,1089688.0,1103583.0,1110774.0,1064345.0,1012277.0,1046179.0,1070277.0,1083407.0,1072275.0,1062067.0,979199.0,1024098.0,1060772.0,1054218.0,1033108.0,1036535.0,1028769.0,1059723.0,1072953.0,1035889.0,1017526.0,1032243.0,1075742.0,1017079.0,1038998.0,1049312.0,1041953.0,1079158.0
BoronConcentration,5820928.0,5829375.0,7063317.0,5884497.0,5124606.0,6642758.0,6645069.0,6628904.0,5106742.0,5158566.0,5837942.0,5812501.0,7128011.0,7020563.0,7058387.0,7108402.0,5164271.0,5138520.0,5144656.0,5792690.0,5834880.0,5778937.0,5812081.0,5830136.0,5801949.0,7112120.0,7010697.0,7063045.0,7082486.0,5139286.0
CalciumConcentration,4791085.0,5401363.0,5382731.0,5422108.0,5373811.0,6122418.0,6128424.0,6118347.0,4839966.0,4782606.0,5361757.0,5375318.0,5370130.0,5380099.0,5396599.0,11288912.0,5352772.0,5363025.0,5367754.0,5380085.0,5404758.0,5356767.0,5373261.0,5384127.0,5394791.0,5391631.0,6506469.0,6527774.0,6547480.0,6570980.0
CardanoSentiment,489742.0,623071.0,619237.0,624948.0,618638.0,556730.0,592454.0,576450.0,572226.0,555036.0,579773.0,596000.0,598453.0,568600.0,571151.0,574961.0,566041.0,576581.0,591090.0,563314.0,590269.0,568378.0,580943.0,560723.0,584863.0,574563.0,586997.0,579530.0,563445.0,589469.0
ChilledWaterPredictor,1383526.0,1394400.0,1664575.0,1351202.0,1704194.0,1145204.0,1141524.0,1141384.0,1346396.0,1322477.0,1320217.0,1356578.0,1618151.0,1591407.0,1650003.0,1299857.0,1338220.0,1620616.0,1605795.0,1554455.0,1517443.0,1634342.0,1619063.0,1361330.0,1344119.0,1335020.0,1332569.0,1343316.0,1359733.0,1622309.0
