Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,22889.0,23021.0,21374.0,21234.0,21199.0,21613.0,21609.0,21609.0,21626.0,21729.0,22518.0,22504.0,21394.0,22042.0,22016.0,22892.0,22899.0,22337.0,22332.0,22333.0,22328.0,21475.0,22643.0,22636.0,21364.0,22450.0,22457.0,21378.0,21305.0,21293.0
AluminiumConcentration,306080.0,306912.0,304363.0,303552.0,304218.0,304281.0,304280.0,304905.0,306332.0,305563.0,317628.0,318190.0,317806.0,317854.0,318403.0,318021.0,316555.0,315880.0,316911.0,315577.0,317460.0,317894.0,317176.0,316170.0,316325.0,316348.0,316537.0,268651.0,299535.0,299421.0
AppliancesEnergy,24600.0,22507.0,22079.0,22162.0,22226.0,22252.0,21993.0,22138.0,22020.0,22138.0,22042.0,22130.0,22276.0,22257.0,22001.0,23903.0,23799.0,23586.0,23847.0,23658.0,23779.0,23889.0,23935.0,23876.0,23691.0,23693.0,23873.0,23729.0,23897.0,23625.0
AustraliaRainfall,11098735.0,11124284.0,11133162.0,11159864.0,11177581.0,10960021.0,11137837.0,10952991.0,11151651.0,11098117.0,11507994.0,11148263.0,11154110.0,11134256.0,11163701.0,11117238.0,11161210.0,11105396.0,11112038.0,11507257.0,11162534.0,10966565.0,11180456.0,11172422.0,11077542.0,11130355.0,11170427.0,11108467.0,11128088.0,11101532.0
BIDMC32HR,9740228.0,9921174.0,9937374.0,9752019.0,9762989.0,9875237.0,9796461.0,9817325.0,9779809.0,9890761.0,9772212.0,9787620.0,9803306.0,10849132.0,10772539.0,10720159.0,10778491.0,10693909.0,10697764.0,10710673.0,10756579.0,10767372.0,10788153.0,10741240.0,10581270.0,10660665.0,10799922.0,10694542.0,10803448.0,10665133.0
BIDMC32RR,9652493.0,9828161.0,9853933.0,10672341.0,10702161.0,10811459.0,10691544.0,10728745.0,10685107.0,10820414.0,10678610.0,10678503.0,10745502.0,10853287.0,10473956.0,10432042.0,10477379.0,10411069.0,10404883.0,10406908.0,10449921.0,10479193.0,10483726.0,10447023.0,10304599.0,10381423.0,10493518.0,10415490.0,10498236.0,10346768.0
BIDMC32SpO2,11069318.0,11264937.0,11279620.0,11149287.0,11164644.0,11284033.0,11189347.0,11201075.0,11183427.0,11311017.0,11178399.0,11192225.0,11260092.0,11327303.0,9788338.0,10185431.0,10231115.0,10172255.0,9774808.0,9769461.0,9804489.0,9818407.0,9850204.0,9812171.0,9665146.0,9740604.0,11055356.0,10953399.0,11060402.0,10886485.0
BarCrawl6min,36516.0,36961.0,36890.0,36865.0,32424.0,32754.0,32523.0,36476.0,36230.0,36266.0,36654.0,36181.0,36357.0,36738.0,36759.0,36044.0,36354.0,35835.0,36386.0,36225.0,36302.0,36607.0,36607.0,33238.0,32747.0,33032.0,33241.0,33145.0,33242.0,32635.0
BeijingIntAirportPM25Quality,44697.0,44899.0,44445.0,45173.0,45325.0,45660.0,45427.0,44937.0,44845.0,45373.0,45207.0,45424.0,45705.0,45755.0,45297.0,45774.0,45715.0,40391.0,40933.0,40828.0,41124.0,41474.0,41786.0,41286.0,41352.0,41357.0,41284.0,40695.0,40850.0,41035.0
BeijingPM10Quality_nmv,1292994.0,1293501.0,1294471.0,1289896.0,1299161.0,1294005.0,1304520.0,1158795.0,1158441.0,1154154.0,1157878.0,1156478.0,1150575.0,1157020.0,1148568.0,1156310.0,1155523.0,829204.0,844448.0,854225.0,851816.0,840158.0,857265.0,734258.0,831889.0,842812.0,1109343.0,1107765.0,1110219.0,1098429.0
