Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,8014.0,7587.0,7855.0,7918.0,8053.0,7528.0,7791.0,7653.0,7966.0,7568.0,7705.0,7236.0,7284.0,7715.0,7717.0,7704.0,7117.0,7452.0,7418.0,7653.0,7644.0,8001.0,7569.0,7700.0,7920.0,7999.0,6911.0,7098.0,8047.0,7893.0
AluminiumConcentration,163745.0,160533.0,162701.0,160028.0,160976.0,164673.0,164600.0,161982.0,159010.0,163303.0,163450.0,164289.0,161553.0,162629.0,162907.0,164490.0,161926.0,162047.0,162434.0,163600.0,162099.0,158429.0,162681.0,161248.0,166559.0,159042.0,162110.0,162158.0,161514.0,162235.0
AppliancesEnergy,29468.0,31912.0,32199.0,30131.0,31542.0,30423.0,31998.0,31135.0,30750.0,32892.0,31620.0,33877.0,33306.0,32574.0,34381.0,31969.0,31518.0,31953.0,30081.0,33032.0,32173.0,33769.0,30508.0,33077.0,31793.0,32286.0,31114.0,33682.0,31726.0,31359.0
AustraliaRainfall,3447655.0,3360137.0,3351843.0,3455910.0,3394069.0,3662966.0,3636333.0,3571589.0,3636742.0,3585240.0,3662295.0,3640167.0,3647806.0,3641411.0,3694987.0,3679220.0,3553731.0,3638913.0,3636596.0,3587634.0,3638054.0,3632336.0,3558102.0,3561712.0,3592628.0,3607164.0,3612228.0,3526252.0,3605241.0,3589860.0
BIDMC32HR,11800359.0,11767909.0,11735203.0,11798683.0,11751998.0,11992582.0,11906169.0,11909656.0,11888015.0,11975178.0,11960368.0,11862322.0,11888556.0,11969511.0,12011889.0,11917273.0,11968775.0,11898141.0,12531621.0,12686419.0,12413237.0,12522444.0,12587449.0,12518826.0,12599393.0,12517293.0,12572138.0,12479488.0,12697639.0,12488810.0
BIDMC32RR,13262517.0,13431845.0,14185621.0,14218680.0,13979323.0,15353062.0,15016806.0,15164345.0,15096376.0,14901820.0,14816991.0,14826877.0,15173260.0,15446629.0,15269226.0,15259055.0,15234058.0,15076549.0,15379290.0,15333406.0,15244317.0,14669981.0,15038685.0,14944639.0,15253229.0,15271020.0,15173858.0,15150673.0,15177620.0,14922049.0
BIDMC32SpO2,10992432.0,12047395.0,12203727.0,12152872.0,12143020.0,13197693.0,13193539.0,13226152.0,13180854.0,13270981.0,13120451.0,11806967.0,11880188.0,11740594.0,11796026.0,11912722.0,11994842.0,11860320.0,11891446.0,11908460.0,11915232.0,11921917.0,11988666.0,11911261.0,11825653.0,12045798.0,11919330.0,11977216.0,11733274.0,11576445.0
BarCrawl6min,16131.0,17040.0,15880.0,16387.0,16301.0,16738.0,16518.0,16246.0,16663.0,16425.0,16815.0,16176.0,16517.0,16064.0,16379.0,15761.0,16371.0,16110.0,16483.0,16052.0,16169.0,16487.0,15994.0,16164.0,16031.0,16214.0,16422.0,16208.0,15839.0,16031.0
BeijingIntAirportPM25Quality,18429.0,18657.0,18584.0,17369.0,17088.0,18143.0,17890.0,18206.0,18396.0,18177.0,18336.0,18720.0,18495.0,18509.0,18662.0,18415.0,18284.0,18596.0,18712.0,18528.0,18563.0,18130.0,18836.0,18836.0,18546.0,18511.0,18366.0,18913.0,18742.0,18324.0
BeijingPM10Quality_nmv,616311.0,629077.0,631758.0,632488.0,629798.0,670761.0,665922.0,667466.0,667470.0,664199.0,655067.0,654296.0,661406.0,664161.0,661313.0,657426.0,666151.0,657776.0,664885.0,669583.0,669837.0,665013.0,660348.0,663499.0,663163.0,673690.0,674241.0,663725.0,659590.0,666238.0
