Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,299077.0,310781.0,462797.0,340265.0,491608.0,300631.0,310717.0,297487.0,305216.0,305408.0,301391.0,300454.0,304844.0,298902.0,308264.0,299136.0,303689.0,297695.0,303611.0,297710.0,331849.0,327768.0,324206.0,322925.0,321477.0,327451.0,324361.0,323852.0,324012.0,324010.0
AluminiumConcentration,1355062.0,1351640.0,1304430.0,4256547.0,1212754.0,1352029.0,1358210.0,1372396.0,1346991.0,1354575.0,1360337.0,1351432.0,1350945.0,1355538.0,1357386.0,1341000.0,1351486.0,1381541.0,1353506.0,1357754.0,2949193.0,2641966.0,2566484.0,2632100.0,2648294.0,3022963.0,2564776.0,2634492.0,2647407.0,2585479.0
AppliancesEnergy,183988.0,173629.0,266564.0,269055.0,270713.0,170577.0,172249.0,172822.0,182184.0,184036.0,182690.0,173035.0,175991.0,171827.0,174076.0,177732.0,171256.0,172804.0,179344.0,182833.0,178709.0,182742.0,182974.0,180593.0,182239.0,183119.0,182610.0,182272.0,182185.0,178971.0
AustraliaRainfall,185826563.0,182001163.0,260292829.0,245379229.0,260833181.0,186350317.0,181040129.0,188790742.0,255448507.0,269222572.0,181754873.0,183828803.0,179896399.0,279320540.0,262906089.0,258146759.0,264288844.0,259127543.0,258299370.0,225582321.0,227896746.0,182824834.0,179922292.0,180633372.0,180502105.0,181355501.0,178776238.0,179103677.0,181316259.0,176246733.0
BIDMC32HR,25426400.0,25307655.0,30656644.0,22259515.0,81607038.0,25074232.0,29491739.0,25233981.0,25206183.0,25105101.0,25185168.0,25265790.0,26437395.0,25334112.0,25239875.0,25129129.0,25224852.0,25223467.0,25264190.0,25247346.0,25330334.0,24939670.0,24765656.0,25006427.0,24725025.0,24949786.0,25105093.0,24728484.0,25128143.0,24724474.0
BIDMC32RR,24731627.0,24720259.0,21875302.0,30009717.0,31510976.0,24739067.0,29284095.0,24930320.0,24780557.0,24879097.0,24766358.0,25026029.0,24914516.0,24980359.0,24818819.0,24890086.0,24736296.0,24838698.0,24801222.0,29459305.0,25012812.0,24716684.0,24775094.0,24710555.0,24769931.0,24790031.0,24742199.0,24719048.0,24738320.0,24747054.0
BIDMC32SpO2,25238562.0,25430692.0,30743394.0,22244670.0,22192601.0,25153880.0,25239841.0,25190445.0,25256666.0,25119197.0,25200276.0,25229171.0,25380135.0,25348424.0,29254888.0,25190121.0,25307895.0,25149567.0,25227612.0,25127628.0,25228339.0,25124873.0,25083647.0,25106463.0,25126846.0,24723850.0,25101142.0,24759255.0,24910879.0,24819436.0
BarCrawl6min,248200.0,250795.0,393895.0,390433.0,289658.0,262136.0,257848.0,263091.0,256004.0,262677.0,259125.0,259792.0,258657.0,261387.0,257561.0,262347.0,255931.0,262766.0,255479.0,261687.0,257008.0,259658.0,259805.0,262731.0,262929.0,258523.0,260577.0,267256.0,260653.0,262196.0
BeijingIntAirportPM25Quality,1853870.0,1778187.0,2028478.0,2127754.0,2699280.0,1846459.0,1850733.0,1835666.0,1855057.0,1809297.0,1855929.0,1804568.0,1859404.0,1824006.0,1850510.0,1827512.0,1856516.0,1802816.0,1853394.0,1812239.0,1863659.0,1739763.0,1764460.0,1737588.0,1745569.0,1739766.0,1768247.0,1757817.0,1756868.0,1750530.0
BeijingPM10Quality_nmv,19679209.0,18919018.0,27298808.0,26716011.0,22869084.0,19387443.0,19277652.0,19924138.0,19520215.0,19653435.0,19441629.0,19151361.0,19419995.0,19748185.0,19618269.0,19781465.0,18385988.0,19991396.0,19357917.0,19511870.0,19328851.0,19064808.0,19102672.0,19132138.0,19214490.0,18927925.0,19071012.0,19210914.0,19224433.0,18823908.0
