Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,13746.0,13537.0,13420.0,13722.0,13935.0,13789.0,13768.0,13591.0,14245.0,14172.0,13927.0,13545.0,13454.0,14040.0,13750.0,13714.0,13353.0,13751.0,13383.0,13909.0,14381.0,14148.0,13620.0,12056.0,12396.0,12788.0,11804.0,11839.0,11935.0,11719.0
AluminiumConcentration,759616.0,758815.0,787848.0,770018.0,760294.0,771984.0,2062617.0,2062219.0,2077942.0,2079587.0,2061481.0,2073919.0,2079862.0,2069537.0,2072120.0,2076340.0,2068138.0,2057680.0,2073759.0,2024513.0,2022490.0,2041782.0,1987495.0,1990439.0,1998179.0,2034911.0,2020213.0,2006474.0,2001879.0,1999704.0
AppliancesEnergy,185881.0,199864.0,189232.0,205165.0,187292.0,190682.0,197704.0,186458.0,303133.0,296903.0,293255.0,300538.0,303785.0,292300.0,300786.0,290726.0,294378.0,296624.0,296923.0,296788.0,302391.0,299987.0,305581.0,304529.0,173341.0,169347.0,181332.0,177257.0,171660.0,174559.0
AustraliaRainfall,7207705.0,7256186.0,7355141.0,7065405.0,7297610.0,7260011.0,7224886.0,7195184.0,7125831.0,7272995.0,7438139.0,7242079.0,7177903.0,7299240.0,7335882.0,7432531.0,7382977.0,7193065.0,7356951.0,7553970.0,7618018.0,7514672.0,7400281.0,7255876.0,7619013.0,7460575.0,7396019.0,7467060.0,7542305.0,7362229.0
BIDMC32HR,212187604.0,212117724.0,211787317.0,211955884.0,211784784.0,211848337.0,211139282.0,211407530.0,211259615.0,209214611.0,211487110.0,211807873.0,211461932.0,212049086.0,212094998.0,212108159.0,201105804.0,200419735.0,200409197.0,200763396.0,199132893.0,200395364.0,200102305.0,200097756.0,200744835.0,199919310.0,199568694.0,199397327.0,200752949.0,199458233.0
BIDMC32RR,97111321.0,97117896.0,178986702.0,178455596.0,197328252.0,197143713.0,197977127.0,197766524.0,197403002.0,197856165.0,196865154.0,197217852.0,197160160.0,196853853.0,197629857.0,197092071.0,198078334.0,198217638.0,205923232.0,204598667.0,204807669.0,204950154.0,205918108.0,205671498.0,205313538.0,204953303.0,203283436.0,205488202.0,205143949.0,204435799.0
BIDMC32SpO2,202174165.0,201585143.0,203712121.0,210620539.0,209997084.0,210903166.0,210547328.0,210471467.0,210021831.0,208399002.0,210918461.0,209404254.0,209727124.0,209693352.0,209138569.0,209865476.0,210939318.0,209874302.0,273058242.0,273011873.0,271378043.0,274210837.0,260170095.0,258874556.0,273459045.0,271131448.0,271336660.0,272509507.0,177878516.0,178436434.0
BarCrawl6min,39333.0,38908.0,37874.0,39518.0,37805.0,37972.0,38918.0,39434.0,38690.0,40705.0,39873.0,38498.0,38446.0,38738.0,39242.0,38151.0,38910.0,40194.0,38804.0,39147.0,41073.0,39380.0,39233.0,34607.0,34011.0,33619.0,34827.0,34703.0,33649.0,33226.0
BeijingIntAirportPM25Quality,27438.0,27591.0,28068.0,27436.0,27293.0,26306.0,26039.0,26040.0,26348.0,26041.0,25735.0,25999.0,25708.0,26135.0,25956.0,26091.0,26248.0,25828.0,25899.0,26252.0,26298.0,25942.0,25662.0,26310.0,25941.0,25696.0,25675.0,26323.0,26264.0,25364.0
BeijingPM10Quality_nmv,792074.0,789983.0,773161.0,786680.0,784884.0,792801.0,903069.0,891295.0,894100.0,899208.0,889691.0,883749.0,895441.0,892534.0,889662.0,885859.0,888351.0,883386.0,895603.0,895275.0,892272.0,885766.0,948100.0,960041.0,959511.0,965687.0,957781.0,958199.0,941903.0,954782.0
