Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,9706954.0,9922143.0,9848783.0,9854950.0,9740425.0,121876.0,121442.0,121960.0,121525.0,122249.0,122242.0,121589.0,121856.0,121562.0,121288.0,121168.0,120953.0,121125.0,121890.0,121107.0,122823.0,120542.0,122315.0,122237.0,122708.0,121849.0,120852.0,121148.0,123128.0,122135.0
AluminiumConcentration,155676010.0,140414596.0,1353467.0,1049568.0,1376428.0,1340569.0,1342907.0,1341497.0,1340869.0,1340771.0,1341545.0,1340621.0,1341357.0,1341692.0,1340280.0,1341869.0,1341185.0,1340612.0,1341928.0,1340403.0,1341518.0,1344501.0,1340819.0,1341773.0,1341496.0,1341406.0,1340843.0,1342428.0,1341932.0,1340738.0
AppliancesEnergy,2154403.0,2499102.0,2609035.0,2605180.0,2518899.0,95834.0,95914.0,93493.0,85308.0,92839.0,88974.0,91323.0,96398.0,90270.0,96463.0,90240.0,92626.0,90723.0,91818.0,89681.0,89418.0,90004.0,88814.0,94889.0,89518.0,90618.0,90503.0,89212.0,88982.0,88255.0
AustraliaRainfall,62175654.0,118839314.0,81667005.0,70387370.0,76505462.0,62044583.0,60483632.0,61646177.0,61164343.0,61339208.0,61505475.0,60392444.0,59011916.0,61134858.0,60751825.0,61792226.0,58635734.0,66764338.0,61503371.0,60326179.0,56959763.0,61630914.0,57267245.0,60218962.0,60257981.0,58547896.0,60592845.0,58715488.0,67401006.0,76965126.0
BIDMC32HR,27392389.0,27354072.0,44745605.0,25710726.0,29997053.0,29549226.0,49119054.0,44770317.0,20155126.0,20106483.0,20117469.0,29749480.0,23949237.0,23931257.0,23944553.0,20039734.0,24109787.0,29886488.0,23877982.0,29972184.0,30358864.0,24125290.0,78667034.0,20149075.0,20066832.0,20075629.0,20082726.0,23929462.0,23955371.0,23978017.0
BIDMC32RR,27048006.0,26958531.0,30362725.0,29342492.0,29596747.0,23544320.0,23714961.0,23764668.0,29080242.0,29310738.0,29422544.0,29491668.0,29970930.0,19722909.0,19814268.0,19805221.0,19778348.0,44116032.0,48413367.0,23623323.0,23544030.0,23638315.0,23637819.0,23780125.0,23910635.0,29150769.0,29232512.0,19841779.0,19777513.0,19846189.0
BIDMC32SpO2,27329818.0,25831089.0,51104983.0,30002388.0,20016703.0,29868749.0,29870135.0,20119639.0,30330234.0,23936709.0,24091553.0,23872180.0,23951691.0,23924986.0,24138574.0,20040355.0,20028301.0,20065001.0,20050839.0,78717935.0,29558506.0,44472320.0,29731290.0,29781273.0,29855389.0,30393563.0,49086272.0,19865335.0,24098923.0,24141235.0
BarCrawl6min,7682640.0,9250527.0,8816883.0,8731687.0,8780278.0,171314.0,170961.0,151285.0,174686.0,177952.0,163001.0,163452.0,152969.0,171601.0,152249.0,179168.0,158866.0,147660.0,160400.0,162630.0,173138.0,153869.0,161630.0,161948.0,176112.0,159967.0,162416.0,163400.0,158084.0,151224.0
BeijingIntAirportPM25Quality,4543481.0,5256626.0,5417628.0,5337484.0,5314589.0,719500.0,822106.0,797041.0,760689.0,720191.0,729749.0,695819.0,791982.0,764578.0,770186.0,723479.0,704577.0,756885.0,788163.0,775557.0,717427.0,705960.0,815083.0,767967.0,773258.0,699501.0,700436.0,772052.0,788286.0,781395.0
BeijingPM10Quality_nmv,40691652.0,47625291.0,47615562.0,47530487.0,47454916.0,7324784.0,7115343.0,8777426.0,8757196.0,8710812.0,7077563.0,7342051.0,8496637.0,8973935.0,8700382.0,7107935.0,7388211.0,8754516.0,8784313.0,8660358.0,7142826.0,7382986.0,8909648.0,8706523.0,8952759.0,7184348.0,7334419.0,8892804.0,8862884.0,7263160.0
