Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,3136.0,3207.0,3239.0,3046.0,3155.0,2828.0,3602.0,3606.0,3555.0,3737.0,3567.0,3680.0,3585.0,3757.0,3594.0,3648.0,3622.0,3770.0,3715.0,3702.0,3648.0,3704.0,3547.0,3608.0,3622.0,3621.0,3726.0,3676.0,3611.0,3724.0
AluminiumConcentration,89350.0,88864.0,90280.0,91110.0,89358.0,84351.0,86287.0,85767.0,81761.0,83199.0,85135.0,89151.0,89190.0,90589.0,93136.0,89919.0,91754.0,90080.0,92178.0,92861.0,91752.0,91728.0,92891.0,89542.0,91309.0,91694.0,86698.0,93519.0,90388.0,92654.0
AppliancesEnergy,12746.0,12851.0,12777.0,12757.0,12759.0,14155.0,13821.0,14671.0,14229.0,13993.0,14366.0,14311.0,14102.0,14488.0,14211.0,14229.0,14439.0,14130.0,14345.0,13946.0,13881.0,13263.0,13948.0,14113.0,14014.0,14330.0,13868.0,14033.0,13973.0,13616.0
AustraliaRainfall,241757.0,243716.0,246900.0,244492.0,247139.0,239146.0,239977.0,240644.0,242845.0,240314.0,239343.0,238113.0,239539.0,238521.0,239450.0,241202.0,238791.0,243636.0,237788.0,238705.0,238389.0,238666.0,237904.0,238492.0,237804.0,237547.0,238900.0,236200.0,238218.0,239221.0
BIDMC32HR,2142399.0,2266782.0,2274129.0,2249289.0,2249451.0,2342241.0,2360216.0,2499325.0,2493935.0,2504436.0,2501605.0,2519858.0,2493382.0,2484421.0,2498204.0,2520285.0,2506938.0,2492926.0,2512678.0,2504449.0,2509756.0,2496081.0,2505581.0,2477899.0,2508081.0,2499556.0,2495462.0,2550453.0,2515329.0,2502073.0
BIDMC32RR,2073110.0,2192325.0,2212459.0,2190107.0,2200955.0,2431347.0,2392041.0,2433913.0,2450792.0,2309237.0,2348653.0,2334309.0,2336377.0,2327041.0,2336183.0,2340358.0,2327232.0,2346516.0,2371245.0,2336616.0,2350602.0,2315846.0,2330150.0,2287694.0,2329701.0,2317961.0,2328631.0,2306172.0,2327145.0,2333793.0
BIDMC32SpO2,2093496.0,2194932.0,2219539.0,2215727.0,2200370.0,2343465.0,2124749.0,2122817.0,2138200.0,2120551.0,2121809.0,2147833.0,2429332.0,2377943.0,2174186.0,2378551.0,2133253.0,2148495.0,2134005.0,2264427.0,2274507.0,2267001.0,2289797.0,2304848.0,2253964.0,2282725.0,2308653.0,2298095.0,2258465.0,2275449.0
BarCrawl6min,4603.0,4453.0,4421.0,4581.0,4511.0,4402.0,4327.0,4258.0,4249.0,4295.0,4267.0,4283.0,4267.0,4339.0,4347.0,4331.0,4267.0,4276.0,4309.0,4262.0,4274.0,4278.0,4350.0,4250.0,4289.0,4359.0,4394.0,4348.0,4352.0,4324.0
BeijingIntAirportPM25Quality,6641.0,6528.0,6599.0,6523.0,6559.0,6090.0,6083.0,6029.0,5948.0,6031.0,5976.0,5992.0,6040.0,6092.0,6007.0,6033.0,6065.0,5984.0,6057.0,6001.0,6042.0,6045.0,6053.0,5985.0,6015.0,6028.0,5987.0,6027.0,5966.0,5505.0
BeijingPM10Quality_nmv,78907.0,80281.0,80057.0,80544.0,80778.0,86812.0,86603.0,86563.0,87128.0,86322.0,86605.0,87038.0,86562.0,86862.0,86969.0,86578.0,87023.0,86895.0,86810.0,86766.0,86876.0,86665.0,86836.0,86746.0,86687.0,86904.0,86591.0,87213.0,86776.0,86799.0
