Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,4.49887532763389,4.279623620361382,4.405893163855865,4.868033849059578,4.476671316769636,4.656217591238619,4.511513436872868,4.150056271328379,4.541284255937143,4.142427118519737,4.042794119685556,3.7149591157838224,4.6589804885246515,5.182235574983261,4.905589852754879,4.569068668974862,4.349898352721659,4.616008848080562,4.48217177784076,4.662363061120319,4.278969561205379,4.877281931004747,4.311426836791309,4.690452281475844,4.3130465580191135,4.674854217280967,4.186531449839652,4.527841266395846,4.467724479538308,4.901282363162596
AluminiumConcentration,202.75801670405664,216.38462827905565,202.46658615157796,198.1462841843552,208.80502285053066,203.5385707458413,201.23171048075469,191.60109318917242,212.26787525440096,215.6463051194081,178.32829455328928,203.05724596535902,193.87047159566498,190.64921768161048,205.64298313659975,209.50551153827095,202.95373822074245,198.479666644029,210.60780758953047,174.57802999426812,211.39353390056007,212.6444430190073,196.7820230631715,225.2861612334121,206.54055202030904,215.7004988662167,180.66871145362313,195.35716280931607,186.38624316437094,196.26745033867587
AppliancesEnergy,4.106629521141024,3.952930906652483,3.8611297461175718,3.536205176412224,3.9110859433461567,4.363971920004643,3.2949458064587778,3.607830938402935,3.188601477656731,3.5119288091676566,3.4882100865229084,3.9562733506321335,3.4983467244807933,3.8613709977185624,3.5363515022558083,4.006189380331503,3.3397241842165464,3.2849219248056434,2.998200448518683,3.244880075287054,3.9679657313209367,3.676481636557978,3.582305659979583,3.5549536130647503,3.8221326885304863,2.852476721816623,4.310564565313787,2.9314819353263917,3.5776874522328805,2.4110228794900026
AustraliaRainfall,2.77417407720593,2.837779273948873,2.8785018297625347,2.7581070565859505,2.7492750021254913,2.749746177829452,2.7854240025431896,2.780914698420651,2.800317095259184,2.7735054652574442,2.7782551778749784,2.74265444911386,2.7898985516150163,2.793135953282074,2.8174307934052942,2.7660301933394895,2.7786677632886017,2.7976215090017997,2.7983076479789495,2.8340230201926344,2.8478098584442386,2.7675733952073935,2.8507265177827428,2.9088615698400093,2.7429207942371026,2.853912470182424,2.810246218339728,2.7821815029501975,2.7927677504171036,2.8888660178141397
BIDMC32HR,10.46644695854327,9.388123556392921,9.661804366870516,9.789150458758645,9.67292160917928,9.672879096676184,9.733087559941422,9.878464375348804,9.751583106840789,9.870874905487112,10.088235201901108,9.627696397185387,9.662929620869587,9.680572502727541,10.064879657542525,10.020365492305144,9.684766978327735,10.065436481520662,9.900423280498037,9.852268321134993,9.646593797215012,9.700576346590962,9.707043636130846,9.6972769803412,9.83712738768088,9.933039156190656,9.900164868354558,9.772353137188784,9.821382209488347,9.579946551997104
BIDMC32RR,2.634319435110571,2.177998378457357,2.148041452243159,2.202800530516906,2.157762819762983,2.1333114790682797,2.190156822512949,2.1772530332225224,2.1663382395806794,2.2059407199387855,2.177945279890245,2.098190090226783,2.1819913085337275,2.1473730720661774,2.102010756899936,2.1987958735483306,2.1865512953128694,2.161901725496576,2.247986099950959,2.173403701970444,2.1250108160461623,2.171499506049705,2.124526755976873,2.160544851035596,2.145375220950561,2.1462761738273426,2.180455354751428,2.2123323703630935,2.1331119041038398,2.187780394484503
BIDMC32SpO2,3.6119920977969553,2.478826602221789,2.529485967293694,2.450606103650666,2.5175457354250277,2.4581004171321514,2.4380632324430507,2.4665186637607426,2.4929389853967945,2.5036844364376716,2.484358138737568,2.5047870849783007,2.4617460376925555,2.5281405687472547,2.4881064788860567,2.4499069531114976,2.5231254423368124,2.496394772039992,2.50772238707476,2.4780023175180004,2.503397436624091,2.454983897050877,2.474055267028491,2.5134451069345674,2.5164663120944053,2.4621727813426135,2.4511430788659876,2.4915923601457597,2.483336106361007,2.4948791784030955
BarCrawl6min,536719.7346728967,235981.91477030408,402931.72935240425,145012.55249913657,1140326.0466994965,837617.8469354114,1996885.5005999324,787954.84354129,1358467.511906305,39069.62504630972,14576.093667228512,1589054.4230791866,459469.2221815429,2520.4834891944774,0.17977244934261438,1577488.6402711172,1447993.1134918653,337562.0442921191,1840000.5705495095,805980.7166331016,1251383.7776959958,311307.63702042814,1767470.1297017818,525543.7043058436,633489.2638351478,447863.2395326579,313203.5516588344,301306.3955172947,71526.28608124323,954976.6568961891
BeijingIntAirportPM25Quality,45.15744226483316,44.29273181572589,43.58330390662578,44.946357004473306,45.620054214226734,48.27274732067702,44.86253565891042,46.85178915282968,44.646627709459615,44.8331621471357,43.49904082567729,47.136615968013146,46.59244603447154,45.62891835083128,44.82450963999291,40.42567530229593,46.003563455585024,44.90680193306492,46.573232505981075,46.24570679378677,48.70513075765669,45.286922397037614,45.59656199630103,45.648353543214675,46.43773065691136,45.82097943569764,45.070112809341325,43.93545692731028,46.22278482226258,45.05783572825091
BeijingPM10Quality_nmv,63.13822943098676,60.96346774780988,61.123553883503696,58.711874150503256,60.66730468412118,59.891635641602186,59.47169594806542,60.30717103227932,60.0138329933546,59.602607968639155,60.033826563029194,61.109440700772495,60.5470158202158,59.68397092924292,59.780515919346,60.34209976057532,59.23880169075629,61.20051831004866,60.443008700472724,59.54872473342534,59.23184345578295,60.20450543382207,60.312254420715725,58.9719012977835,60.42168894634173,59.23832986422665,60.01738768465865,60.76968429664951,61.269513921840876,60.261856304371705
BeijingPM25Quality_nmv,42.54150864566146,42.498488888450076,42.54658881367644,41.87029335454166,42.5655383247989,41.99290351784331,41.79149609104645,41.680812510674635,42.779837796623156,42.12595275678332,42.219992207714775,43.21235847350061,42.73242016163161,42.16967854291115,41.7960117015295,42.097825340867814,42.342041809879795,44.13047970390803,43.168916940771645,41.533770389650606,42.06363041274246,42.56273142801228,42.39794438178581,42.861995965606106,42.08265089828913,41.727880581203785,42.075880919920635,41.88106703525102,43.00286806223399,41.6560653289763
BenzeneConcentration_nmv,4.631634786249379,3.561371565872508,3.514134500591484,3.523827051817959,3.509649577350268,3.537970886100271,3.561600371453278,3.5272640757078904,3.510689205474799,3.563233278182453,3.5687490780909537,3.4907142015131964,3.506461795442273,3.5123971689116784,3.4753922059783946,3.5239148368789035,3.493340285130319,3.5352008502451198,3.54094528770179,3.5480940879618528,3.499216860167707,3.499953717962844,3.5274783135692096,3.4780426282947885,3.5191045274222192,3.554763878522343,3.5323903099771594,3.4875090159934565,3.4796581943867553,3.484224897518046
BinanceCoinSentiment,0.31820288900753496,0.2911937042130654,0.2847672389513532,0.2282494295941512,0.23514101586278294,0.2836656979878085,0.29173648252559337,0.2612426020169012,0.298455225265264,0.2982819407813984,0.278806572257539,0.27344292038098195,0.27773710231991006,0.27834347577816954,0.2620410887030578,0.29363399270849294,0.2724047107558281,0.3274578495837986,0.2980034335628623,0.2985820661074501,0.2519919130663208,0.28581362386805675,0.2603602499731189,0.2609446027779553,0.29878360147908994,0.2820340059172012,0.24964604234133153,0.24255772472294754,0.30500421445855674,0.2717840430770084
BitcoinSentiment,0.18133067610603884,0.15152753833482108,0.15297656026475295,0.15634749612384793,0.1618929406546127,0.1631897686322584,0.16381736287876472,0.1558149870572218,0.15137426580782903,0.1912196767117147,0.15140258668868,0.14937785159879097,0.14241953068613042,0.15298594189444312,0.1358273326098936,0.15975256619869208,0.15403604203533502,0.16084556515865386,0.1340474293192086,0.1451617954704406,0.19933642565379245,0.13639189698053097,0.14358053838287627,0.14584756244975602,0.15484432129072123,0.16060930062379775,0.16664479651928307,0.16282393054713168,0.16764995076326028,0.1517814437911243
BoronConcentration,0.636638093241993,0.6751049082365035,0.717234585460462,0.6549593619636969,0.6875166908662141,0.6977515741215776,0.5963577380222179,0.6319482291000392,0.6670903764792654,0.6409557072980208,0.5970007261123885,0.6581467550152873,0.6425134934711773,0.6272843977880347,0.6710358218723936,0.6908304901352245,0.6651988940181988,0.6755425095319537,0.6248929140822737,0.5861077513851395,0.7005373986169336,0.6275472005447725,0.6714340111799566,0.6022526566347354,0.6150202921132478,0.5852194892725839,0.5751698717503702,0.7070883304942215,0.5721019706232816,0.6591476965607187
CalciumConcentration,1680.0716401120928,1392.3705531232722,1738.0645217564456,1612.866453841977,1787.7103855918708,1470.1092680489503,1691.9753487506212,1630.2239865970869,1606.5299132377554,1578.678506579731,1587.016821106465,1747.2396783150175,1387.106379611764,1387.9753649005274,1305.1727782188814,1547.0100118802814,1594.5591162840797,1610.8386517576562,1752.91994243527,1665.1329090279464,1629.0335010588133,1599.4838682849863,1377.2373625817788,1617.046937069708,1494.6835867781278,1712.8710493777216,1532.4854798386682,1744.5630194662274,1558.4985001689734,1585.0442717931367
CardanoSentiment,0.23554888828840512,0.2677458838330797,0.2691419938273095,0.24692583606277013,0.22556598571919548,0.2337034382112774,0.31633617064326264,0.24110830100534983,0.2554825150953488,0.2763610980896822,0.23443301468385572,0.30174131714966246,0.2501862266145894,0.26906956579554286,0.23477437099503287,0.2960078708749227,0.25439780699163994,0.25618137165394633,0.3413869225271328,0.2560324623822652,0.31888706560086766,0.2663142762076003,0.29041860246221507,0.26996701759393804,0.2715549386125052,0.23059831753868046,0.27204352965194145,0.29860991218725796,0.22688098835517564,0.2963577293566133
ChilledWaterPredictor,1220.9816731421906,1122.019253501623,1168.8826099096905,1105.7018829308665,1020.4796249101659,1218.8370633560594,939.2261455904147,950.7889182613268,1143.1397929406942,1186.1246647749285,1144.578520234999,979.9849951895244,1222.9148047510803,1177.3221828624835,1275.2679427743208,1119.6896090558917,1114.1354132263987,822.9352636642376,1181.4491867074044,959.4495912758864,1101.3757553969695,1083.6250435504867,1088.1738596968053,940.2861255591449,908.094929231942,1103.8276824059421,1075.029638461699,1152.8694629950744,975.3651191761478,1101.0502474868367
CopperConcentration,1.0391852017433654,1.0371771500353664,0.9602453436474961,1.0545629729715749,1.1027372252507592,1.0777689836230313,0.9915528087113327,0.8805913428173774,1.1089466938715657,1.0629364724586288,0.9973901755954913,1.0056048836302072,0.9584165373958308,1.0894476534106414,1.0266264720850455,0.9394499649731626,1.007602779635985,1.0265083783486215,1.0250812739585515,1.0115896483406228,1.1447161214559405,1.1320378019283939,0.8267191554183548,0.8164938286276123,1.1110220218943991,0.9917179421104826,0.9834158235798336,1.0601958180148499,1.1008714396117905,0.9942427548910809
