Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,4.357943223265167,4.473630450585688,4.294119611731988,4.907100110593971,4.757958319122021,4.3255480327806275,4.6253853604478925,4.2876742524897145,4.640112060074342,4.291338979565184,4.141691502377644,3.9403513988136973,4.524066582293403,4.6082246561175975,4.661301814409807,4.722532268744912,4.523451465464714,4.888471485643671,4.601874718488724,5.019978227230088,4.538109136749923,4.664984437915071,4.4032847971081575,4.781294027222575,4.445179568103381,4.958256471666625,4.2975691391564625,4.733180247144116,4.753589997806257,4.771818408178204
AluminiumConcentration,201.83006797452805,206.5068607428716,188.01926395031543,194.76729999054547,199.89068553817216,199.07248390768925,202.49309965894273,190.04574684695874,188.92303532878498,192.47795357412568,174.6603455897918,175.9229130051446,180.56967164501108,184.1075623935735,188.72899590549247,200.06121551529836,193.89346943889413,182.45553905696045,187.7221274808671,174.89019001377812,212.11883041651544,202.74204407262164,195.69771750889106,214.6643515065323,208.1750766896431,210.7662726753357,179.1516444752935,197.87627422188604,179.53134569289884,177.58801465880782
AppliancesEnergy,4.297317483271117,4.377031373824468,3.396555580736482,3.3216278973253734,3.2843263168483388,3.393596767890062,2.8139793635904677,3.571705038398663,3.150542209444875,3.9212143138288513,3.4865731743515713,3.1166440272898552,4.508175084768167,3.7604833701672327,4.400580637095313,3.6297919084658057,3.8108921470356294,2.8628182214335816,3.412462611354358,4.446420546076631,4.018967629332307,3.0865941444128335,3.1118265956212774,3.4924000169946123,3.903532083173149,2.6011886733835,3.8161136085878784,2.975886439088399,3.0832310032680246,3.0301500172069917
AustraliaRainfall,2.76425665713574,2.8303586857656815,2.871797315122175,2.7464701727610437,2.7358205315600057,2.7364900535381858,2.7747336976208032,2.7701087878088013,2.791141870691522,2.762257150173061,2.7671395436032786,2.7323983870958797,2.7788166339188343,2.7840356484872806,2.802835502746522,2.7537446924602214,2.7676389783867488,2.784991121206597,2.787454388393202,2.825335761047802,2.837586013682848,2.757893574445322,2.843832736318503,2.9009132421612005,2.7308871101124836,2.844226982950126,2.80218960772887,2.770115582063447,2.7848208861936827,2.880984396197511
BIDMC32HR,10.465925577750212,9.411471470826006,9.653906879677121,9.794154779549945,9.709061516787074,9.692750119327098,9.738329977370306,9.892583418552352,9.784781773039553,9.846305369701872,10.045957235459941,9.627798056525618,9.65086596858032,9.695681940066192,10.067758548945797,10.021805245733857,9.672580917806167,10.0625485945661,9.855225056880943,9.896695572926843,9.640982133025513,9.696553708768366,9.682567532390149,9.709066735119455,9.869390907178433,9.915332694151672,9.897989394713752,9.794031575797,9.794301658098597,9.588004128204544
BIDMC32RR,2.6341783262596477,2.176351603570549,2.1464471035235024,2.2057900204094034,2.1513195940364644,2.1332132934895816,2.191559228043541,2.1743977582237832,2.1650696411670873,2.1978365847633228,2.1773863485205633,2.0968701221387285,2.182880302242634,2.145810393764316,2.09392420875495,2.1982737080029238,2.1855875129372024,2.1518496531213427,2.2438762700250203,2.1745744458641116,2.12317175315736,2.1695569663951577,2.1253370393403457,2.161470166166852,2.1415004410036254,2.1536225514378895,2.178202843555749,2.215406522674622,2.130747620312687,2.1914719988993707
BIDMC32SpO2,3.6130053006332488,2.4852895297632154,2.527819183800888,2.4489481654100906,2.523161750022114,2.4592316690254985,2.4314034279564316,2.4710201189282333,2.496471204803764,2.508334155800713,2.476762901845687,2.4973364330425225,2.462949432488085,2.5292126488100526,2.4864978520606384,2.4472596653967136,2.5215928190223655,2.4912644876977446,2.510301235251083,2.482686875021906,2.5032425616156253,2.4576314114695554,2.4761424171664554,2.521071521755638,2.516134105282851,2.4706424497551747,2.452864699931814,2.4926338207757257,2.478801770870632,2.498571136365929
BarCrawl6min,547802.4183988913,1265724.463723604,705691.0255233322,419072.61851483624,1013984.8555440579,2774322.1861690823,3242249.9324216377,381567.51496615534,450012.27300109126,76529.80398770116,397267.6889220877,1661301.2158031105,923090.7308880854,9772.04727961403,0.08617210129533673,412817.2837449713,1705261.067747975,196817.4602017239,364652.7357505101,622437.6533455143,144705.0081766542,701853.0307361481,1093986.7949741005,155874.64586381215,78089.77045376654,159169.080723393,97283.8295002272,1627104.2054377268,27215.57311975118,1073366.780432395
BeijingIntAirportPM25Quality,44.47575923091007,43.93194465583093,43.34154279407376,45.03256370431853,46.10642301836084,46.059227721898935,44.928250675849725,46.8154532904535,45.18389830329012,45.28777106543858,43.47387941150149,46.99865393890829,46.91105941209395,46.06868807437847,44.696411885773315,40.865765903844945,46.46040908056442,44.60747766569,46.868281861892015,45.68634161134254,47.431347858774984,45.00031783275223,45.83490982294155,45.57093345673091,46.56923845977042,46.08426701041219,45.20391106770731,43.53295492953173,46.44549723975905,45.24311975851882
BeijingPM10Quality_nmv,62.456138710039504,60.93385021930778,61.43044016384779,59.02625963077363,60.776632882820884,60.01114398753928,59.745146784098644,60.33626036889723,60.13230216023193,59.717298194849654,59.8912335487751,60.92759228346286,60.442601900851024,59.86216466813716,59.74477911264943,60.33273796439489,59.69368666171096,61.128120319515716,60.60232151280973,59.61460911298945,59.45128608551544,60.453230686782106,60.57224300539222,59.06045092574617,60.578736765504026,59.319085090304206,60.24464754709569,60.852116964097405,61.29107074200915,60.84589177297901
BeijingPM25Quality_nmv,42.15281815199505,42.72885211389525,43.03280456276422,42.24871092742289,42.96067427323876,42.34029463332404,42.218287777257274,42.09647419262952,43.17614078212777,42.36270862891301,42.59947595779075,43.56069192884578,43.11346371188964,42.22451168802584,41.90778676640977,42.50471134964246,42.93854463087239,44.26517400428637,43.50515523495816,41.93425070755067,42.432350160753685,43.031200102880575,42.66252361123526,43.29713644679992,42.5165074124078,41.99542867746578,42.38823105421385,42.22775615831573,43.31601044501627,42.214593940917325
