Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,0.05178444341990371,0.05378432843205412,0.05143152623303926,0.05925163279919343,0.05808084155470419,0.052666290527860475,0.05711501578203282,0.05165202680515663,0.05533129935824684,0.052330661898027965,0.05043202749443831,0.04865610989121633,0.05492552187409984,0.05617371487088872,0.056505997817298245,0.05701683293001917,0.05530665214328764,0.059398944222174704,0.057750303368509476,0.05965656650651114,0.055303959415198646,0.0551676057377363,0.054745217114435245,0.05883420985254352,0.05215085343494012,0.061111681020102795,0.052136832896872314,0.057484519125208654,0.05685450930152739,0.05933993556251957
AluminiumConcentration,0.25887643704880287,0.30041844780941784,0.34723984334447355,0.37601019958405035,0.3109179862745917,0.2855318590536239,0.45798116107406023,0.3664578764246518,0.4400906770706634,0.41058075088174684,0.3446333231322828,0.5449877441232783,0.4749764777280063,0.2813076021000357,0.4625226117052867,0.31917243344422586,0.26652531677631736,0.3367358312632884,0.4531913048503194,0.2759179207604696,0.2950724977450863,0.4872327079354899,0.41016940576189714,0.2979163143074596,0.2846248198986551,0.3605803275070073,0.25945133402025233,0.2815614548743138,0.25004954551314,0.3049566066016538
AppliancesEnergy,0.32479707866289187,0.3021146769143157,0.2739242895212031,0.25262045008334627,0.2552740361681365,0.2794007863387863,0.25614007559451074,0.28549835254169764,0.25342691680143964,0.2717692060923107,0.2752424660782689,0.2506217952440015,0.33546885891955036,0.2920939711848717,0.28894224542439906,0.27270066908804225,0.29399499761045284,0.23268074529642924,0.2541328563374309,0.3493065372571014,0.3199226362751968,0.21879246768938004,0.25480428587911547,0.2702060036044935,0.2802135514600523,0.2227891769946257,0.2670045164114156,0.2428778950419389,0.23569827633037396,0.243075186338921
AustraliaRainfall,5403796410318456.0,5382974656170758.0,5284113297820663.0,5487227430648068.0,5458114249037518.0,5405523712091461.0,5450764684123576.0,5467132440265583.0,5306896687621314.0,5413531028987190.0,5347369275667919.0,5535469119778463.0,5387155589097570.0,5335320401582881.0,5359472204392915.0,5494113942353955.0,5423144655409786.0,5394135346092518.0,5356584710591977.0,5246109105856204.0,5334282243270159.0,5363314320510475.0,5280687853419465.0,5209191906861918.0,5558148428718058.0,5343610030937577.0,5398067420766710.0,5460129225166041.0,5387992539112379.0,5223886864338104.0
BIDMC32HR,0.1207462130582271,0.1061296917152121,0.11027740541431919,0.11250741991737327,0.11203854115167382,0.11190379495560827,0.11121983749812488,0.11206507515672803,0.11184819165618258,0.11263212746725544,0.11427389513814201,0.11075023853405853,0.10931398384761651,0.11024551373533606,0.11414398077462187,0.11390630296039582,0.11002589049567425,0.1137428484330158,0.11264828274808167,0.11210968461667084,0.10972330687190382,0.11054787668223502,0.1124892038095389,0.11011892494896224,0.11377672256443416,0.11232746334859522,0.11149711707039063,0.1121163125027061,0.1113215641209458,0.11079788573497822
BIDMC32RR,0.15970735670784866,0.20395829738484353,0.14768830213609738,0.1552660258410848,0.15037734455560312,0.1462609330991258,0.16826154421488546,0.2053518338708842,0.17174102503448532,0.14480182884044157,0.21885867218763363,0.15886475162750385,0.15918422346691424,0.14274603140084016,0.1874017538890608,0.16261907501732137,0.15164396105632924,0.1608626080878014,0.14690504121724535,0.16239993027632196,0.1538582143846664,0.20346177724429337,0.16903262700998192,0.14989349552810302,0.14044992472783172,0.15864081613144346,0.16919687988762164,0.21014464713666625,0.14294719118081875,0.21752998210994748
BIDMC32SpO2,0.039318690459115284,0.026194652920046517,0.026700414332222602,0.02581095650841459,0.02668625304405976,0.02595766142847751,0.025674263462181074,0.02610347149009853,0.026395074245783353,0.026547373530295865,0.02611934833215342,0.026410021951418856,0.02593909557368043,0.026744588019052693,0.02617566872940514,0.025816373049062945,0.02661395469771325,0.02632876979204863,0.026555469189517344,0.02620557457440932,0.026415829772883846,0.025941499923567386,0.026129110931471078,0.02670549504463897,0.026576401031419068,0.026078196248372907,0.025869885567475517,0.026345678719355285,0.02617776267779762,0.026385320617578294
BarCrawl6min,11820371.876536295,28040105.87252888,10405152.766636094,6572233.020738431,20597038.73318357,55997177.92815931,64248521.31828256,7094115.088654458,7887010.939448131,2131142.857327069,8981020.938584523,25532754.14931095,15676177.993851777,169103.86799587146,5.941995282287017,5922234.446317453,25921694.9169082,2495505.033164877,7794894.027604599,11740077.876644699,2798065.5057798233,15328220.790684532,17338176.195600305,3177283.4939140794,1287295.357999774,3821074.6831254223,1207580.2682395957,25814406.01069479,541057.9054485667,19139730.8105758
BeijingIntAirportPM25Quality,0.790373112676833,0.7742486202084796,0.835794418434511,0.7798081899238548,0.773663508841086,0.7914423489706732,0.8492669736285577,0.7787338688576517,0.8550619495005501,0.752273608656708,0.7930642871593035,0.7654628809056566,0.847048359281267,0.786587154309267,0.8472595798390485,0.7568052916581999,0.8516728444627139,0.7683191711682296,0.7086598921587891,0.8108645907746093,0.8280328095781374,0.7097420866463249,0.7547309384307392,0.8033739744310952,0.7902160319934509,0.8500885081089214,0.7723687988816708,0.7822539855217844,0.6934005946735282,0.7177934677210646
BeijingPM10Quality_nmv,0.48047299263090937,0.42611575352362535,0.42794437427655735,0.4279890162384946,0.4264903107502594,0.42020430713274304,0.415550075759174,0.42294144726674665,0.4188928453663401,0.41964621752681586,0.4310715296399686,0.4170843117335556,0.42157959503627696,0.43434204659173614,0.42898430006783694,0.4103866501455568,0.4175569333524897,0.418133562640012,0.4291334677457015,0.40500251662420056,0.41262787235499965,0.4110368377756274,0.40519292283588937,0.4093691713756493,0.4249595329268647,0.4113360194027724,0.430972754137133,0.43825661004551886,0.42865905049350733,0.41835102779317235
BeijingPM25Quality_nmv,0.5399620262286766,0.4803092945984913,0.48189244475256804,0.4852160860557959,0.489743917629552,0.4646235645183243,0.49018539212074086,0.48095548401276067,0.4837720555950328,0.4922410196212275,0.4838796905102879,0.4950454272272767,0.4873927484491253,0.48927911446755157,0.48526130769227976,0.46727794665878525,0.48815693478505606,0.500039125421644,0.48676729806924557,0.4590051202937995,0.47114506016551316,0.4739847217829822,0.46216057313773745,0.4812671635019596,0.47230657766742207,0.48391744457229985,0.48044230301526086,0.4923216490337148,0.4879937315551448,0.4769214223634352
BenzeneConcentration_nmv,1.530332578374036,0.6096103231250439,0.6426734835691366,0.6394140885836737,0.6074034467295051,0.6939463465720112,0.6094156123776414,0.6381937145840316,0.6346764845254755,0.6079077480391698,0.5926178770954316,0.6602300712942251,0.6606594289539112,0.6593712057448147,0.6216249288412713,0.6161560846143508,0.6342181751251729,0.6030946480216055,0.6355246834342448,0.6311613333484536,0.622292487911082,0.6552410325866677,0.6236813995383771,0.6705812077149763,0.6362543311688756,0.6244784618650107,0.625220033257437,0.59866996039303,0.6634719477046898,0.6421053661722598
BinanceCoinSentiment,20679731654109.273,101522138443307.58,12804031233919.771,1.8614650544510873,99776687911448.86,188077595918030.75,48625771627850.38,41693624474301.91,1.5516058399225066,45006841988484.45,61953855620619.98,140917667992383.25,37978911807775.94,65410423861187.57,117617067962846.56,17425981195397.055,71168732985038.03,41293221404151.375,16567732008861.604,37119407829526.64,87229414041278.17,169319452122061.9,70834235357530.48,22426910284614.418,109045769393380.64,158637045687828.25,15182862717104.3,21844339341433.727,147145869272619.66,962833276717.7971
BitcoinSentiment,4.390079271948218,2.106060581428732,11259563481173.0,13111028860458.883,4135163855708.5796,17238410063894.805,22448656877556.156,17578081520239.27,32923105204455.953,15147734045942.74,13325290485494.385,8205827906337.454,16409775699626.215,25691517121757.47,13945124395650.19,16135859862869.973,14172798677645.803,4.374417680153402,1.936360838306997,4025093751679.2744,15767641147972.875,14977861229181.455,2.1740987247518215,3259604064230.0723,12118754378742.607,15216588037005.193,12544873126042.068,2.66351009889491,15932818499327.03,16961361370626.873
BoronConcentration,139.25413528256158,66.17827109626631,209.06906272650272,60.24739759497595,190.41241874163507,82.52360891886809,165.02900542968632,78.99446959402769,212.0590177476691,150.79086073924728,132.22239202620787,167.1674983713641,108.17553496576352,156.9496133061171,82.9780980239874,170.72649464951772,140.558777989085,81.38150713296042,134.06881161672158,134.61896962335328,107.81698964629169,146.14875019987028,147.2796656630032,158.2664669599315,131.09057709964446,130.16753668805464,169.85043521398163,190.38659568250876,123.30652798861774,81.2400423478414
