Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,0.03906615166166691,0.04749097159655818,0.03782260266587115,0.047136758439306724,0.03902121402448841,0.04062676158394441,0.03718801884033329,0.05037042856334078,0.05825912072934626,0.041756419716769626,0.04044720701026985,0.033594916553934394,0.04584124203088932,0.04477398405378244,0.04828652295334439,0.03859362948549653,0.04914431334651806,0.041372009965653885,0.0441169687926544,0.04132845721612466,0.04790527275546491,0.045823870592195726,0.03951911155658226,0.041804406798071264,0.04415417429037189,0.04703101421966219,0.04050010756481156,0.04147732550054327,0.043001163992988874,0.04810363102487351
AluminiumConcentration,0.19929855722749099,0.26851482870677323,0.3029298377245635,0.3973444234516805,0.3105177154206511,0.22684090951156058,0.461129790750801,0.3024521057003158,0.6191201886219346,0.40618238234880133,0.279699009624777,0.8152021154699337,0.43854620108497505,0.29202072698851117,0.3689998541893214,0.28204862101813577,0.2174233169189077,0.27216265621148794,0.7404901838706346,0.3317552946540307,0.2552797254017888,0.530444161496195,0.4212719762138739,0.36353921270086936,0.24720216403449802,0.2355978377518513,0.23652506385901664,0.20101469303083305,0.21203849464640614,0.269970093132526
AppliancesEnergy,0.1356373899999365,0.1682463689584934,0.16825207990379296,0.16793093306392434,0.17773014814093396,0.16075820923477804,0.21148991654448815,0.14683196258638104,0.20010868512702484,0.16187850857018646,0.14138617710616844,0.16756653362377646,0.18814318755119644,0.15732725481296375,0.17115124298824064,0.14901040095581916,0.16848725374789,0.20585958252899014,0.14218042342760046,0.15850424136044006,0.18571146306665925,0.14910792894978783,0.2081867286499969,0.20757189078625946,0.14734318183994205,0.167797988415808,0.13952946515082937,0.15398488690236925,0.16049548078118603,0.15022132563851126
AustraliaRainfall,1.8994735465757664e+16,9486107650786290.0,9192109286572444.0,1.8773338463348436e+16,1.907284097308854e+16,1.883408655089121e+16,1.889960843546525e+16,1.8866099009871224e+16,1.8376738056269668e+16,1.8993536270219348e+16,1.83275300147638e+16,1.9166476219664296e+16,1.8584686243622404e+16,1.8593212566507284e+16,1.8396591009162708e+16,1.897323664173428e+16,1.906907593016351e+16,1.8883673631349884e+16,1.849349281022582e+16,8920837762335139.0,9516126943917672.0,1.85427421503828e+16,9139883718903190.0,7806618138006981.0,1.9194542243338804e+16,8825164314972506.0,1.847509153882109e+16,1.8858241505760652e+16,1.89759599492248e+16,8795396499915125.0
BIDMC32HR,0.05380696320630677,0.003376520798252978,0.003512335717964576,0.0035751579888448903,0.0036742771042138026,0.0036303567133964495,0.003441889498090024,0.003610609686432845,0.0035556189776126557,0.003550306478174645,0.003791289517574276,0.00364919041751864,0.003636759715603019,0.003573909218527914,0.0035016427267897743,0.003482585094034501,0.0034863848508447813,0.0034454028616198785,0.003529331876676886,0.0035748815724832893,0.0034761445102307817,0.003649963733592097,0.0035714416138868527,0.0036380788166564676,0.0036590045541654015,0.0035209045218468115,0.003527517327758796,0.003560731163913014,0.003404845782145802,0.0038010102119426857
BIDMC32RR,0.19619356842386046,0.022129901073722088,0.017653555091826055,0.01821904422668067,0.017870964470666446,0.017417720430722202,0.020802439204900266,0.022770455359385305,0.021972195051790593,0.01787499337131705,0.02539530252083268,0.020266420713856502,0.020088590575909865,0.01872731746484288,0.0171368923989735,0.02047138390835613,0.019369540722894357,0.021424887957734815,0.01772577608947845,0.019701174527906484,0.01848472496153187,0.018450574352544342,0.02183732136054826,0.018966589742684337,0.01765293293576617,0.019810214963759225,0.02244860619030663,0.024396267257891992,0.017767974922447697,0.02185423405486589
BIDMC32SpO2,0.03912519899653432,0.0011261707355080658,0.0010618447168543375,0.001100916115588329,0.001128326654067204,0.0011323732383533751,0.0010705001337189392,0.0011284336577536721,0.0010943226570002292,0.0011370770852075637,0.0011305241811971497,0.0011772890117128859,0.0011441538435923992,0.001140515344316053,0.0011295678036541323,0.001091927971898924,0.0011016710439360903,0.0010792534793830548,0.00112104526279746,0.0010965686539999998,0.0011309777753784394,0.0011170350642664697,0.0011721477580793594,0.0011378588728200066,0.0010972744733988335,0.0011127920826125635,0.001055331500591424,0.0011203929759858876,0.001153176002129671,0.001191800901158732
BarCrawl6min,12.116495611909304,2.281267354486783,3.9145483573921718,9.023594266597295,2.561011294768004,1.7344505434261104,3.0476956178458154,10.530400788040383,2.211229996823499,12.7540263829271,1.302532059933684,1.819081775166912,2.543499289361709,2.3169391342593553,2.895856350282596,13.587719095040322,10.15886128114237,3.4854252060221786,1.1946484576425924,3.6612277769327375,2.2463139734013806,2.3739714426354768,0.9502581780950003,2.281662106684488,2.9807189853210416,10.39235379480325,14.725988904140424,11.166949675830512,13.862448845221202,11.89641060957819
BeijingIntAirportPM25Quality,0.7769130768913576,0.74920337826733,0.7444366090741663,0.7454493367149708,0.7719931492792595,0.7368400405633788,0.8409171312896517,0.7631630232768112,0.802274746814984,0.7771950324849988,0.8186007016591026,0.8211138430111719,0.8349145965014472,0.7392686531632084,0.8520433297521629,0.828106300404116,0.8854414624037792,0.8475342433906263,0.7082503758294906,0.8124338349463949,0.7382789817311802,0.7096962716006922,0.7549858922397301,0.7733997818339902,0.723650008502227,0.8056014039958466,0.7352059835816107,0.828718550101383,0.7726905784466447,0.7698812114780017
BeijingPM10Quality_nmv,0.7195383072234645,0.4887689228261651,0.4919169426834917,0.5017745511134649,0.49448503838662833,0.48040348497824936,0.49324269090639195,0.49111202146925126,0.4786285971179632,0.4853558824249335,0.4956802528953915,0.4908761081736697,0.4937720309775029,0.48995256275872207,0.5022532057218947,0.47824363388078295,0.4968957592226504,0.46958971430259044,0.4923272943798465,0.47830153892748684,0.48011584053852446,0.4800631366516792,0.4876877943297433,0.4685842513053839,0.47961453445656704,0.4865315033441528,0.49398972628371146,0.5166114523790242,0.4980930163481937,0.4832124089026881
