Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-4045.0,-4785.0,-4092.0,-3832.0,-4935.0,-3840.0,-3703.0,-4132.0,-3495.0,-3599.0,-3775.0,-2845.0,-4975.0,-5252.0,-5390.0,-3804.0,-4908.0,-3426.0,-4837.0,-5138.0,-3144.0,-5505.0,-4710.0,-3636.0,-4465.0,-3780.0,-6273.0,-4390.0,-4178.0,-4949.0
AluminiumConcentration,-4999.0,-5293.0,-4957.0,-5004.0,-5338.0,-5209.0,-5047.0,-5878.0,-5366.0,-5733.0,-5276.0,-5763.0,-5045.0,-5663.0,-5783.0,-5161.0,-5186.0,-5366.0,-5254.0,-5445.0,-5031.0,-5704.0,-5000.0,-5967.0,-5790.0,-5448.0,-5526.0,-5395.0,-5834.0,-5556.0
AppliancesEnergy,-1875.0,-2676.0,-2658.0,-2659.0,-2674.0,-2661.0,-2666.0,-2705.0,-2667.0,-2682.0,-2665.0,-2699.0,-2661.0,-2689.0,-2693.0,-2691.0,-2661.0,-2699.0,-2689.0,-2684.0,-2401.0,-2377.0,-2414.0,-2415.0,-2410.0,-2446.0,-2315.0,-2599.0,-2594.0,-2597.0
AustraliaRainfall,-3842854.0,-3809200.0,-3840214.0,-3856282.0,-3809836.0,-3804825.0,-3821259.0,-3813334.0,-3811459.0,-3805558.0,-3953950.0,-3978171.0,-3995193.0,-4246611.0,-4009936.0,-4124256.0,-3973706.0,-3977059.0,-4154329.0,-4431019.0,-4532133.0,-4442115.0,-4461574.0,-4571274.0,-4297879.0,-4315234.0,-4338307.0,-4285077.0,-4301522.0,-4302182.0
BIDMC32HR,-338772.0,-335405.0,-333905.0,-334403.0,-322836.0,-369520.0,-346778.0,-352272.0,-354507.0,-351223.0,-348623.0,-398182.0,-398144.0,-389118.0,-397483.0,-397107.0,-393341.0,-335550.0,-332545.0,-331808.0,-387400.0,-391290.0,-386099.0,-388194.0,-390510.0,-387761.0,-388457.0,-387315.0,-389755.0,-388901.0
BIDMC32RR,-334262.0,-327850.0,-332080.0,-325906.0,-326426.0,-322410.0,-320432.0,-322074.0,-322137.0,-446321.0,-331966.0,-330714.0,-384662.0,-387775.0,-387133.0,-382172.0,-383618.0,-386393.0,-385616.0,-385642.0,-385278.0,-386341.0,-385972.0,-387763.0,-385614.0,-387209.0,-386244.0,-315381.0,-316770.0,-315461.0
BIDMC32SpO2,-370388.0,-349056.0,-349172.0,-349443.0,-351516.0,-351517.0,-341074.0,-341705.0,-342716.0,-449026.0,-359449.0,-352918.0,-352684.0,-351831.0,-356528.0,-354362.0,-355821.0,-352759.0,-353634.0,-354384.0,-356125.0,-325156.0,-343057.0,-343054.0,-341284.0,-340455.0,-342574.0,-347396.0,-344194.0,-342213.0
BarCrawl6min,-2125.0,-2227.0,-2120.0,-2203.0,-2114.0,-2069.0,-2252.0,-2289.0,-2201.0,-2269.0,-2186.0,-2012.0,-2103.0,-2248.0,-2143.0,-2143.0,-2149.0,-2150.0,-2151.0,-2152.0,-2152.0,-2152.0,-2154.0,-2149.0,-2153.0,-2151.0,-2156.0,-2155.0,-2154.0,-2157.0
BeijingIntAirportPM25Quality,-1916.0,-1730.0,-3685.0,-3824.0,-2289.0,-2284.0,-2287.0,-1520.0,-3323.0,-1507.0,-1509.0,-1511.0,-1520.0,-2211.0,-1527.0,-1522.0,-1519.0,-1518.0,-1547.0,-1517.0,-1512.0,-1980.0,-1914.0,-1956.0,-1944.0,-1956.0,-2343.0,-2337.0,-2358.0,-2343.0
BeijingPM10Quality_nmv,-75903.0,-77620.0,-76051.0,-79729.0,-78388.0,-76102.0,-75929.0,-77617.0,-77957.0,-77751.0,-78055.0,-78272.0,-78172.0,-75975.0,-78083.0,-77777.0,-78458.0,-78363.0,-84102.0,-83093.0,-82545.0,-82993.0,-82719.0,-72844.0,-72765.0,-73115.0,-72884.0,-73164.0,-73253.0,-80896.0
BeijingPM25Quality_nmv,-81142.0,-73802.0,-74803.0,-73436.0,-73521.0,-73624.0,-73466.0,-73376.0,-73429.0,-73752.0,-74201.0,-73495.0,-73660.0,-74315.0,-73877.0,-74118.0,-74061.0,-73533.0,-73471.0,-80203.0,-80247.0,-80612.0,-80975.0,-81577.0,-81566.0,-82089.0,-81171.0,-81616.0,-80265.0,-80118.0
BenzeneConcentration_nmv,-160823.0,-160424.0,-161410.0,-160619.0,-161562.0,-160036.0,-161324.0,-162615.0,-165808.0,-163353.0,-161597.0,-163794.0,-162840.0,-162101.0,-163259.0,-161758.0,-162831.0,-164661.0,-185093.0,-184093.0,-184310.0,-183763.0,-184116.0,-183569.0,-184497.0,-193161.0,-147001.0,-185331.0,-183416.0,-183144.0
BinanceCoinSentiment,-1316.0,-1320.0,-1318.0,-1319.0,-1317.0,-1321.0,-1317.0,-1320.0,-1317.0,-1318.0,-1317.0,-1318.0,-1318.0,-1319.0,-1282.0,-1283.0,-1283.0,-1522.0,-1492.0,-1477.0,-1553.0,-1213.0,-1214.0,-1212.0,-1213.0,-1222.0,-1211.0,-1212.0,-1210.0,-1210.0
BitcoinSentiment,-2833.0,-2832.0,-2838.0,-2836.0,-2840.0,-2841.0,-2840.0,-2836.0,-2769.0,-2833.0,-2834.0,-2832.0,-2832.0,-2832.0,-2226.0,-2702.0,-2648.0,-3479.0,-3457.0,-3445.0,-3479.0,-1255.0,-1268.0,-1296.0,-1254.0,-1416.0,-1279.0,-1413.0,-1344.0,-1353.0
BoronConcentration,-5248.0,-5457.0,-5253.0,-5285.0,-5222.0,-5776.0,-5081.0,-5232.0,-5181.0,-5174.0,-5380.0,-5193.0,-5284.0,-5104.0,-5127.0,-5318.0,-5389.0,-5387.0,-5304.0,-5166.0,-5247.0,-5338.0,-5307.0,-5210.0,-5275.0,-5203.0,-5286.0,-5311.0,-5307.0,-5218.0
