Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-5673.0,-5751.0,-6021.0,-5990.0,-5891.0,-6082.0,-5825.0,-5897.0,-6014.0,-5950.0,-5944.0,-5869.0,-5995.0,-5875.0,-5936.0,-6097.0,-5967.0,-6072.0,-5723.0,-5759.0,-5847.0,-5749.0,-5712.0,-5757.0,-6065.0,-5802.0,-5721.0,-5761.0,-5714.0,-5830.0
AluminiumConcentration,-3737519.0,-3789075.0,-3725065.0,-3729824.0,-3726101.0,-3750182.0,-3753065.0,-3727680.0,-3762098.0,-3750149.0,-3742961.0,-3761279.0,-3734832.0,-3793414.0,-3791857.0,-3724060.0,-3715810.0,-3723195.0,-3745521.0,-3751968.0,-3734812.0,-3703178.0,-3701207.0,-3743233.0,-3720064.0,-3705221.0,-3732691.0,-3726969.0,-3738965.0,-3747403.0
AppliancesEnergy,-2973.0,-2963.0,-3105.0,-2974.0,-2973.0,-3108.0,-2969.0,-4262.0,-4314.0,-4326.0,-4323.0,-4324.0,-4134.0,-4327.0,-4326.0,-3557.0,-3566.0,-4285.0,-3410.0,-3569.0,-3562.0,-4326.0,-5220.0,-5161.0,-5229.0,-5219.0,-5219.0,-5229.0,-5219.0,-5219.0
AustraliaRainfall,-13532305.0,-14838318.0,-14792666.0,-14837361.0,-14765762.0,-14803404.0,-14800224.0,-14845876.0,-14866992.0,-14015158.0,-14008296.0,-13994950.0,-13942526.0,-14068725.0,-14005417.0,-13963161.0,-13900606.0,-15344578.0,-15262845.0,-15327936.0,-15200722.0,-15234238.0,-15232342.0,-15230736.0,-15238093.0,-15228899.0,-15718219.0,-15279343.0,-13901944.0,-13995094.0
BIDMC32HR,349316875.0,490918358.0,1879452092.0,466040296.0,1863952648.0,474763550.0,1859503272.0,483706164.0,1878691377.0,446131134.0,1875088227.0,484370706.0,1876902490.0,343817913.0,1875517804.0,446542072.0,1869791226.0,463260082.0,1863598164.0,457470470.0,456951011.0,451046776.0,451387184.0,481977581.0,476183100.0,474593183.0,480935157.0,479791737.0,429821091.0,473320259.0
BIDMC32RR,404147435.0,417227689.0,382538723.0,406550928.0,411374704.0,404067640.0,415502795.0,426423959.0,418082112.0,419184009.0,380378980.0,413859976.0,417067424.0,425118791.0,418470549.0,412855771.0,412787365.0,408778148.0,391955054.0,407341392.0,414356728.0,404323995.0,405841617.0,419360015.0,407665668.0,431602130.0,421677305.0,403106142.0,419136367.0,420777482.0
BIDMC32SpO2,905610089.0,1638605492.0,1653474497.0,909661076.0,1639802919.0,920183451.0,1645448238.0,953273061.0,1647383953.0,897630780.0,1647367900.0,929560226.0,1637264591.0,877924749.0,1635016581.0,902393351.0,1644217025.0,897127798.0,1640037105.0,897147699.0,1641337237.0,954457808.0,1647686506.0,913341915.0,1642407888.0,878469647.0,1655186018.0,938289228.0,1635480531.0,989927820.0
BarCrawl6min,-5350.0,-5413.0,-5520.0,-5254.0,-5213.0,-5277.0,-5227.0,-5278.0,-5216.0,-5277.0,-5296.0,-5265.0,-5214.0,-5237.0,-5269.0,-5232.0,-5206.0,-5224.0,-5169.0,-5182.0,-5103.0,-5108.0,-5147.0,-5159.0,-5153.0,-5280.0,-4683.0,-4720.0,-4684.0,-4704.0
BeijingIntAirportPM25Quality,-3659.0,-3540.0,-3641.0,-3081.0,-3073.0,-3078.0,-3081.0,-3093.0,-3437.0,-3334.0,-3339.0,-3345.0,-3337.0,-3271.0,-3339.0,-3340.0,-3193.0,-3349.0,-3351.0,-3340.0,-3342.0,-3332.0,-3399.0,-3080.0,-3081.0,-3074.0,-3081.0,-3092.0,-3083.0,-3084.0
BeijingPM10Quality_nmv,-248975.0,-262911.0,-262535.0,-264514.0,-262427.0,-262407.0,-263195.0,-246130.0,-248353.0,-246502.0,-246019.0,-247045.0,-247991.0,-245337.0,-246945.0,-246560.0,-247323.0,-247326.0,-236573.0,-236865.0,-236338.0,-236069.0,-236295.0,-236404.0,-237775.0,-237187.0,-235807.0,-235967.0,-235886.0,-237035.0
BeijingPM25Quality_nmv,-260429.0,-258619.0,-257488.0,-257283.0,-256774.0,-258040.0,-260120.0,-257643.0,-257536.0,-256894.0,-258123.0,-258346.0,-258848.0,-259840.0,-258039.0,-258188.0,-257881.0,-257507.0,-257241.0,-257986.0,-257293.0,-258385.0,-257436.0,-256582.0,-258888.0,-257284.0,-258370.0,-232574.0,-232729.0,-232919.0
BenzeneConcentration_nmv,-5491014.0,-5513176.0,-5405287.0,-5404280.0,-5463982.0,-5463514.0,-5403852.0,-5414075.0,-5347511.0,-5147611.0,-5232340.0,-5239331.0,-5164902.0,-5207636.0,-5185820.0,-5298681.0,-5172261.0,-5189465.0,-5238423.0,-5178014.0,-5249085.0,-5036055.0,-5060997.0,-5034188.0,-5042263.0,-5039031.0,-5044602.0,-5039213.0,-5052301.0,-5031628.0
BinanceCoinSentiment,-1032.0,-1033.0,-1031.0,-1028.0,-1030.0,-1033.0,-1033.0,-1031.0,-1033.0,-1029.0,-1013.0,-1032.0,-1032.0,-1031.0,-771.0,-779.0,-728.0,-690.0,-689.0,-691.0,-691.0,-963.0,-962.0,-961.0,-963.0,-976.0,-966.0,-959.0,-979.0,-958.0
BitcoinSentiment,-616.0,-648.0,-650.0,-650.0,-648.0,-649.0,-653.0,-650.0,-647.0,-647.0,-650.0,-650.0,-650.0,-641.0,-614.0,-620.0,-618.0,-468.0,-497.0,-494.0,-498.0,-543.0,-544.0,-539.0,-544.0,-548.0,-539.0,-595.0,-595.0,-596.0
BoronConcentration,-3221952.0,-3243487.0,-3213737.0,-3709257.0,-3715167.0,-3692272.0,-3694592.0,-3697906.0,-3692942.0,-3688542.0,-3708787.0,-3683487.0,-3699239.0,-3708581.0,-3692120.0,-3695023.0,-3695637.0,-3707461.0,-3707023.0,-3486126.0,-3464454.0,-3455465.0,-3441641.0,-3469032.0,-3433599.0,-3429420.0,-3425596.0,-3446958.0,-3448651.0,-3428161.0
CalciumConcentration,-3176518.0,-3202982.0,-3225930.0,-2478343.0,-2442647.0,-2441133.0,-2470241.0,-2474954.0,-2442607.0,-2439299.0,-2460692.0,-2464855.0,-2462942.0,-3106209.0,-3097717.0,-3100592.0,-3118258.0,-3103210.0,-3144428.0,-3135151.0,-3204760.0,-3179014.0,-3132826.0,-3180197.0,-3134681.0,-3164030.0,-3167368.0,-2795295.0,-2893167.0,-3008747.0
CardanoSentiment,-560.0,-553.0,-556.0,-551.0,-552.0,-553.0,-556.0,-551.0,-554.0,-559.0,-555.0,-555.0,-554.0,-553.0,-775.0,-777.0,-776.0,-1275.0,-1219.0,-1202.0,-1243.0,-588.0,-615.0,-545.0,-561.0,-648.0,-658.0,-601.0,-582.0,-560.0
ChilledWaterPredictor,-7300.0,-7254.0,-7301.0,-7300.0,-7287.0,-7264.0,-7303.0,-7299.0,-7282.0,-7306.0,-7261.0,-7271.0,-7320.0,-7313.0,-7250.0,-7254.0,-7288.0,-7259.0,-7257.0,-7238.0,-7229.0,-7264.0,-7284.0,-7247.0,-7212.0,-7198.0,-7229.0,-7242.0,-7244.0,-7241.0
CopperConcentration,-3719621.0,-3713221.0,-3726922.0,-3743579.0,-3728373.0,-3753681.0,-3736043.0,-3734601.0,-3764507.0,-3780514.0,-3636425.0,-3611932.0,-3624873.0,-3633961.0,-3605107.0,-3595623.0,-3623628.0,-3607906.0,-3609584.0,-3636060.0,-3634665.0,-3615397.0,-3606054.0,-3604851.0,-3632580.0,-3657439.0,-3638122.0,-3595183.0,-3603067.0,-3607034.0
Covid19Andalusia,-4088.0,-4085.0,-4092.0,-4089.0,-4084.0,-4091.0,-4092.0,-4084.0,-4091.0,-4108.0,-4089.0,-4087.0,-4093.0,-4084.0,-2884.0,-2861.0,-2867.0,-2293.0,-2378.0,-2304.0,-2461.0,-2396.0,-2440.0,-2295.0,-2466.0,-2469.0,-2297.0,-2389.0,-2466.0,-2464.0
Covid3Month,-1719.0,-1743.0,-1791.0,-1964.0,-1876.0,-1893.0,-1872.0,-1873.0,-1874.0,-1446.0,-1866.0,-1871.0,-1867.0,-1863.0,-1333.0,-1874.0,-1863.0,-1867.0,-1899.0,-1869.0,-1782.0,-1872.0,-1449.0,-1872.0,-823.0,-822.0,-822.0,-822.0,-822.0,-839.0
