Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-764.0,-484.0,-435.0,-746.0,-523.0,-807.0,-470.0,-738.0,-543.0,-804.0,-478.0,-1077.0,-884.0,-1224.0,-872.0,-765.0,-481.0,-460.0,-491.0,-460.0,-517.0,-462.0,-778.0,-808.0,-1108.0,-983.0,-1207.0,-488.0,-566.0,-1245.0
AluminiumConcentration,-6933.0,-7654.0,-7025.0,-5221.0,-5019.0,-5134.0,-7013.0,-5072.0,-5109.0,-5052.0,-7022.0,-6964.0,-7194.0,-6867.0,-7250.0,-6782.0,-5290.0,-5115.0,-5147.0,-5199.0,-5017.0,-5182.0,-6844.0,-6810.0,-5061.0,-6894.0,-6681.0,-5046.0,-5315.0,-5204.0
AppliancesEnergy,-2542.0,-1746.0,-1721.0,-1766.0,-2384.0,-2048.0,-2394.0,-1753.0,-1944.0,-1702.0,-1695.0,-2836.0,-1706.0,-1724.0,-2359.0,-2660.0,-1772.0,-2630.0,-1757.0,-1740.0,-2513.0,-1814.0,-1732.0,-1720.0,-2630.0,-2927.0,-2477.0,-2758.0,-1733.0,-1782.0
AustraliaRainfall,-59149.0,-57860.0,-57233.0,-58308.0,-57372.0,-109929.0,-55706.0,-84573.0,-89743.0,-102720.0,-108448.0,-78739.0,-65296.0,-79219.0,-87370.0,-86051.0,-58784.0,-60314.0,-56549.0,-62365.0,-60940.0,-61851.0,-57396.0,-56772.0,-56227.0,-56702.0,-59571.0,-55834.0,-71973.0,-72183.0
BIDMC32HR,-190328.0,-191930.0,-245156.0,-234278.0,-226913.0,-227317.0,-223987.0,-224901.0,-192917.0,-192152.0,-189424.0,-191932.0,-241716.0,-237358.0,-193048.0,-192323.0,-194168.0,-193171.0,-196323.0,-197888.0,-233584.0,-234778.0,-227693.0,-226074.0,-233283.0,-228600.0,-195836.0,-233659.0,-238955.0,-193948.0
BIDMC32RR,-194525.0,-191984.0,-192000.0,-190335.0,-192659.0,-190170.0,-230151.0,-228455.0,-230547.0,-229640.0,-224175.0,-195105.0,-225455.0,-191556.0,-193031.0,-193126.0,-229465.0,-230080.0,-193828.0,-191382.0,-190824.0,-190433.0,-191439.0,-189647.0,-229262.0,-228384.0,-227729.0,-229653.0,-222550.0,-224677.0
BIDMC32SpO2,-192815.0,-245428.0,-193606.0,-235762.0,-200626.0,-190987.0,-193187.0,-189038.0,-194810.0,-193817.0,-232160.0,-229634.0,-191427.0,-231100.0,-233968.0,-227802.0,-229579.0,-190955.0,-190169.0,-192712.0,-233244.0,-234464.0,-233209.0,-192488.0,-194508.0,-194049.0,-190837.0,-188738.0,-189185.0,-221891.0
BarCrawl6min,-1106.0,-1211.0,-1164.0,-1146.0,-1080.0,-1221.0,-1158.0,-1182.0,-1122.0,-1147.0,-1310.0,-1130.0,-1135.0,-1134.0,-1133.0,-1116.0,-1118.0,-1140.0,-1106.0,-1101.0,-1214.0,-1179.0,-1148.0,-1185.0,-1081.0,-1147.0,-1254.0,-1097.0,-1109.0,-1154.0
BeijingIntAirportPM25Quality,-1817.0,-1633.0,-1582.0,-1594.0,-1557.0,-1638.0,-1761.0,-1587.0,-1593.0,-1530.0,-1618.0,-1636.0,-1642.0,-1612.0,-1587.0,-1590.0,-1547.0,-1568.0,-1600.0,-1756.0,-1612.0,-1557.0,-1570.0,-1580.0,-1783.0,-1593.0,-1599.0,-1684.0,-1673.0,-1593.0
BeijingPM10Quality_nmv,-20308.0,-20609.0,-21262.0,-16010.0,-21213.0,-16149.0,-21461.0,-22572.0,-22692.0,-20827.0,-20630.0,-21722.0,-20618.0,-17492.0,-15932.0,-15857.0,-16985.0,-19069.0,-15997.0,-20223.0,-16079.0,-20316.0,-16508.0,-20285.0,-20689.0,-20471.0,-20396.0,-16133.0,-16310.0,-19655.0
BeijingPM25Quality_nmv,-16129.0,-16250.0,-16248.0,-16927.0,-16349.0,-19153.0,-16108.0,-18898.0,-19467.0,-20529.0,-15778.0,-20978.0,-20350.0,-16639.0,-20613.0,-17705.0,-20312.0,-16158.0,-16879.0,-18070.0,-16364.0,-16817.0,-18856.0,-16193.0,-20240.0,-16597.0,-19676.0,-16010.0,-21422.0,-16102.0
BenzeneConcentration_nmv,-126521.0,-124641.0,-123782.0,-127421.0,-103306.0,-104068.0,-126087.0,-128426.0,-124161.0,-103647.0,-102990.0,-126305.0,-103190.0,-105911.0,-103007.0,-105679.0,-102718.0,-102497.0,-122525.0,-121947.0,-125404.0,-120186.0,-103610.0,-102132.0,-126653.0,-133706.0,-104344.0,-103128.0,-103599.0,-103037.0
BinanceCoinSentiment,-284.0,-373.0,-256.0,-378.0,-365.0,-417.0,-376.0,-395.0,-392.0,-350.0,-251.0,-394.0,-332.0,-412.0,-261.0,-342.0,-387.0,-404.0,-399.0,-250.0,-374.0,-370.0,-357.0,-342.0,-394.0,-406.0,-352.0,-247.0,-356.0,-341.0
