Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,680182.0,723510.0,704513.0,749635.0,706444.0,723712.0,621180.0,621855.0,616321.0,605487.0,721517.0,708245.0,709336.0,711720.0,700692.0,717365.0,691302.0,694208.0,715637.0,719497.0,715183.0,706546.0,707528.0,697823.0,710816.0,718735.0,715620.0,693848.0,695259.0,702646.0
AluminiumConcentration,6560522.0,6915516.0,6738882.0,7270142.0,6989227.0,7108824.0,6908676.0,6846763.0,6685554.0,6663512.0,7119413.0,6338645.0,6499701.0,6837997.0,6883324.0,7011950.0,6572885.0,6785714.0,6878903.0,7102635.0,7014934.0,7044239.0,6932262.0,6920890.0,6998219.0,7214157.0,7267574.0,6567180.0,6629080.0,6644693.0
AppliancesEnergy,739547.0,762567.0,824317.0,815593.0,805047.0,730840.0,727415.0,716010.0,727372.0,719628.0,748946.0,731662.0,728782.0,725029.0,714201.0,714525.0,708499.0,811144.0,712468.0,802509.0,729717.0,818452.0,807329.0,729613.0,726433.0,817634.0,824866.0,802876.0,779650.0,830904.0
AustraliaRainfall,-127893614.0,-132833884.0,-132300462.0,-133544303.0,-132731841.0,-132883558.0,-131385285.0,-130631123.0,-133764497.0,-130128037.0,-134158151.0,-133337247.0,-134257314.0,-132161129.0,-129893343.0,-133771685.0,-129873686.0,-129805320.0,-131611136.0,-133826351.0,-135063824.0,-131767627.0,-132073178.0,-131661105.0,-131747735.0,-133042775.0,-134392636.0,-131998376.0,-130782193.0,-133534574.0
BIDMC32HR,159605145.0,171242480.0,167597338.0,176481750.0,166491343.0,-83712052.0,172315325.0,168138339.0,176886890.0,174317743.0,172562311.0,162721789.0,171154062.0,169684413.0,169728257.0,-83602183.0,178048882.0,164278166.0,170622486.0,-82238626.0,168531715.0,170428604.0,167428629.0,167391687.0,167323341.0,173541823.0,178798421.0,178164510.0,167888632.0,168804727.0
BIDMC32RR,158504637.0,168318577.0,165780518.0,174878858.0,164952654.0,173948078.0,171244021.0,167307590.0,163814447.0,162019588.0,170288300.0,165429887.0,170294413.0,170312916.0,168361094.0,171996059.0,158332733.0,163800278.0,170028470.0,171899968.0,169497554.0,169275329.0,169188849.0,165894326.0,168239009.0,172519080.0,179304743.0,166058168.0,167497574.0,169476884.0
BIDMC32SpO2,160069481.0,169335735.0,166223092.0,177450082.0,168121704.0,173825651.0,172703744.0,172648207.0,176297929.0,161940306.0,171603152.0,167132031.0,177776824.0,173833828.0,169640451.0,172784365.0,159444955.0,163578705.0,175078758.0,173404776.0,174534517.0,174969915.0,171530318.0,168696203.0,171541047.0,177780588.0,178713354.0,171111115.0,168100191.0,171073835.0
BarCrawl6min,492033.0,515152.0,508031.0,520027.0,514943.0,519567.0,505697.0,508959.0,512554.0,499153.0,522198.0,511667.0,511651.0,512709.0,502584.0,514523.0,497556.0,501164.0,505538.0,521132.0,519035.0,507047.0,515817.0,509345.0,504400.0,514564.0,518936.0,498119.0,502814.0,507235.0
BeijingIntAirportPM25Quality,3131216.0,3354133.0,3267817.0,3332596.0,3188565.0,2569850.0,2635643.0,2499967.0,2804991.0,2595519.0,2993948.0,2498046.0,2596837.0,2908375.0,2444566.0,3063519.0,2770638.0,2651490.0,2905253.0,2536933.0,2946288.0,2978705.0,2571753.0,2606264.0,2524390.0,2536954.0,2506547.0,2470096.0,2395288.0,2586693.0
BeijingPM10Quality_nmv,33009274.0,34007199.0,33891737.0,34236351.0,33971443.0,33616812.0,34171265.0,33075998.0,33706945.0,33121383.0,34553373.0,33842430.0,34127482.0,33708351.0,32533835.0,28244719.0,32908767.0,33172537.0,35368701.0,33648033.0,25757187.0,25944738.0,26087480.0,33826548.0,25732022.0,25992637.0,25827846.0,25420275.0,25390938.0,26211333.0
