Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-665.0,-428.0,-411.0,-390.0,-416.0,-1209.0,-407.0,-414.0,-407.0,-444.0,2510.0,778.0,846.0,1401.0,1356.0,1528.0,773.0,2417.0,1394.0,1224.0,873.0,3229.0,622.0,585.0,2428.0,716.0,1486.0,789.0,1448.0,704.0
AluminiumConcentration,-6048.0,-4325.0,-4274.0,-4370.0,-4246.0,-4511.0,-4190.0,-4130.0,-4266.0,-4232.0,7732.0,5466.0,5901.0,5276.0,5155.0,5852.0,6325.0,7107.0,5007.0,5128.0,6021.0,5052.0,5406.0,7783.0,6017.0,6384.0,5128.0,8270.0,5773.0,5946.0
AppliancesEnergy,-1819.0,-1469.0,-1484.0,-1520.0,-1598.0,-1556.0,-1565.0,-1627.0,-1964.0,-1546.0,2152.0,2177.0,1789.0,1762.0,2122.0,2218.0,2125.0,1773.0,1751.0,1769.0,1770.0,1810.0,2130.0,1779.0,2226.0,1774.0,1748.0,1778.0,1819.0,1777.0
AustraliaRainfall,-66130.0,-48670.0,-49630.0,-45285.0,-49475.0,68513.0,68991.0,69311.0,56042.0,56517.0,70492.0,56539.0,56291.0,68965.0,57851.0,69280.0,57168.0,69843.0,69189.0,68727.0,70243.0,55623.0,56289.0,56489.0,55366.0,56443.0,56212.0,99474.0,86844.0,77429.0
BIDMC32HR,-191562.0,-170627.0,-157748.0,-161203.0,-160083.0,-162858.0,-171079.0,-167240.0,218430.0,221517.0,215026.0,226962.0,219521.0,229128.0,187146.0,195047.0,189653.0,186240.0,191572.0,193252.0,220430.0,217576.0,218529.0,302926.0,225147.0,190285.0,192470.0,186543.0,189234.0,202160.0
BIDMC32RR,-194357.0,-157067.0,-163085.0,-168727.0,-163648.0,191727.0,214342.0,218866.0,219583.0,218203.0,219024.0,229586.0,222450.0,192105.0,197304.0,193699.0,192631.0,188572.0,194142.0,214842.0,219049.0,225125.0,227720.0,221886.0,220442.0,190329.0,191556.0,197469.0,196063.0,191553.0
BIDMC32SpO2,-191052.0,-166258.0,-156068.0,-170319.0,-158799.0,192241.0,223367.0,304318.0,213423.0,183183.0,211068.0,251720.0,250600.0,189594.0,195709.0,188313.0,189143.0,193741.0,197410.0,261917.0,331467.0,216898.0,185896.0,219070.0,188938.0,215194.0,191567.0,195475.0,193375.0,224777.0
BarCrawl6min,-1149.0,-773.0,-787.0,-732.0,-752.0,-772.0,-726.0,-767.0,-794.0,-769.0,1087.0,1107.0,1080.0,1143.0,1860.0,1099.0,1079.0,1080.0,1108.0,1154.0,1072.0,1107.0,1163.0,1104.0,1196.0,1155.0,1087.0,1109.0,1148.0,1122.0
BeijingIntAirportPM25Quality,-1732.0,-1073.0,-1071.0,-1098.0,-1070.0,-1032.0,-1269.0,-1014.0,-1091.0,-1046.0,1493.0,1655.0,1605.0,1567.0,1653.0,2509.0,1624.0,1603.0,1537.0,1547.0,1649.0,1506.0,1559.0,1539.0,1629.0,1577.0,1555.0,1578.0,1535.0,1443.0
BeijingPM10Quality_nmv,-15991.0,-14038.0,-13043.0,-14186.0,-13729.0,-13593.0,-14891.0,-14064.0,-14373.0,-14363.0,18537.0,19244.0,19060.0,18573.0,19167.0,19140.0,19536.0,18815.0,18238.0,18420.0,19854.0,19251.0,18726.0,18432.0,15951.0,15819.0,16244.0,16140.0,16300.0,16681.0
