Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-273.0,-256.0,-233.0,-235.0,-224.0,-217.0,-232.0,-229.0,-225.0,-234.0,-231.0,-226.0,-230.0,-220.0,-230.0,-237.0,-223.0,-224.0,-224.0,-219.0,-234.0,-222.0,-226.0,-234.0,-226.0,-227.0,-226.0,-225.0,-227.0,-222.0
AluminiumConcentration,-3895.0,-3935.0,-3806.0,-3761.0,-3753.0,-3833.0,-3889.0,-3879.0,-3909.0,-3901.0,-3956.0,-3854.0,-3868.0,-3877.0,-3945.0,-3948.0,-3925.0,-3974.0,-3921.0,-3927.0,-3989.0,-3972.0,-3998.0,-4618.0,-3984.0,-4301.0,-4308.0,-4035.0,-3996.0,-4065.0
AppliancesEnergy,-1248.0,-1255.0,-1253.0,-1262.0,-1311.0,-1314.0,-1324.0,-1289.0,-1272.0,-1311.0,-1318.0,-1302.0,-1298.0,-1299.0,-1319.0,-1320.0,-1309.0,-1279.0,-1285.0,-1295.0,-1327.0,-1274.0,-1291.0,-1306.0,-1274.0,-1317.0,-1306.0,-1304.0,-1267.0,-1290.0
AustraliaRainfall,-46824.0,-48579.0,-40530.0,-40759.0,-41533.0,-41060.0,-41060.0,-41208.0,-41154.0,-42538.0,-42820.0,-42391.0,-42695.0,-42151.0,-43084.0,-42928.0,-42603.0,-42718.0,-42792.0,-42546.0,-42183.0,-41335.0,-41702.0,-42543.0,-42065.0,-42042.0,-41943.0,-42093.0,-41894.0,-43060.0
BIDMC32HR,-154329.0,-157613.0,-156230.0,-156584.0,-152981.0,-155849.0,-153357.0,-158725.0,-156883.0,-153689.0,-178142.0,-179625.0,-176186.0,-179624.0,-180268.0,-176780.0,-176983.0,-178020.0,-174762.0,-181364.0,-177145.0,-178702.0,-175455.0,-177585.0,-179827.0,-178895.0,-177846.0,-176787.0,-178742.0,-175189.0
BIDMC32RR,-172558.0,-172467.0,-176143.0,-175444.0,-174177.0,-174714.0,-150811.0,-154529.0,-150850.0,-149879.0,-154898.0,-170711.0,-167103.0,-165877.0,-166934.0,-168145.0,-169126.0,-167177.0,-167395.0,-172096.0,-167603.0,-174695.0,-170993.0,-167797.0,-167108.0,-167734.0,-165982.0,-168598.0,-169024.0,-169790.0
BIDMC32SpO2,-152013.0,-149642.0,-169805.0,-169051.0,-171137.0,-174160.0,-153708.0,-154646.0,-152047.0,-149106.0,-155523.0,-148768.0,-153113.0,-156350.0,-157350.0,-152742.0,-154124.0,-178107.0,-176167.0,-175487.0,-178514.0,-177727.0,-175006.0,-175216.0,-176741.0,-174250.0,-175146.0,-178320.0,-178587.0,-177694.0
BarCrawl6min,-537.0,-539.0,-553.0,-553.0,-558.0,-555.0,-560.0,-541.0,-547.0,-554.0,-564.0,-552.0,-555.0,-550.0,-546.0,-540.0,-546.0,-570.0,-539.0,-554.0,-560.0,-568.0,-570.0,-570.0,-568.0,-568.0,-558.0,-565.0,-571.0,-569.0
BeijingIntAirportPM25Quality,-925.0,-944.0,-790.0,-816.0,-833.0,-791.0,-807.0,-804.0,-784.0,-803.0,-808.0,-805.0,-799.0,-788.0,-809.0,-780.0,-786.0,-807.0,-822.0,-814.0,-792.0,-806.0,-830.0,-828.0,-827.0,-807.0,-865.0,-828.0,-839.0,-843.0
BeijingPM10Quality_nmv,-12863.0,-12413.0,-12900.0,-12485.0,-12783.0,-13065.0,-13076.0,-12763.0,-14710.0,-14243.0,-13889.0,-13984.0,-14286.0,-14601.0,-14169.0,-13880.0,-14350.0,-14054.0,-14306.0,-14379.0,-14112.0,-14029.0,-14184.0,-14219.0,-12660.0,-12535.0,-12513.0,-12732.0,-12675.0,-13743.0
