Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-223.0,-232.0,-227.0,-225.0,-230.0,-220.0,-220.0,-229.0,-224.0,-225.0,-251.0,-251.0,-254.0,-249.0,-251.0,-249.0,-251.0,-248.0,-250.0,-244.0,-246.0,-249.0,-250.0,-245.0,-246.0,-247.0,-248.0,-248.0,-257.0,-245.0
AluminiumConcentration,-4370.0,-4041.0,-4274.0,-4046.0,-4388.0,-4018.0,-3832.0,-3872.0,-3856.0,-3950.0,-3801.0,-3872.0,-3908.0,-3987.0,-3845.0,-3851.0,-3878.0,-3858.0,-3997.0,-3958.0,-3898.0,-3932.0,-3877.0,-3948.0,-3926.0,-3869.0,-3942.0,-4013.0,-3989.0,-3890.0
AppliancesEnergy,-1301.0,-1277.0,-1260.0,-1286.0,-1249.0,-1306.0,-1291.0,-1293.0,-1280.0,-1297.0,-1259.0,-1314.0,-1297.0,-1302.0,-1257.0,-1285.0,-1267.0,-1254.0,-1265.0,-1277.0,-1333.0,-1291.0,-1286.0,-1271.0,-1258.0,-1255.0,-1280.0,-1266.0,-1264.0,-1266.0
AustraliaRainfall,-40695.0,-41919.0,-42209.0,-42682.0,-44411.0,-42441.0,-41835.0,-41987.0,-42390.0,-42047.0,-41752.0,-42472.0,-41775.0,-41553.0,-42563.0,-41623.0,-42339.0,-42556.0,-42910.0,-42282.0,-41755.0,-41393.0,-40686.0,-41222.0,-41334.0,-45861.0,-46014.0,-46266.0,-45915.0,-40720.0
BIDMC32HR,-175235.0,-175989.0,-157571.0,-151551.0,-151832.0,-148390.0,-156166.0,-156759.0,-155715.0,-153992.0,-156092.0,-155391.0,-157033.0,-156485.0,-157924.0,-159842.0,-155578.0,-156309.0,-156793.0,-151921.0,-170034.0,-177176.0,-169691.0,-172961.0,-170947.0,-170332.0,-170821.0,-172091.0,-175372.0,-171583.0
BIDMC32RR,-167430.0,-167857.0,-166221.0,-165321.0,-166641.0,-166195.0,-157334.0,-153568.0,-159231.0,-158051.0,-154209.0,-153688.0,-158346.0,-155896.0,-154553.0,-161035.0,-158708.0,-156929.0,-156385.0,-161862.0,-156481.0,-157337.0,-156007.0,-153386.0,-156411.0,-154416.0,-152342.0,-151174.0,-155754.0,-152497.0
BIDMC32SpO2,-153065.0,-152124.0,-152668.0,-151490.0,-151373.0,-151592.0,-154464.0,-153486.0,-150797.0,-160210.0,-149122.0,-154771.0,-157214.0,-164897.0,-158815.0,-154921.0,-158617.0,-157935.0,-155854.0,-160825.0,-160267.0,-156924.0,-158531.0,-151996.0,-155888.0,-158292.0,-156266.0,-156255.0,-160094.0,-155814.0
BarCrawl6min,-560.0,-557.0,-562.0,-566.0,-581.0,-562.0,-561.0,-555.0,-554.0,-549.0,-558.0,-561.0,-576.0,-554.0,-554.0,-537.0,-554.0,-547.0,-549.0,-555.0,-543.0,-536.0,-554.0,-534.0,-557.0,-570.0,-582.0,-564.0,-571.0,-568.0
BeijingIntAirportPM25Quality,-833.0,-817.0,-827.0,-833.0,-818.0,-819.0,-820.0,-842.0,-818.0,-827.0,-834.0,-831.0,-824.0,-826.0,-811.0,-833.0,-816.0,-815.0,-821.0,-824.0,-784.0,-793.0,-792.0,-781.0,-812.0,-805.0,-831.0,-830.0,-809.0,-807.0
BeijingPM10Quality_nmv,-13817.0,-12460.0,-13722.0,-12582.0,-12600.0,-12748.0,-12928.0,-13944.0,-12761.0,-13949.0,-12955.0,-13653.0,-13756.0,-13754.0,-13802.0,-13816.0,-13561.0,-13747.0,-12642.0,-13655.0,-13930.0,-13664.0,-13687.0,-13772.0,-12986.0,-12995.0,-12981.0,-12770.0,-13108.0,-13211.0
