Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-15270.0,-15115.0,-14432.0,-14535.0,-14344.0,-15522.0,-15131.0,-14960.0,-14946.0,-14939.0,-15076.0,-14979.0,-14735.0,-14415.0,-15677.0,-14989.0,-15049.0,-14765.0,-14495.0,-15242.0,-15149.0,-14569.0,-14911.0,-14543.0,-15636.0,-15122.0,-15128.0,-15565.0,-14982.0,-14940.0
AluminiumConcentration,-819545.0,-986703.0,-780260.0,-778933.0,-776642.0,-810831.0,-995254.0,-780974.0,-781487.0,-786552.0,-882829.0,-782377.0,-996990.0,-993237.0,-994096.0,-819934.0,-820934.0,-820564.0,-820582.0,-922432.0,-784752.0,-801405.0,-800164.0,-816019.0,-925565.0,-924132.0,-1008993.0,-922678.0,-794189.0,-794942.0
AppliancesEnergy,-153530.0,-154554.0,-154163.0,-155716.0,-144340.0,-148216.0,-147637.0,-141488.0,-145366.0,-181525.0,-164800.0,-150760.0,-161705.0,-149651.0,-149666.0,-158180.0,-152335.0,-157261.0,-156239.0,-165286.0,-156771.0,-156350.0,-157126.0,-160280.0,-145089.0,-151438.0,-147587.0,-145264.0,-152082.0,-146010.0
AustraliaRainfall,5222903.0,5250865.0,5191842.0,5190327.0,5115198.0,5181062.0,5150828.0,5295302.0,5161012.0,5106140.0,5214619.0,5266390.0,5205475.0,5222238.0,5205806.0,5240294.0,5209490.0,5226270.0,5174294.0,5211285.0,5201684.0,5196538.0,5176432.0,5227406.0,5239840.0,6040712.0,6613416.0,5588416.0,8414395.0,6690345.0
BIDMC32HR,-55118217.0,-55021565.0,-54915218.0,-54954951.0,-54337753.0,-54485829.0,-54325362.0,-54334576.0,-54305457.0,-54111220.0,-54115425.0,-54084356.0,-54039719.0,-52162274.0,-52405859.0,-52219491.0,-49863541.0,-49779662.0,-49857636.0,-49738779.0,-51636504.0,-51509677.0,-51589150.0,-49615607.0,-49590773.0,-49621759.0,-49694596.0,-57052751.0,-51321929.0,-51653117.0
BIDMC32RR,-50694078.0,-49855702.0,-50024144.0,-50465006.0,-50812790.0,-51434719.0,-51333420.0,-50273782.0,-49000922.0,-50474349.0,-49748383.0,-49951891.0,-51215617.0,-57598279.0,-50446387.0,-49948140.0,-49181260.0,-50517109.0,-50334271.0,-50042382.0,-50938015.0,-62290217.0,-50086083.0,-50038159.0,-50143488.0,-51650040.0,-51054201.0,-50299603.0,-50931427.0,-50036778.0
BIDMC32SpO2,-49709124.0,-51584956.0,-50517999.0,-51221668.0,-48928656.0,-49971027.0,-50407919.0,-50734684.0,-50735140.0,-50933663.0,-50579168.0,-51171964.0,-49638698.0,-50170155.0,-49841438.0,-49608331.0,-52014362.0,-51206748.0,-51200137.0,-48812753.0,-49053878.0,-49063247.0,-50834936.0,-49665395.0,-57168467.0,-50683764.0,-50714276.0,-50807040.0,-50573544.0,-50327592.0
BarCrawl6min,-40693.0,-40326.0,-42500.0,-41232.0,-40959.0,-44572.0,-42530.0,-41288.0,-40841.0,-41405.0,-42182.0,-39347.0,-39470.0,-39222.0,-39700.0,-39600.0,-39647.0,-39724.0,-39798.0,-39978.0,-40069.0,-40683.0,-40013.0,-39834.0,-40886.0,-40214.0,-40739.0,-40753.0,-39943.0,-40492.0
BeijingIntAirportPM25Quality,-109831.0,-102525.0,-146683.0,-100941.0,-101652.0,-101520.0,-101336.0,-102989.0,-106150.0,-104655.0,-103816.0,-111089.0,-99265.0,-115908.0,-101811.0,-102686.0,-112510.0,-115969.0,-112902.0,-107567.0,-114569.0,-117670.0,-106046.0,-110697.0,-114782.0,-119052.0,-100201.0,-101658.0,-107600.0,-105918.0
BeijingPM10Quality_nmv,-1737338.0,-1569438.0,-1736358.0,-1637042.0,-1573125.0,-1516881.0,-1659993.0,-1587945.0,-1644765.0,-1690297.0,-1603712.0,-1598169.0,-1657631.0,-1605762.0,-1629121.0,-1669960.0,-1614041.0,-1595872.0,-1587085.0,-1607738.0,-1588118.0,-1671254.0,-1673125.0,-1688417.0,-1661396.0,-1610991.0,-1597101.0,-1611055.0,-1611922.0,-1618920.0
BeijingPM25Quality_nmv,-1663212.0,-1490701.0,-1558655.0,-1599066.0,-1561219.0,-1718255.0,-1631796.0,-1546677.0,-1646999.0,-1622839.0,-1704010.0,-1713664.0,-1605394.0,-1638943.0,-1659710.0,-1659950.0,-1646368.0,-1620178.0,-1522233.0,-1656592.0,-1538636.0,-1573317.0,-1548290.0,-1512396.0,-1574410.0,-1548724.0,-1547021.0,-1542983.0,-1563854.0,-1504974.0
BenzeneConcentration_nmv,-3843654.0,-3832284.0,-3780047.0,-3983102.0,-3807583.0,-3775178.0,-3823263.0,-3806915.0,-3908674.0,-3933626.0,-3969323.0,-3989177.0,-4004844.0,-3985669.0,-3927619.0,-3960825.0,-3919887.0,-3886412.0,-3935164.0,-3886331.0,-3927145.0,-3992845.0,-3905923.0,-3999329.0,-3918105.0,-3918106.0,-3910093.0,-3991064.0,-3914753.0,-3914970.0
BinanceCoinSentiment,-10947.0,-10642.0,-10966.0,-10937.0,-11096.0,-11154.0,-10948.0,-11059.0,-10916.0,-10815.0,-10915.0,-11253.0,-11148.0,-12954.0,-12759.0,-10060.0,-10062.0,-12354.0,-12526.0,-12147.0,-12536.0,-10202.0,-10035.0,-10040.0,-10130.0,-9781.0,-11229.0,-11175.0,-11019.0,-10406.0
BitcoinSentiment,-12965.0,-12107.0,-12423.0,-12375.0,-13095.0,-13176.0,-13379.0,-13327.0,-13287.0,-13234.0,-13443.0,-13277.0,-13259.0,-15008.0,-15138.0,-11704.0,-11618.0,-14872.0,-14453.0,-14780.0,-14326.0,-12483.0,-12752.0,-12260.0,-11552.0,-11679.0,-11541.0,-11626.0,-13511.0,-13526.0
BoronConcentration,-775470.0,-772388.0,-773754.0,-786321.0,-936354.0,-786100.0,-784615.0,-800570.0,-810453.0,-778918.0,-789165.0,-789907.0,-916712.0,-974350.0,-969973.0,-774515.0,-809121.0,-782864.0,-807653.0,-776914.0,-777255.0,-778374.0,-777936.0,-972284.0,-779122.0,-1008972.0,-816164.0,-814929.0,-813872.0,-813254.0
CalciumConcentration,-700976.0,-854089.0,-702898.0,-667374.0,-684121.0,-667576.0,-667734.0,-665735.0,-709001.0,-707029.0,-706719.0,-705235.0,-704247.0,-705789.0,-734188.0,-722182.0,-753240.0,-673703.0,-665170.0,-704518.0,-704129.0,-703528.0,-703740.0,-659531.0,-709761.0,-712463.0,-712953.0,-714251.0,-712736.0,-714183.0
CardanoSentiment,-7456.0,-6975.0,-6824.0,-6905.0,-6921.0,-7189.0,-7102.0,-7299.0,-7106.0,-7155.0,-7351.0,-7204.0,-7316.0,-7244.0,-8131.0,-7664.0,-7765.0,-6606.0,-6626.0,-6649.0,-7602.0,-7617.0,-7605.0,-7921.0,-7317.0,-7203.0,-6841.0,-6619.0,-6695.0,-6717.0
ChilledWaterPredictor,-60046.0,-61920.0,-61261.0,-61226.0,-50929.0,-50448.0,-50459.0,-50705.0,-50334.0,-54127.0,-53948.0,-54001.0,-50374.0,-50954.0,-51018.0,-50895.0,-50785.0,-50355.0,-54321.0,-51729.0,-53551.0,-55211.0,-54383.0,-54935.0,-54327.0,-54000.0,-53281.0,-51917.0,-51730.0,-53616.0
CopperConcentration,-819936.0,-790930.0,-878029.0,-808924.0,-840550.0,-808454.0,-776878.0,-791409.0,-784379.0,-787223.0,-813845.0,-821965.0,-814057.0,-813836.0,-791455.0,-787390.0,-805666.0,-787625.0,-784946.0,-779126.0,-804137.0,-799708.0,-805257.0,-1012705.0,-791783.0,-967138.0,-778185.0,-778449.0,-792355.0,-775969.0
