Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,258.0,259.0,266.0,262.0,256.0,261.0,263.0,259.0,257.0,258.0,264.0,265.0,267.0,262.0,258.0,262.0,259.0,270.0,266.0,249.0,257.0,250.0,256.0,250.0,249.0,255.0,251.0,250.0,250.0,252.0
AluminiumConcentration,5152.0,5128.0,5159.0,4897.0,4806.0,4916.0,4936.0,5004.0,5179.0,5294.0,4675.0,4547.0,4639.0,4556.0,4629.0,4447.0,4446.0,4518.0,4362.0,4460.0,4527.0,4587.0,4504.0,4387.0,4409.0,4358.0,4586.0,4430.0,4544.0,4423.0
AppliancesEnergy,1429.0,1423.0,1431.0,1410.0,1396.0,1406.0,1437.0,1366.0,1350.0,1385.0,1373.0,1362.0,1380.0,1380.0,1361.0,1348.0,1387.0,1399.0,1354.0,1418.0,1429.0,1442.0,1459.0,1444.0,1440.0,1433.0,1411.0,1462.0,1429.0,1454.0
AustraliaRainfall,594207.0,590372.0,728292.0,715103.0,693187.0,714020.0,703549.0,687910.0,721691.0,749309.0,715039.0,754878.0,701303.0,748650.0,749114.0,724315.0,702958.0,716429.0,634293.0,644124.0,618341.0,677657.0,662127.0,633441.0,644742.0,629129.0,664464.0,691340.0,637104.0,636867.0
BIDMC32HR,253266.0,285718.0,286539.0,281430.0,279764.0,283013.0,289156.0,275047.0,252766.0,283885.0,287318.0,287368.0,283699.0,254199.0,268722.0,267133.0,271983.0,261253.0,266122.0,269339.0,269783.0,269273.0,271894.0,265669.0,270329.0,267460.0,279584.0,256891.0,255818.0,265148.0
BIDMC32RR,316731.0,311690.0,314504.0,307687.0,292670.0,314367.0,314456.0,313619.0,302256.0,275941.0,287422.0,286472.0,281642.0,290590.0,292750.0,288623.0,296174.0,294293.0,289747.0,301658.0,295022.0,282835.0,329555.0,331493.0,326856.0,334985.0,317822.0,311683.0,336356.0,333198.0
BIDMC32SpO2,316361.0,241438.0,262877.0,263651.0,261917.0,261908.0,251592.0,282082.0,280842.0,275380.0,276876.0,276692.0,281197.0,276822.0,271656.0,278807.0,274509.0,269206.0,263073.0,279385.0,273865.0,281209.0,277091.0,273412.0,274518.0,270633.0,275116.0,279107.0,260387.0,256051.0
BarCrawl6min,686.0,695.0,690.0,681.0,691.0,680.0,710.0,684.0,686.0,677.0,699.0,691.0,685.0,692.0,691.0,689.0,679.0,684.0,678.0,685.0,688.0,683.0,691.0,638.0,605.0,621.0,602.0,600.0,612.0,622.0
BeijingIntAirportPM25Quality,929.0,940.0,951.0,930.0,939.0,941.0,968.0,937.0,958.0,947.0,948.0,949.0,941.0,958.0,940.0,947.0,945.0,945.0,1077.0,1071.0,1103.0,1088.0,1075.0,1096.0,1090.0,1118.0,1084.0,1094.0,1036.0,1016.0
BeijingPM10Quality_nmv,27437.0,26972.0,28206.0,25685.0,26737.0,33105.0,29152.0,39336.0,30514.0,30986.0,32084.0,38417.0,28036.0,28521.0,33611.0,28999.0,40349.0,28206.0,31979.0,40425.0,28734.0,27958.0,29453.0,28517.0,36229.0,30415.0,26579.0,28093.0,38641.0,29651.0
