Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-3593.0,-2853.0,-2776.0,-2561.0,-3428.0,-2088.0,-2010.0,-2036.0,-3292.0,-2380.0,3141.0,3181.0,3181.0,2418.0,3387.0,3264.0,3232.0,2480.0,2468.0,2444.0,3269.0,2373.0,2470.0,2448.0,3115.0,3063.0,2534.0,3089.0,3216.0,3106.0
AluminiumConcentration,-8578.0,-9470.0,-8898.0,-7485.0,-7466.0,-126445.0,-6214.0,-6355.0,-9011.0,-7260.0,9131.0,7466.0,7759.0,7623.0,7754.0,9015.0,7569.0,7763.0,9698.0,9072.0,9320.0,9430.0,9413.0,9335.0,7574.0,8583.0,9135.0,7833.0,7609.0,7732.0
AppliancesEnergy,-5569.0,-5613.0,-4227.0,-4308.0,-4230.0,-3011.0,-3085.0,-2988.0,4602.0,4506.0,4488.0,4559.0,4894.0,4621.0,4755.0,4874.0,3873.0,3775.0,3864.0,4696.0,3776.0,4712.0,4540.0,3928.0,3814.0,4671.0,4684.0,4492.0,4956.0,3931.0
AustraliaRainfall,-86159.0,-95442.0,-83539.0,-83803.0,-81913.0,80913.0,99899.0,120516.0,103120.0,102900.0,77019.0,81205.0,76580.0,102014.0,81968.0,79763.0,104049.0,108199.0,114665.0,99848.0,130286.0,95666.0,112143.0,78842.0,81695.0,78413.0,79166.0,77686.0,78135.0,95045.0
BIDMC32HR,-199490.0,-228238.0,-233433.0,-227275.0,-219199.0,219077.0,227329.0,222481.0,204631.0,220715.0,281206.0,253930.0,239631.0,479917.0,249491.0,269867.0,206292.0,204713.0,216602.0,207297.0,216778.0,207073.0,215299.0,209083.0,206935.0,204212.0,221789.0,216089.0,215986.0,203444.0
BIDMC32RR,-230560.0,-236239.0,-232886.0,-243663.0,-236679.0,225639.0,213477.0,217665.0,205409.0,225443.0,219985.0,221458.0,219183.0,204143.0,209304.0,213294.0,206148.0,222620.0,205973.0,200668.0,212384.0,216938.0,234358.0,214875.0,219830.0,221311.0,214811.0,215689.0,205653.0,204223.0
BIDMC32SpO2,-230503.0,-202195.0,-208901.0,-228020.0,-225283.0,207522.0,204426.0,208682.0,207486.0,220716.0,219031.0,221191.0,222497.0,226291.0,215250.0,214793.0,214873.0,226269.0,220443.0,206192.0,207765.0,229085.0,208898.0,206751.0,201227.0,238154.0,227693.0,229186.0,237168.0,223045.0
BarCrawl6min,-3943.0,-3581.0,-3703.0,-3817.0,-3777.0,3872.0,3908.0,3808.0,4074.0,3883.0,3888.0,3905.0,4036.0,3924.0,4064.0,3868.0,4076.0,3780.0,3982.0,3904.0,3788.0,3833.0,5775.0,7704.0,3860.0,3879.0,3878.0,3853.0,3891.0,3851.0
BeijingIntAirportPM25Quality,-3435.0,-4615.0,-4830.0,-4762.0,-4460.0,4187.0,4112.0,4145.0,4124.0,4116.0,4278.0,4100.0,9035.0,4211.0,4275.0,8357.0,4155.0,4178.0,3986.0,4384.0,4218.0,4072.0,4176.0,4254.0,4246.0,5294.0,4821.0,4014.0,3955.0,4294.0
BeijingPM10Quality_nmv,-24830.0,-25954.0,-22780.0,-26404.0,-26058.0,24155.0,23709.0,23402.0,23490.0,23777.0,24058.0,24943.0,24755.0,23996.0,23776.0,23371.0,23474.0,23673.0,23003.0,24409.0,23512.0,24105.0,23798.0,24107.0,23455.0,53865.0,53703.0,23865.0,23275.0,23354.0
BeijingPM25Quality_nmv,-25004.0,-24353.0,-24474.0,-30211.0,-21442.0,23956.0,23052.0,23206.0,22077.0,22571.0,20205.0,23980.0,20815.0,24770.0,20226.0,24186.0,24177.0,20392.0,24768.0,20473.0,24105.0,20143.0,23783.0,20595.0,23520.0,23478.0,23589.0,24410.0,20457.0,21603.0
BenzeneConcentration_nmv,-130293.0,-132279.0,-133007.0,-129252.0,-126466.0,121975.0,110010.0,145103.0,110140.0,111977.0,108129.0,109748.0,108872.0,108683.0,111804.0,109327.0,109944.0,116658.0,114735.0,108322.0,107949.0,109776.0,114706.0,109692.0,122521.0,121689.0,112701.0,128374.0,109134.0,114987.0
BinanceCoinSentiment,-3197.0,-3063.0,-3237.0,-3097.0,-3071.0,3173.0,3231.0,3387.0,3140.0,3284.0,3141.0,3210.0,3035.0,3176.0,3210.0,3071.0,3176.0,3227.0,3307.0,3180.0,3190.0,3326.0,3243.0,3137.0,3252.0,3082.0,3074.0,3052.0,3170.0,3155.0
BitcoinSentiment,-3224.0,-3107.0,-3130.0,-3146.0,-3033.0,3176.0,3109.0,3454.0,3466.0,3202.0,3155.0,3204.0,3135.0,3331.0,3185.0,3295.0,3350.0,3225.0,3150.0,3515.0,3226.0,3281.0,3358.0,3260.0,3146.0,3147.0,3119.0,3101.0,3244.0,3296.0
BoronConcentration,-7375.0,-7265.0,-9201.0,-7528.0,-8801.0,-6453.0,-6548.0,-6347.0,-8988.0,-9045.0,7662.0,7833.0,9148.0,8888.0,9416.0,9320.0,8969.0,8827.0,9132.0,7552.0,7445.0,7580.0,7644.0,7587.0,7844.0,9059.0,8887.0,8927.0,9274.0,8840.0
CalciumConcentration,-9410.0,-7036.0,-6883.0,-7034.0,-6832.0,-5965.0,-5999.0,-6208.0,-8446.0,-8610.0,7134.0,7368.0,7653.0,7136.0,7702.0,9289.0,7038.0,7107.0,7278.0,7443.0,7272.0,7148.0,7158.0,7466.0,7211.0,7647.0,8820.0,8641.0,8873.0,8722.0
CardanoSentiment,-2147.0,-2894.0,-2914.0,-3056.0,-2967.0,2612.0,2906.0,2795.0,2702.0,2564.0,2630.0,2774.0,2799.0,2637.0,2648.0,2715.0,2916.0,2738.0,2775.0,2634.0,2704.0,2710.0,2642.0,2820.0,2696.0,2823.0,2682.0,2701.0,2769.0,2696.0
ChilledWaterPredictor,-3206.0,-3266.0,-4356.0,-4217.0,-4347.0,-2592.0,-2683.0,-2645.0,3293.0,3355.0,3227.0,3193.0,4060.0,4084.0,4207.0,3277.0,3193.0,4018.0,4048.0,4035.0,4055.0,4124.0,4116.0,3269.0,3367.0,3261.0,3266.0,3169.0,3311.0,4177.0
CopperConcentration,-9568.0,-8053.0,-7538.0,-7418.0,-9473.0,-6768.0,-6545.0,-6394.0,-9655.0,-7478.0,9067.0,8914.0,7647.0,7527.0,7600.0,7556.0,7775.0,7683.0,8934.0,9106.0,8759.0,9160.0,9246.0,9389.0,9458.0,7824.0,7575.0,7663.0,7551.0,7726.0
Covid19Andalusia,-3368.0,-3080.0,-3151.0,-3065.0,-3226.0,2894.0,2757.0,2788.0,2806.0,2947.0,2964.0,2955.0,2833.0,2868.0,2739.0,2960.0,2765.0,2698.0,2918.0,2889.0,2816.0,2934.0,2756.0,2811.0,2841.0,2860.0,2793.0,2924.0,2912.0,2789.0
Covid3Month,-3320.0,-2996.0,-3236.0,-3023.0,-2967.0,3015.0,2679.0,2704.0,2877.0,2769.0,2820.0,2706.0,2731.0,2669.0,2749.0,2815.0,2712.0,2744.0,2766.0,2784.0,2811.0,2809.0,2796.0,2830.0,2851.0,2854.0,2729.0,2756.0,2866.0,2832.0
DailyOilGasPrices,-2179.0,-3026.0,-2943.0,-2940.0,-3215.0,3190.0,2990.0,3166.0,3350.0,3042.0,3037.0,3210.0,3058.0,3166.0,3201.0,3105.0,3133.0,3174.0,3096.0,3278.0,3059.0,3166.0,3017.0,3172.0,3100.0,3412.0,3073.0,3220.0,3082.0,2944.0
DailyTemperatureLatitude,-64472.0,-64438.0,-64374.0,-68386.0,-66530.0,61632.0,70363.0,64342.0,61242.0,61926.0,61817.0,56316.0,62143.0,64418.0,63704.0,65367.0,63462.0,63888.0,64185.0,62808.0,64457.0,70008.0,67868.0,69381.0,64822.0,61728.0,61513.0,63256.0,64411.0,62134.0
DhakaHourlyAirQuality,-2657.0,-3084.0,-2739.0,-3505.0,-2757.0,3802.0,3482.0,3801.0,3468.0,3471.0,3318.0,4280.0,3484.0,4019.0,3374.0,3778.0,3907.0,4088.0,3419.0,3689.0,3646.0,3742.0,3368.0,3450.0,3310.0,3487.0,3411.0,3836.0,3492.0,3844.0
ElectricMotorTemperature,-42692.0,-34075.0,-39138.0,-33821.0,-39956.0,39101.0,40528.0,39196.0,43134.0,42134.0,43202.0,43444.0,45835.0,30312.0,31239.0,47057.0,44220.0,40586.0,31248.0,38536.0,31304.0,39968.0,38750.0,38869.0,40305.0,39879.0,40563.0,39352.0,39623.0,38035.0
ElectricityPredictor,-6106.0,-4439.0,-6037.0,-6522.0,-4530.0,-3337.0,-3315.0,-3500.0,5482.0,5245.0,5090.0,5031.0,4904.0,5061.0,5385.0,4162.0,5558.0,4099.0,4206.0,4221.0,4160.0,4244.0,5295.0,5096.0,5085.0,5056.0,5095.0,5401.0,4896.0,5507.0
EthereumSentiment,-2468.0,-2648.0,-2651.0,-2624.0,-2406.0,2725.0,3277.0,3263.0,3190.0,3094.0,3312.0,3222.0,3196.0,3241.0,3263.0,3435.0,3702.0,3248.0,3265.0,3286.0,3217.0,3620.0,3152.0,3354.0,3215.0,2861.0,2860.0,11000.0,13736.0,12155.0
FloodModeling1,-2848.0,-2969.0,-3037.0,-3022.0,-3076.0,3934.0,3935.0,3943.0,3778.0,3955.0,3866.0,3853.0,3733.0,9395.0,4009.0,3926.0,3967.0,3746.0,4074.0,3791.0,3898.0,3805.0,15805.0,15487.0,14621.0,19338.0,19606.0,20615.0,22416.0,19714.0
FloodModeling2,-3836.0,-2890.0,-3282.0,-2970.0,-3803.0,22160.0,21185.0,4139.0,4197.0,3927.0,4028.0,3837.0,3857.0,4027.0,3929.0,3713.0,3861.0,3913.0,3811.0,3880.0,3961.0,3910.0,4017.0,3944.0,3836.0,3875.0,3815.0,3893.0,3887.0,3775.0
FloodModeling3,-2799.0,-3381.0,-3736.0,-2762.0,-3806.0,3889.0,3776.0,3784.0,3776.0,3779.0,3884.0,3770.0,3831.0,3882.0,3715.0,3768.0,3692.0,3801.0,3777.0,3762.0,3829.0,3908.0,3799.0,3715.0,3847.0,3785.0,3658.0,3688.0,3987.0,3807.0
GasSensorArrayAcetone,-15056.0,-13151.0,-13565.0,-16064.0,-15356.0,15386.0,15589.0,13607.0,15283.0,13815.0,13508.0,15977.0,13607.0,17421.0,13627.0,13846.0,13538.0,18819.0,14874.0,13828.0,13715.0,16556.0,17392.0,13813.0,18197.0,14101.0,13793.0,16017.0,16594.0,16502.0
