Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,5335.0,5376.0,5130.0,5070.0,5091.0,5181.0,5182.0,5175.0,5180.0,5118.0,5402.0,5402.0,5071.0,5395.0,5398.0,5333.0,5322.0,5392.0,5392.0,5391.0,5393.0,5108.0,5238.0,5235.0,5099.0,5224.0,5230.0,5120.0,5118.0,5109.0
AluminiumConcentration,67816.0,67548.0,68631.0,68619.0,68891.0,68790.0,68961.0,68728.0,68426.0,68897.0,70778.0,70859.0,70658.0,70678.0,70911.0,70848.0,71403.0,71008.0,70552.0,71260.0,70888.0,71122.0,70734.0,70705.0,70690.0,70533.0,70767.0,59826.0,68669.0,68743.0
AppliancesEnergy,6624.0,6325.0,5994.0,6008.0,6020.0,6016.0,5955.0,5975.0,5950.0,5953.0,5962.0,5985.0,6002.0,6020.0,5939.0,6496.0,6496.0,6410.0,6467.0,6449.0,6453.0,6485.0,6468.0,6488.0,6462.0,6436.0,6480.0,6438.0,6480.0,6433.0
AustraliaRainfall,544107.0,551872.0,550805.0,548910.0,559562.0,547011.0,551652.0,548799.0,545749.0,546315.0,552110.0,547774.0,549035.0,550585.0,551403.0,548557.0,555665.0,544440.0,546820.0,548866.0,557906.0,546002.0,554761.0,552727.0,543511.0,548947.0,549435.0,548412.0,549478.0,545606.0
BIDMC32HR,2149503.0,2191890.0,2195442.0,2169772.0,2171079.0,2198216.0,2175252.0,2182135.0,2171919.0,2197328.0,2175101.0,2176022.0,2186751.0,2399530.0,2397168.0,2391217.0,2399666.0,2391401.0,2389331.0,2394695.0,2389729.0,2388843.0,2399635.0,2394711.0,2376422.0,2387296.0,2399517.0,2391715.0,2398801.0,2391278.0
BIDMC32RR,2152184.0,2190293.0,2194125.0,2405228.0,2410547.0,2421056.0,2409378.0,2415973.0,2412470.0,2419962.0,2411893.0,2404696.0,2412574.0,2428872.0,2188754.0,2180555.0,2196858.0,2172723.0,2173790.0,2175379.0,2183642.0,2192443.0,2193079.0,2183054.0,2158994.0,2166156.0,2192079.0,2177314.0,2195942.0,2164158.0
BIDMC32SpO2,2435938.0,2454957.0,2457818.0,2449439.0,2451206.0,2461246.0,2451962.0,2453442.0,2454440.0,2460683.0,2446398.0,2452827.0,2461044.0,2462191.0,2181392.0,2180408.0,2189389.0,2177350.0,2172621.0,2168005.0,2181190.0,2183466.0,2189490.0,2177782.0,2151836.0,2164285.0,2488813.0,2472663.0,2488679.0,2459857.0
BarCrawl6min,8992.0,9055.0,9046.0,9060.0,7702.0,7787.0,7737.0,8945.0,8878.0,8838.0,8942.0,8850.0,8877.0,8984.0,8896.0,8815.0,8892.0,8786.0,8866.0,8849.0,8859.0,8911.0,8943.0,7882.0,7765.0,7834.0,7870.0,7866.0,7877.0,7748.0
BeijingIntAirportPM25Quality,8993.0,8931.0,9042.0,8815.0,8825.0,8835.0,8834.0,8977.0,8912.0,8977.0,8974.0,8852.0,8817.0,8912.0,8841.0,8828.0,8825.0,8396.0,8419.0,8420.0,8456.0,8519.0,8626.0,8523.0,8525.0,8521.0,8481.0,8401.0,8463.0,8439.0
BeijingPM10Quality_nmv,98897.0,100017.0,100178.0,98694.0,101644.0,100079.0,100955.0,95168.0,95622.0,95240.0,96007.0,95639.0,95932.0,96241.0,95120.0,96354.0,96098.0,99989.0,92703.0,92696.0,91808.0,90300.0,91122.0,87863.0,90082.0,90275.0,107316.0,106372.0,107293.0,106099.0
BeijingPM25Quality_nmv,91729.0,92526.0,93180.0,91305.0,95690.0,95191.0,94613.0,94184.0,91217.0,92283.0,92506.0,93039.0,92440.0,92128.0,91983.0,92250.0,92634.0,91374.0,92259.0,92213.0,98740.0,100798.0,102205.0,88889.0,87066.0,87906.0,99385.0,99167.0,99791.0,99261.0
BenzeneConcentration_nmv,616657.0,623939.0,620916.0,618993.0,620149.0,623160.0,619349.0,619961.0,618893.0,623123.0,620266.0,621296.0,621853.0,624495.0,620204.0,618813.0,624916.0,617587.0,618075.0,619579.0,620154.0,623923.0,626069.0,623942.0,704509.0,707007.0,708188.0,703837.0,708096.0,703012.0
BinanceCoinSentiment,2886.0,2831.0,2843.0,2882.0,2865.0,2854.0,2839.0,2604.0,2723.0,2673.0,2672.0,2855.0,2852.0,2898.0,2925.0,2878.0,2918.0,2857.0,2858.0,2857.0,2828.0,2817.0,2861.0,2823.0,2850.0,2858.0,2586.0,2565.0,2531.0,2489.0
BitcoinSentiment,2768.0,2791.0,2789.0,2756.0,2782.0,2769.0,2779.0,2799.0,2776.0,2787.0,2812.0,2788.0,2892.0,2858.0,2877.0,2902.0,2862.0,2868.0,2882.0,2947.0,2959.0,2949.0,2500.0,2494.0,2475.0,2556.0,2672.0,2697.0,2677.0,2644.0
BoronConcentration,71657.0,71786.0,59658.0,71214.0,69810.0,70134.0,70122.0,71038.0,71138.0,70239.0,70106.0,70460.0,70017.0,70110.0,70347.0,70196.0,69888.0,70006.0,70013.0,69960.0,61364.0,68735.0,68488.0,68261.0,68238.0,68387.0,68424.0,68542.0,68465.0,68579.0
CalciumConcentration,64110.0,57475.0,57162.0,57100.0,57208.0,57167.0,57195.0,57299.0,57351.0,57341.0,57319.0,57354.0,57160.0,57244.0,57546.0,60073.0,60018.0,60091.0,60031.0,60078.0,60027.0,60116.0,60041.0,59880.0,55788.0,55635.0,55615.0,55725.0,55748.0,55759.0
CardanoSentiment,1803.0,1812.0,1824.0,2048.0,2047.0,2056.0,2077.0,2050.0,2057.0,2051.0,2057.0,2060.0,2063.0,1955.0,1954.0,1954.0,1951.0,2135.0,2134.0,1947.0,2040.0,2040.0,2033.0,2030.0,1839.0,1820.0,1836.0,1840.0,1825.0,1818.0
ChilledWaterPredictor,10762.0,10379.0,10309.0,11013.0,11150.0,11197.0,11046.0,11055.0,11025.0,11061.0,11042.0,11047.0,9877.0,9830.0,9929.0,9883.0,9956.0,9942.0,9966.0,9867.0,10459.0,10535.0,10537.0,10477.0,10394.0,10482.0,10545.0,10506.0,10465.0,10511.0
CopperConcentration,66994.0,66929.0,66861.0,66684.0,66803.0,66895.0,66763.0,66926.0,66859.0,66996.0,66823.0,66884.0,66884.0,66857.0,66965.0,66828.0,62969.0,62816.0,62647.0,62708.0,62908.0,62918.0,62887.0,62737.0,62678.0,62723.0,62668.0,62893.0,63032.0,62835.0
Covid19Andalusia,2718.0,2903.0,2898.0,2907.0,2890.0,2896.0,2880.0,2901.0,2884.0,2888.0,2936.0,2905.0,2895.0,2905.0,2892.0,2944.0,2870.0,2906.0,2877.0,2897.0,2910.0,2887.0,2899.0,2877.0,2879.0,2608.0,2711.0,2693.0,2710.0,2541.0
