Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-312.0,-305.0,-305.0,-302.0,-305.0,276.0,266.0,266.0,263.0,274.0,265.0,289.0,287.0,268.0,263.0,267.0,284.0,278.0,278.0,272.0,269.0,265.0,278.0,271.0,265.0,263.0,254.0,257.0,298.0,297.0
AluminiumConcentration,-4424.0,-4322.0,-4332.0,-4285.0,-4334.0,4229.0,4322.0,4633.0,4490.0,4342.0,4315.0,4290.0,4516.0,4435.0,4455.0,4283.0,4496.0,4434.0,4599.0,4369.0,4470.0,4506.0,4441.0,4407.0,4080.0,4459.0,4341.0,4300.0,4408.0,4407.0
AppliancesEnergy,-1403.0,-1398.0,-1395.0,-1449.0,-1379.0,1433.0,1388.0,1422.0,1452.0,1359.0,1366.0,1330.0,1348.0,1324.0,1297.0,1370.0,1388.0,1366.0,1428.0,1306.0,1382.0,1371.0,1444.0,1341.0,1391.0,1361.0,1459.0,1320.0,1393.0,1450.0
AustraliaRainfall,-49436.0,-50123.0,-50852.0,-49872.0,-50399.0,46110.0,50535.0,47239.0,47988.0,46718.0,48264.0,47859.0,48841.0,49270.0,48278.0,47327.0,46360.0,47529.0,48256.0,47075.0,48021.0,48398.0,46944.0,48959.0,48448.0,47687.0,47902.0,46394.0,48344.0,48386.0
BIDMC32HR,-165331.0,-171526.0,-166161.0,-163706.0,-164469.0,157126.0,154954.0,155226.0,153585.0,151981.0,155021.0,156682.0,153849.0,162164.0,153541.0,155109.0,156439.0,156575.0,163006.0,160043.0,159318.0,162637.0,155922.0,160595.0,157431.0,159113.0,154963.0,158625.0,156726.0,157099.0
BIDMC32RR,-163805.0,-167568.0,-164580.0,-168156.0,-166695.0,155315.0,159940.0,162058.0,161167.0,159582.0,159813.0,158919.0,163483.0,153954.0,160550.0,164930.0,162634.0,159368.0,157345.0,157356.0,159742.0,160481.0,164172.0,160775.0,157464.0,154631.0,157911.0,160139.0,159045.0,165941.0
BIDMC32SpO2,-168287.0,-163803.0,-166212.0,-167077.0,-164380.0,168997.0,172750.0,166475.0,169489.0,165817.0,173300.0,153669.0,157215.0,158484.0,156337.0,155400.0,154488.0,152696.0,152773.0,153539.0,154121.0,157627.0,159967.0,153978.0,155978.0,153356.0,152065.0,153518.0,152798.0,153353.0
BarCrawl6min,-687.0,-658.0,-686.0,-690.0,-706.0,633.0,623.0,659.0,638.0,639.0,635.0,654.0,630.0,639.0,652.0,656.0,642.0,659.0,640.0,664.0,655.0,646.0,675.0,682.0,671.0,659.0,627.0,649.0,653.0,661.0
BeijingIntAirportPM25Quality,-936.0,-949.0,-937.0,-943.0,-946.0,859.0,855.0,855.0,856.0,855.0,854.0,938.0,964.0,952.0,939.0,952.0,953.0,943.0,923.0,963.0,951.0,944.0,919.0,921.0,944.0,950.0,986.0,904.0,945.0,959.0
BeijingPM10Quality_nmv,-13921.0,-14376.0,-14166.0,-14588.0,-14066.0,13241.0,13458.0,13225.0,13415.0,13372.0,13312.0,13588.0,13618.0,13704.0,13448.0,13465.0,13628.0,13556.0,13430.0,13467.0,13158.0,13263.0,13571.0,13378.0,13463.0,13337.0,13177.0,13572.0,13611.0,13542.0
BeijingPM25Quality_nmv,-14387.0,-14500.0,-14514.0,-14358.0,-14210.0,14151.0,13900.0,14406.0,14217.0,13858.0,15510.0,15007.0,15066.0,15177.0,13131.0,13178.0,13221.0,13217.0,13106.0,13227.0,13116.0,13021.0,13343.0,13198.0,13506.0,13142.0,13200.0,13027.0,13104.0,13139.0
BenzeneConcentration_nmv,-89043.0,-89772.0,-92685.0,-91211.0,-90171.0,90009.0,87553.0,84160.0,85417.0,83333.0,84285.0,83131.0,85311.0,84835.0,84311.0,83742.0,85274.0,85569.0,85094.0,88300.0,94516.0,96340.0,94847.0,93329.0,97122.0,95840.0,96073.0,95814.0,96018.0,95638.0
BinanceCoinSentiment,-80.0,-81.0,-78.0,-81.0,-78.0,79.0,82.0,84.0,84.0,86.0,83.0,84.0,83.0,84.0,83.0,81.0,82.0,83.0,82.0,82.0,82.0,83.0,84.0,83.0,85.0,87.0,85.0,85.0,86.0,78.0
BitcoinSentiment,-93.0,-94.0,-94.0,-92.0,-93.0,94.0,98.0,98.0,98.0,100.0,100.0,101.0,100.0,99.0,99.0,98.0,97.0,100.0,100.0,99.0,101.0,100.0,99.0,95.0,96.0,96.0,96.0,98.0,97.0,91.0
BoronConcentration,-4223.0,-4156.0,-4295.0,-4165.0,-4207.0,4128.0,3942.0,4080.0,3997.0,3938.0,4052.0,4016.0,4006.0,3947.0,4146.0,3984.0,3985.0,4244.0,3994.0,4104.0,4148.0,4160.0,3951.0,3998.0,4107.0,4052.0,3936.0,4018.0,3960.0,4506.0
CalciumConcentration,-4019.0,-4250.0,-4170.0,-4265.0,-4064.0,3836.0,4139.0,4132.0,4069.0,3910.0,3818.0,4129.0,3787.0,3764.0,3824.0,3721.0,4074.0,3805.0,3877.0,4235.0,3871.0,3819.0,3751.0,3772.0,3683.0,3712.0,3888.0,4077.0,3736.0,3767.0
CardanoSentiment,-47.0,-48.0,-48.0,-48.0,-48.0,52.0,52.0,50.0,50.0,51.0,51.0,52.0,52.0,52.0,51.0,50.0,50.0,52.0,51.0,49.0,51.0,51.0,51.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0
ChilledWaterPredictor,-913.0,-922.0,-902.0,-911.0,-906.0,888.0,857.0,837.0,874.0,857.0,860.0,871.0,846.0,880.0,861.0,891.0,867.0,920.0,889.0,867.0,883.0,850.0,884.0,850.0,883.0,901.0,898.0,897.0,869.0,909.0
CopperConcentration,-4331.0,-4399.0,-4355.0,-4361.0,-4400.0,4629.0,4543.0,4475.0,4149.0,4120.0,4098.0,4103.0,4184.0,4084.0,4034.0,4072.0,4272.0,4129.0,4099.0,4178.0,4023.0,4164.0,4103.0,4107.0,4067.0,4096.0,4124.0,3958.0,4014.0,3983.0
Covid19Andalusia,-86.0,-86.0,-86.0,-85.0,-83.0,88.0,88.0,91.0,88.0,90.0,86.0,89.0,88.0,85.0,88.0,85.0,86.0,85.0,86.0,85.0,87.0,87.0,84.0,86.0,85.0,87.0,86.0,87.0,83.0,87.0
Covid3Month,-82.0,-80.0,-79.0,-81.0,-79.0,82.0,83.0,82.0,82.0,83.0,82.0,82.0,83.0,83.0,83.0,82.0,83.0,82.0,83.0,84.0,85.0,86.0,86.0,85.0,85.0,86.0,86.0,85.0,85.0,86.0
DailyOilGasPrices,-70.0,-70.0,-71.0,-71.0,-71.0,71.0,74.0,72.0,73.0,72.0,73.0,72.0,73.0,73.0,74.0,72.0,73.0,74.0,73.0,72.0,72.0,72.0,71.0,75.0,72.0,71.0,73.0,70.0,68.0,70.0
DailyTemperatureLatitude,-39805.0,-39731.0,-40183.0,-38850.0,-40110.0,39005.0,38543.0,38070.0,39660.0,38463.0,39851.0,39251.0,37717.0,38828.0,38953.0,37692.0,38393.0,38744.0,37281.0,38833.0,38447.0,37350.0,39233.0,37973.0,38788.0,37343.0,36447.0,38613.0,37764.0,37179.0
DhakaHourlyAirQuality,-261.0,-271.0,-265.0,-262.0,-266.0,267.0,267.0,269.0,268.0,270.0,273.0,269.0,272.0,268.0,278.0,282.0,278.0,276.0,273.0,287.0,275.0,279.0,279.0,281.0,278.0,274.0,280.0,286.0,268.0,286.0
ElectricMotorTemperature,-24821.0,-25280.0,-25424.0,-25034.0,-24855.0,25392.0,24916.0,25398.0,25122.0,25582.0,24488.0,25242.0,25725.0,24116.0,25115.0,25341.0,24775.0,25958.0,25563.0,24700.0,25117.0,24317.0,28850.0,24722.0,24429.0,24485.0,24123.0,23953.0,23952.0,24025.0
ElectricityPredictor,-1549.0,-1526.0,-1539.0,-1596.0,-1595.0,1469.0,1525.0,1541.0,1471.0,1522.0,1485.0,1486.0,1577.0,1506.0,1537.0,1486.0,1533.0,1540.0,1510.0,1501.0,1505.0,1493.0,1483.0,1536.0,1513.0,1471.0,1535.0,1461.0,1486.0,1486.0
EthereumSentiment,-97.0,-99.0,-94.0,-100.0,-97.0,105.0,106.0,104.0,101.0,100.0,102.0,102.0,98.0,101.0,103.0,100.0,101.0,101.0,100.0,103.0,101.0,101.0,101.0,102.0,100.0,101.0,102.0,100.0,100.0,101.0
FloodModeling1,-537.0,-527.0,-523.0,-529.0,-564.0,515.0,509.0,516.0,523.0,512.0,512.0,520.0,516.0,511.0,509.0,513.0,523.0,531.0,526.0,517.0,520.0,501.0,515.0,524.0,516.0,508.0,508.0,514.0,514.0,520.0
FloodModeling2,-545.0,-539.0,-556.0,-535.0,-563.0,510.0,494.0,493.0,509.0,544.0,536.0,538.0,504.0,524.0,511.0,510.0,528.0,555.0,558.0,530.0,505.0,496.0,521.0,504.0,496.0,512.0,516.0,513.0,508.0,509.0
FloodModeling3,-551.0,-557.0,-567.0,-528.0,-568.0,477.0,483.0,489.0,504.0,474.0,484.0,471.0,478.0,470.0,476.0,487.0,482.0,478.0,468.0,493.0,494.0,506.0,471.0,475.0,471.0,491.0,474.0,471.0,474.0,470.0
GasSensorArrayAcetone,-9181.0,-9393.0,-9320.0,-9311.0,-9332.0,8682.0,8751.0,8671.0,8935.0,9034.0,8816.0,8582.0,8856.0,9039.0,8780.0,8874.0,8906.0,8815.0,8997.0,9495.0,9446.0,9105.0,9151.0,9606.0,8959.0,9455.0,9090.0,8969.0,9469.0,9570.0
GasSensorArrayEthanol,-9267.0,-9604.0,-9593.0,-9489.0,-9503.0,9679.0,8906.0,8823.0,9759.0,9259.0,9035.0,8796.0,8888.0,9247.0,8823.0,10014.0,9588.0,9577.0,8815.0,9083.0,9193.0,8992.0,9508.0,8750.0,9695.0,8984.0,9235.0,8896.0,9079.0,9405.0
HotwaterPredictor,-723.0,-693.0,-721.0,-718.0,-714.0,677.0,654.0,651.0,664.0,675.0,663.0,672.0,658.0,659.0,676.0,694.0,683.0,676.0,674.0,681.0,662.0,697.0,668.0,663.0,672.0,659.0,666.0,650.0,661.0,640.0
HouseholdPowerConsumption1_nmv,-43138.0,-43667.0,-42634.0,-43147.0,-43088.0,42761.0,42379.0,42817.0,42033.0,42233.0,42976.0,43486.0,42593.0,43157.0,43898.0,43362.0,43231.0,42415.0,42444.0,43043.0,42841.0,42067.0,42796.0,42257.0,43571.0,43083.0,42215.0,42415.0,42192.0,43077.0
HouseholdPowerConsumption2_nmv,-43600.0,-43523.0,-44183.0,-44369.0,-44001.0,45517.0,45780.0,44134.0,43995.0,43725.0,44736.0,43975.0,42869.0,44684.0,43467.0,44468.0,44757.0,44174.0,45098.0,44606.0,44649.0,43487.0,45970.0,45398.0,45545.0,44455.0,46211.0,45822.0,45709.0,44774.0
IEEEPPG,-57320.0,-58547.0,-57458.0,-59993.0,-57092.0,54319.0,54601.0,56158.0,58073.0,57110.0,55766.0,56182.0,56508.0,55034.0,54618.0,54394.0,55789.0,54570.0,55601.0,55559.0,56777.0,54645.0,55735.0,54886.0,56855.0,56629.0,60119.0,59754.0,59772.0,59830.0
IronConcentration,-2971.0,-2906.0,-3002.0,-2852.0,-2876.0,2631.0,2586.0,2615.0,2639.0,2657.0,2639.0,2643.0,2623.0,2710.0,2727.0,2735.0,2713.0,2671.0,2628.0,2688.0,2683.0,2708.0,2670.0,2661.0,2675.0,2767.0,2711.0,2728.0,2759.0,2627.0
LPGasMonitoringHomeActivity,-963.0,-997.0,-1007.0,-1008.0,-987.0,959.0,974.0,920.0,956.0,996.0,1001.0,994.0,972.0,993.0,995.0,917.0,902.0,908.0,916.0,919.0,980.0,924.0,903.0,927.0,908.0,908.0,908.0,900.0,928.0,919.0
LiveFuelMoistureContent,-34072.0,-33845.0,-35288.0,-33977.0,-34006.0,33748.0,32613.0,32910.0,32656.0,32745.0,32892.0,33476.0,32768.0,31854.0,32697.0,33340.0,32596.0,32517.0,32283.0,32845.0,32459.0,32648.0,32506.0,32378.0,33283.0,33967.0,32195.0,32921.0,32617.0,33317.0
MadridPM10Quality_nmv,-9910.0,-9778.0,-9992.0,-10303.0,-10035.0,10431.0,10461.0,10424.0,10348.0,9964.0,9931.0,10103.0,10450.0,10434.0,9669.0,9757.0,9711.0,9367.0,9664.0,9430.0,9394.0,9673.0,9727.0,9696.0,9567.0,10040.0,9388.0,9194.0,9283.0,9327.0
MagnesiumConcentration,-21199.0,-21562.0,-21538.0,-21672.0,-21449.0,21782.0,21356.0,20931.0,21505.0,20866.0,20680.0,21384.0,20634.0,20929.0,20726.0,20756.0,20114.0,20089.0,21550.0,21912.0,21484.0,21452.0,20222.0,21374.0,19341.0,19796.0,20312.0,20261.0,22542.0,21823.0
ManganeseConcentration,-3225.0,-3197.0,-3220.0,-3190.0,-3287.0,2740.0,2853.0,2719.0,2724.0,2726.0,2705.0,2834.0,2696.0,2745.0,2752.0,2789.0,2731.0,2853.0,2779.0,2768.0,2916.0,2695.0,2972.0,2929.0,2794.0,2947.0,2807.0,2974.0,2786.0,2865.0
MethaneMonitoringHomeActivity,-960.0,-961.0,-948.0,-964.0,-946.0,927.0,895.0,911.0,910.0,919.0,915.0,931.0,906.0,919.0,915.0,894.0,926.0,919.0,900.0,918.0,910.0,905.0,913.0,933.0,917.0,907.0,889.0,892.0,912.0,900.0
MetroInterstateTrafficVolume,-504.0,-512.0,-513.0,-510.0,-504.0,514.0,514.0,482.0,523.0,521.0,515.0,515.0,507.0,489.0,499.0,511.0,508.0,504.0,509.0,479.0,507.0,523.0,499.0,507.0,511.0,502.0,513.0,512.0,462.0,459.0
NaturalGasPricesSentiment,-37.0,-37.0,-37.0,-37.0,-37.0,37.0,38.0,37.0,38.0,38.0,38.0,38.0,38.0,37.0,37.0,38.0,38.0,37.0,37.0,37.0,37.0,38.0,37.0,38.0,37.0,37.0,38.0,37.0,35.0,36.0
NewsHeadlineSentiment,-112321.0,-113352.0,-112717.0,-113876.0,-113363.0,101972.0,103262.0,103555.0,103144.0,102141.0,107063.0,106590.0,103706.0,105341.0,99934.0,106141.0,102524.0,110057.0,105607.0,105318.0,106161.0,105705.0,107688.0,108628.0,129029.0,109002.0,104589.0,106012.0,108816.0,127793.0
NewsTitleSentiment,-115511.0,-109883.0,-110124.0,-111018.0,-113382.0,103805.0,103871.0,100772.0,101867.0,100296.0,110823.0,104827.0,108018.0,106227.0,116038.0,113047.0,106222.0,110273.0,104630.0,103956.0,117612.0,106343.0,104723.0,107662.0,111850.0,105659.0,110726.0,105954.0,106422.0,109234.0
OccupancyDetectionLight,-223.0,-226.0,-228.0,-229.0,-228.0,236.0,233.0,231.0,230.0,230.0,230.0,231.0,231.0,225.0,216.0,222.0,215.0,215.0,209.0,218.0,222.0,216.0,215.0,213.0,217.0,212.0,213.0,214.0,216.0,220.0
PPGDalia_eq,-202735.0,-205456.0,-210358.0,-207200.0,-203221.0,186662.0,188643.0,193279.0,190534.0,188202.0,186280.0,188896.0,187843.0,185293.0,184391.0,191083.0,193833.0,187704.0,187796.0,188866.0,188539.0,192261.0,191348.0,192013.0,185529.0,186822.0,193907.0,191590.0,189588.0,196348.0
ParkingBirmingham_eq,-204.0,-192.0,-193.0,-195.0,-196.0,214.0,215.0,216.0,208.0,209.0,208.0,207.0,210.0,207.0,206.0,206.0,204.0,208.0,208.0,210.0,208.0,206.0,189.0,191.0,189.0,190.0,209.0,214.0,216.0,220.0
PhosphorusConcentration,-20863.0,-20516.0,-21303.0,-21232.0,-20747.0,20330.0,20003.0,20045.0,20111.0,20215.0,20718.0,20410.0,20840.0,21033.0,21176.0,20445.0,19690.0,20555.0,20982.0,20680.0,20428.0,20216.0,21433.0,20442.0,20472.0,22188.0,21417.0,20708.0,20705.0,19707.0
PotassiumConcentration,-21017.0,-21281.0,-20968.0,-20890.0,-21626.0,19520.0,19782.0,19726.0,21564.0,20204.0,19571.0,21184.0,20803.0,19711.0,20592.0,21333.0,20267.0,20768.0,20451.0,20196.0,21819.0,20048.0,19742.0,21033.0,20398.0,21918.0,20965.0,21608.0,21229.0,20730.0
PrecipitationAndalusia_nmv,-2820.0,-2692.0,-2730.0,-2776.0,-2729.0,2717.0,2928.0,2704.0,2788.0,2950.0,2900.0,2812.0,2920.0,2680.0,2854.0,2841.0,2762.0,2743.0,2858.0,2801.0,2894.0,2849.0,2774.0,2887.0,2651.0,2662.0,2631.0,2602.0,2624.0,2696.0
SierraNevadaMountainsSnow,-203.0,-207.0,-207.0,-204.0,-213.0,196.0,195.0,197.0,195.0,200.0,195.0,196.0,195.0,196.0,197.0,195.0,197.0,192.0,196.0,198.0,197.0,197.0,196.0,199.0,194.0,201.0,202.0,203.0,203.0,201.0
SodiumConcentration,-2840.0,-2839.0,-3099.0,-2984.0,-3037.0,2676.0,2650.0,2622.0,2656.0,2680.0,2678.0,2779.0,2759.0,2673.0,2746.0,2808.0,2741.0,2756.0,2863.0,2740.0,2697.0,2830.0,2739.0,2738.0,2831.0,2742.0,2704.0,2757.0,2851.0,2693.0
