Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,650.0,549.0,-952.0,-724.0,-999.0,543.0,580.0,545.0,763.0,538.0,550.0,563.0,515.0,551.0,553.0,540.0,507.0,543.0,1444.0,556.0,811.0,760.0,712.0,740.0,718.0,731.0,703.0,791.0,720.0,726.0
AluminiumConcentration,4731.0,4528.0,-6323.0,-4853.0,-5259.0,4557.0,4567.0,4501.0,4797.0,4751.0,4419.0,4427.0,4494.0,4626.0,4694.0,4224.0,4611.0,4243.0,4490.0,4596.0,5082.0,5060.0,4989.0,5121.0,5191.0,5425.0,5396.0,5285.0,5299.0,5367.0
AppliancesEnergy,1608.0,1661.0,-2648.0,-2487.0,-2442.0,1715.0,1723.0,1752.0,1732.0,1644.0,1665.0,1761.0,1689.0,1687.0,1683.0,1643.0,1757.0,1697.0,1718.0,1608.0,1154.0,2112.0,2039.0,2024.0,2059.0,2079.0,2071.0,2103.0,2071.0,2116.0
AustraliaRainfall,53452.0,63457.0,-85483.0,-81760.0,-83373.0,56287.0,57358.0,56888.0,86385.0,59691.0,56113.0,55697.0,56023.0,60507.0,108778.0,82358.0,96706.0,83512.0,104239.0,63726.0,65784.0,69748.0,69356.0,67623.0,69392.0,69697.0,69774.0,70565.0,70342.0,64418.0
BIDMC32HR,169618.0,165006.0,-220595.0,-193935.0,-162676.0,84303.0,164860.0,166128.0,170925.0,161876.0,159864.0,166052.0,194314.0,167087.0,166280.0,165169.0,167251.0,158692.0,156601.0,164778.0,165460.0,81907.0,80635.0,83503.0,82920.0,84516.0,80522.0,82725.0,82981.0,81724.0
BIDMC32RR,168483.0,161016.0,-197291.0,-218184.0,-223077.0,81473.0,165780.0,174400.0,167247.0,179560.0,161256.0,168724.0,164957.0,167501.0,168399.0,167253.0,159742.0,164697.0,168155.0,193885.0,169788.0,80555.0,312631.0,82839.0,82961.0,84356.0,82206.0,82823.0,82065.0,84517.0
BIDMC32SpO2,168308.0,170018.0,-216514.0,-195128.0,-199555.0,84055.0,157608.0,166014.0,167297.0,162870.0,163074.0,154294.0,167106.0,160708.0,165614.0,157419.0,165270.0,162955.0,166916.0,157998.0,161173.0,83340.0,82596.0,84928.0,84393.0,84195.0,82341.0,86799.0,85671.0,82955.0
BarCrawl6min,908.0,870.0,-1399.0,-1444.0,-1107.0,637.0,940.0,871.0,923.0,944.0,914.0,886.0,920.0,896.0,908.0,853.0,897.0,1042.0,887.0,1992.0,926.0,1237.0,1210.0,1216.0,1291.0,1211.0,1214.0,1161.0,1187.0,1194.0
BeijingIntAirportPM25Quality,1358.0,1174.0,-1594.0,-1577.0,-2133.0,1026.0,1446.0,1248.0,1281.0,1287.0,1266.0,1274.0,1312.0,1252.0,1290.0,1264.0,1271.0,1879.0,1259.0,1320.0,1370.0,1699.0,1691.0,1800.0,1804.0,1785.0,1703.0,1683.0,1736.0,1755.0
BeijingPM10Quality_nmv,15197.0,15035.0,-20320.0,-20075.0,-17355.0,8416.0,15253.0,15101.0,15746.0,14023.0,15019.0,15135.0,15501.0,15657.0,14932.0,15063.0,17266.0,14933.0,15056.0,15074.0,14944.0,18821.0,18868.0,19643.0,19290.0,18899.0,19945.0,18654.0,18863.0,19320.0
