Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,266.0,260.0,267.0,274.0,266.0,269.0,265.0,271.0,264.0,264.0,266.0,270.0,238.0,248.0,238.0,235.0,250.0,238.0,234.0,240.0,237.0,237.0,244.0,261.0,261.0,261.0,267.0,242.0,265.0,265.0
AluminiumConcentration,4271.0,4195.0,4319.0,4509.0,4310.0,4535.0,4295.0,4406.0,4427.0,4335.0,4378.0,4492.0,4364.0,4263.0,4398.0,4226.0,4303.0,4492.0,4240.0,4359.0,4352.0,4318.0,5128.0,5104.0,5073.0,5077.0,5040.0,5084.0,5192.0,4998.0
AppliancesEnergy,1529.0,1531.0,1556.0,1549.0,1544.0,1565.0,1596.0,1539.0,1544.0,1580.0,1568.0,1576.0,1544.0,1553.0,1528.0,1556.0,1554.0,1588.0,1549.0,1369.0,1359.0,1356.0,1372.0,1353.0,1370.0,1361.0,1348.0,1353.0,1355.0,1368.0
AustraliaRainfall,47675.0,47770.0,49344.0,48856.0,48890.0,48928.0,48526.0,49004.0,49251.0,53140.0,52557.0,52309.0,52563.0,53077.0,52232.0,53291.0,52284.0,52510.0,52251.0,51983.0,53347.0,52325.0,52867.0,52327.0,52828.0,52577.0,53139.0,52896.0,52080.0,52344.0
BIDMC32HR,171307.0,167877.0,171181.0,171853.0,171062.0,176076.0,172800.0,173780.0,171834.0,175537.0,168745.0,170183.0,170146.0,171310.0,172387.0,170616.0,176453.0,171993.0,167765.0,172415.0,172143.0,170596.0,173564.0,201223.0,202862.0,200319.0,202730.0,201670.0,203007.0,202456.0
BIDMC32RR,190013.0,197865.0,193902.0,194685.0,196567.0,196153.0,195188.0,192874.0,194763.0,194358.0,199774.0,173466.0,173577.0,177560.0,173936.0,173538.0,177091.0,170508.0,166825.0,170658.0,171552.0,169331.0,170328.0,170269.0,193798.0,196599.0,193896.0,191743.0,194456.0,196596.0
BIDMC32SpO2,169789.0,169724.0,175493.0,176825.0,172320.0,173991.0,173320.0,173608.0,171844.0,172964.0,196648.0,196969.0,195531.0,199777.0,202291.0,195214.0,196877.0,198058.0,201309.0,196969.0,196909.0,193841.0,197459.0,199087.0,197475.0,199486.0,200637.0,199531.0,197923.0,196745.0
BarCrawl6min,696.0,687.0,686.0,694.0,692.0,695.0,681.0,716.0,684.0,679.0,693.0,592.0,610.0,611.0,610.0,610.0,600.0,608.0,624.0,596.0,611.0,614.0,713.0,706.0,704.0,717.0,695.0,692.0,685.0,703.0
BeijingIntAirportPM25Quality,898.0,923.0,924.0,928.0,890.0,889.0,899.0,886.0,890.0,895.0,877.0,890.0,886.0,877.0,894.0,875.0,887.0,878.0,879.0,900.0,878.0,892.0,874.0,888.0,893.0,899.0,884.0,885.0,904.0,887.0
BeijingPM10Quality_nmv,16049.0,15814.0,15884.0,16072.0,15986.0,16021.0,16079.0,15967.0,15763.0,16093.0,15954.0,15934.0,15844.0,15686.0,15890.0,15930.0,16132.0,15862.0,15753.0,16300.0,15708.0,15868.0,15831.0,15808.0,15750.0,16116.0,15947.0,14155.0,14155.0,14066.0
