Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-1415.0,-1389.0,-1385.0,-1367.0,-1377.0,-1378.0,-1383.0,-1370.0,-1373.0,-1394.0,-1379.0,-1378.0,-1399.0,-1362.0,-1384.0,-1367.0,-1376.0,-1373.0,-1375.0,-1370.0,-1361.0,-1364.0,-1398.0,-1261.0,-1270.0,-1246.0,-1266.0,-1255.0,-1269.0,-1262.0
AluminiumConcentration,-12597.0,-12613.0,-12163.0,-12673.0,-12400.0,-12694.0,-12865.0,-12725.0,-11884.0,-11807.0,-13120.0,-11881.0,-11879.0,-12193.0,-12064.0,-11760.0,-12280.0,-13155.0,-11852.0,-15433.0,-15263.0,-14480.0,-20088.0,-19433.0,-18431.0,-14441.0,-15222.0,-17250.0,-17882.0,-18206.0
AppliancesEnergy,-9999.0,-9916.0,-9933.0,-9988.0,-9835.0,-9923.0,-9777.0,-9906.0,-10096.0,-10247.0,-10114.0,-10210.0,-10177.0,-10129.0,-10173.0,-10190.0,-10149.0,-10264.0,-10162.0,-10096.0,-10091.0,-10001.0,-10028.0,-9967.0,-10126.0,-10304.0,-10156.0,-10268.0,-10284.0,-10169.0
AustraliaRainfall,-58087.0,-58193.0,-60656.0,-66642.0,-60121.0,-59484.0,-64017.0,-65125.0,-64542.0,-61100.0,-75416.0,-62233.0,-63187.0,-60184.0,-60367.0,-76325.0,-75467.0,-64954.0,-74249.0,-62629.0,-69830.0,-62122.0,-64421.0,-61304.0,-70025.0,-70461.0,-66257.0,-69574.0,-63455.0,-65545.0
BIDMC32HR,-260768.0,-264427.0,-283575.0,-253721.0,-287376.0,-275862.0,-332951.0,-328793.0,-331642.0,-368805.0,-313355.0,-282614.0,-326663.0,-265068.0,-266782.0,-259300.0,-249814.0,-275136.0,-276971.0,-257824.0,-335029.0,-278297.0,-298284.0,-294013.0,-261470.0,-284187.0,-342821.0,-320898.0,-253628.0,-319393.0
BIDMC32RR,-248578.0,-242549.0,-300337.0,-341178.0,-310577.0,-312795.0,-268559.0,-284315.0,-301250.0,-275215.0,-344112.0,-310139.0,-309710.0,-346497.0,-286958.0,-310974.0,-270087.0,-264386.0,-250537.0,-303420.0,-287349.0,-289582.0,-249227.0,-254719.0,-266628.0,-287734.0,-338106.0,-263530.0,-271864.0,-304061.0
BIDMC32SpO2,-357018.0,-374558.0,-330599.0,-264801.0,-299581.0,-246532.0,-279335.0,-274197.0,-298201.0,-356428.0,-252392.0,-333716.0,-303382.0,-306137.0,-357714.0,-294102.0,-248808.0,-298870.0,-274721.0,-270807.0,-279624.0,-249975.0,-307307.0,-302286.0,-253361.0,-273933.0,-284193.0,-269332.0,-339398.0,-333316.0
BarCrawl6min,-3725.0,-3760.0,-3766.0,-3730.0,-3845.0,-3784.0,-3784.0,-3781.0,-3798.0,-3583.0,-3691.0,-3811.0,-3846.0,-3771.0,-3767.0,-3809.0,-3757.0,-3679.0,-3816.0,-3748.0,-3718.0,-3773.0,-3712.0,-3449.0,-3435.0,-3444.0,-3477.0,-3458.0,-3445.0,-3453.0
BeijingIntAirportPM25Quality,-1565.0,-1569.0,-1553.0,-1584.0,-1564.0,-1537.0,-1513.0,-1514.0,-1501.0,-1537.0,-1513.0,-1524.0,-1502.0,-1519.0,-1533.0,-1505.0,-1514.0,-1518.0,-1507.0,-1495.0,-1502.0,-1503.0,-1488.0,-1475.0,-1503.0,-1487.0,-1516.0,-1487.0,-1488.0,-1476.0
BeijingPM10Quality_nmv,-17993.0,-17468.0,-17298.0,-17705.0,-17547.0,-17712.0,-17877.0,-19977.0,-19678.0,-18518.0,-20122.0,-19997.0,-19529.0,-20105.0,-19955.0,-19979.0,-20016.0,-20347.0,-19797.0,-19688.0,-19896.0,-20381.0,-20213.0,-20065.0,-20346.0,-19656.0,-20319.0,-20371.0,-19955.0,-20688.0
BeijingPM25Quality_nmv,-18983.0,-18518.0,-18519.0,-18938.0,-18764.0,-19275.0,-21081.0,-21037.0,-21180.0,-20804.0,-21070.0,-20879.0,-21082.0,-21245.0,-20411.0,-18044.0,-19255.0,-20739.0,-20655.0,-20454.0,-20831.0,-20036.0,-19583.0,-20662.0,-19594.0,-20035.0,-20246.0,-20092.0,-19397.0,-19177.0
BenzeneConcentration_nmv,-160567.0,-156117.0,-154872.0,-158886.0,-157444.0,-160462.0,-155049.0,-159812.0,-156857.0,-160724.0,-160398.0,-158230.0,-161619.0,-147635.0,-148181.0,-136761.0,-140671.0,-146937.0,-145404.0,-138845.0,-147014.0,-147358.0,-147587.0,-141817.0,-146096.0,-141856.0,-148358.0,-145763.0,-146067.0,-144158.0
BinanceCoinSentiment,-220.0,-222.0,-204.0,-201.0,-205.0,-201.0,-203.0,-201.0,-201.0,-200.0,-205.0,-205.0,-207.0,-206.0,-203.0,-202.0,-203.0,-204.0,-201.0,-202.0,-201.0,-204.0,-205.0,-201.0,-199.0,-201.0,-197.0,-200.0,-200.0,-198.0
BitcoinSentiment,-231.0,-235.0,-215.0,-215.0,-217.0,-215.0,-220.0,-219.0,-217.0,-215.0,-217.0,-219.0,-216.0,-221.0,-220.0,-216.0,-217.0,-223.0,-226.0,-223.0,-217.0,-218.0,-217.0,-221.0,-213.0,-213.0,-213.0,-220.0,-213.0,-214.0
BoronConcentration,-12655.0,-12433.0,-12250.0,-13295.0,-12156.0,-13091.0,-12180.0,-12013.0,-14839.0,-12575.0,-14455.0,-13321.0,-12889.0,-13858.0,-12723.0,-12074.0,-12008.0,-12368.0,-11924.0,-13098.0,-12862.0,-14140.0,-13366.0,-13880.0,-12655.0,-12087.0,-11539.0,-11573.0,-11756.0,-11661.0
CalciumConcentration,-13597.0,-13745.0,-10887.0,-10607.0,-13125.0,-11454.0,-10537.0,-11269.0,-11260.0,-10896.0,-12477.0,-11077.0,-11320.0,-10729.0,-11592.0,-10634.0,-10775.0,-10879.0,-11581.0,-11311.0,-11248.0,-12550.0,-11226.0,-11454.0,-11209.0,-12804.0,-11597.0,-12343.0,-11665.0,-11317.0
CardanoSentiment,-165.0,-168.0,-167.0,-169.0,-167.0,-168.0,-181.0,-183.0,-168.0,-164.0,-165.0,-168.0,-171.0,-166.0,-163.0,-165.0,-165.0,-170.0,-164.0,-165.0,-166.0,-170.0,-167.0,-164.0,-167.0,-165.0,-163.0,-167.0,-163.0,-165.0
ChilledWaterPredictor,-3063.0,-3040.0,-2978.0,-3020.0,-2957.0,-3057.0,-2932.0,-2789.0,-3102.0,-2687.0,-2695.0,-2700.0,-2735.0,-2701.0,-2689.0,-2665.0,-2661.0,-2635.0,-2716.0,-2699.0,-2690.0,-2707.0,-2702.0,-2703.0,-2673.0,-2641.0,-2661.0,-2689.0,-2675.0,-2652.0
CopperConcentration,-13927.0,-12772.0,-11974.0,-11888.0,-11765.0,-11988.0,-11917.0,-11740.0,-14059.0,-14132.0,-12750.0,-12872.0,-11705.0,-11807.0,-11692.0,-12081.0,-11700.0,-11665.0,-13420.0,-13324.0,-13338.0,-11992.0,-11730.0,-13655.0,-11739.0,-13055.0,-11990.0,-11713.0,-11922.0,-12056.0
Covid19Andalusia,-312.0,-317.0,-317.0,-327.0,-326.0,-328.0,-329.0,-329.0,-330.0,-328.0,-329.0,-327.0,-330.0,-329.0,-331.0,-331.0,-330.0,-318.0,-320.0,-322.0,-328.0,-327.0,-322.0,-324.0,-319.0,-326.0,-321.0,-324.0,-324.0,-323.0
Covid3Month,-279.0,-280.0,-259.0,-268.0,-278.0,-273.0,-291.0,-308.0,-286.0,-301.0,-298.0,-279.0,-288.0,-281.0,-281.0,-288.0,-288.0,-285.0,-285.0,-287.0,-282.0,-285.0,-289.0,-289.0,-285.0,-278.0,-289.0,-282.0,-297.0,-290.0
DailyOilGasPrices,-232.0,-230.0,-231.0,-232.0,-233.0,-225.0,-229.0,-226.0,-245.0,-230.0,-228.0,-230.0,-229.0,-228.0,-228.0,-228.0,-225.0,-231.0,-229.0,-227.0,-226.0,-228.0,-228.0,-227.0,-227.0,-226.0,-226.0,-228.0,-225.0,-228.0
DailyTemperatureLatitude,-56706.0,-59995.0,-58384.0,-61772.0,-57572.0,-61247.0,-61240.0,-60665.0,-59422.0,-61984.0,-61932.0,-61920.0,-56808.0,-59896.0,-60937.0,-60949.0,-60257.0,-60220.0,-100455.0,-98744.0,-101516.0,-101564.0,-101301.0,-105318.0,-100263.0,-105213.0,-105328.0,-101253.0,-102867.0,-103860.0
DhakaHourlyAirQuality,-385.0,-385.0,-363.0,-362.0,-356.0,-355.0,-360.0,-357.0,-354.0,-364.0,-367.0,-363.0,-366.0,-359.0,-370.0,-362.0,-366.0,-364.0,-366.0,-363.0,-363.0,-369.0,-334.0,-334.0,-336.0,-336.0,-338.0,-341.0,-335.0,-335.0
ElectricMotorTemperature,-44209.0,-44002.0,-33985.0,-36740.0,-38121.0,-33114.0,-38121.0,-38092.0,-38299.0,-36742.0,-36397.0,-38359.0,-33304.0,-37572.0,-32356.0,-33142.0,-36824.0,-35554.0,-35460.0,-36081.0,-35538.0,-36559.0,-35547.0,-35872.0,-37968.0,-38511.0,-36303.0,-35536.0,-38872.0,-35810.0
