Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-908.0,-985.0,-1016.0,-949.0,-1272.0,754.0,771.0,777.0,789.0,749.0,779.0,753.0,734.0,759.0,733.0,748.0,795.0,737.0,735.0,781.0,743.0,801.0,759.0,773.0,749.0,779.0,773.0,736.0,768.0,750.0
AluminiumConcentration,-9952.0,-9616.0,-11785.0,-5914.0,-9442.0,4678.0,4422.0,4622.0,4713.0,4694.0,4626.0,4632.0,4632.0,4645.0,4587.0,4684.0,4725.0,4638.0,4687.0,4691.0,4644.0,4617.0,4590.0,4707.0,4741.0,4725.0,4587.0,4657.0,4605.0,4580.0
AppliancesEnergy,-1768.0,-1818.0,-1813.0,-1891.0,-1895.0,1771.0,1726.0,1759.0,1706.0,1683.0,1759.0,1808.0,2469.0,1847.0,1755.0,1841.0,1825.0,1774.0,1797.0,1768.0,1704.0,1704.0,1799.0,1830.0,1736.0,1795.0,1733.0,1744.0,1733.0,1772.0
AustraliaRainfall,52689.0,-104139.0,-69347.0,-56892.0,-63536.0,45052.0,46612.0,47659.0,47348.0,47954.0,45260.0,46963.0,45548.0,43634.0,48773.0,46988.0,45059.0,54082.0,45603.0,47669.0,45009.0,47797.0,44710.0,47375.0,47570.0,47076.0,49038.0,46875.0,53388.0,62212.0
BIDMC32HR,-155866.0,-162124.0,-213986.0,-354842.0,-214128.0,212157.0,169999.0,213858.0,207297.0,208886.0,205977.0,207046.0,193561.0,190542.0,186821.0,215782.0,193833.0,212274.0,191592.0,214584.0,215974.0,191397.0,166559.0,207532.0,209358.0,209277.0,231025.0,191099.0,197385.0,191436.0
BIDMC32RR,-170794.0,-158238.0,-226500.0,-226253.0,-219453.0,196268.0,191643.0,191536.0,210234.0,225573.0,212320.0,205759.0,213566.0,207845.0,224037.0,214791.0,214962.0,214141.0,162768.0,192749.0,189835.0,193643.0,193211.0,190231.0,191489.0,213523.0,210178.0,209819.0,208412.0,220879.0
BIDMC32SpO2,-154704.0,-377559.0,-172232.0,-230194.0,-225393.0,206235.0,215834.0,217435.0,213155.0,190575.0,188251.0,188395.0,188494.0,188872.0,191018.0,205026.0,203572.0,206991.0,213709.0,160906.0,212889.0,217342.0,217495.0,229236.0,219850.0,213232.0,160728.0,210807.0,194390.0,187517.0
BarCrawl6min,-1325.0,-1314.0,-1449.0,-1635.0,-1477.0,2246.0,1737.0,1185.0,1837.0,2659.0,1808.0,1840.0,1200.0,1845.0,1186.0,2032.0,1979.0,1215.0,1769.0,1873.0,1835.0,1179.0,1768.0,1794.0,1853.0,1179.0,1756.0,1864.0,1809.0,1213.0
BeijingIntAirportPM25Quality,-1340.0,-1531.0,-1510.0,-1467.0,-1557.0,1512.0,2467.0,2447.0,2201.0,1566.0,1548.0,1600.0,2336.0,2283.0,2217.0,1517.0,1493.0,2710.0,2161.0,2157.0,1561.0,1493.0,2092.0,2128.0,2130.0,1481.0,1519.0,1976.0,2102.0,2065.0
BeijingPM10Quality_nmv,-13618.0,-15329.0,-15406.0,-15746.0,-16293.0,16344.0,16345.0,18523.0,18970.0,18985.0,15946.0,15641.0,18481.0,19270.0,17993.0,16041.0,16094.0,18320.0,19008.0,18319.0,16454.0,16008.0,19380.0,19458.0,19331.0,17019.0,15956.0,19426.0,19463.0,16284.0
BeijingPM25Quality_nmv,-13672.0,-14008.0,-14170.0,-14025.0,-14100.0,19398.0,16179.0,16251.0,16317.0,20303.0,19449.0,20400.0,16368.0,16204.0,19637.0,19812.0,19695.0,16626.0,15939.0,18874.0,19267.0,16332.0,16146.0,18379.0,16618.0,16280.0,18579.0,19631.0,18969.0,19451.0
BenzeneConcentration_nmv,-98899.0,-94375.0,-204190.0,-118216.0,-216095.0,119494.0,118433.0,124339.0,121498.0,121036.0,122383.0,103940.0,102591.0,106531.0,101061.0,87838.0,128210.0,120209.0,120727.0,120057.0,120886.0,124281.0,101796.0,117901.0,103432.0,102246.0,117603.0,119661.0,116190.0,101400.0
