Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,-279.0,-280.0,-281.0,-285.0,-281.0,230.0,247.0,241.0,240.0,236.0,250.0,241.0,247.0,241.0,244.0,242.0,245.0,247.0,235.0,242.0,249.0,240.0,241.0,238.0,247.0,245.0,245.0,242.0,248.0,232.0
AluminiumConcentration,-4220.0,-4224.0,-4243.0,-4265.0,-4169.0,3972.0,4051.0,3975.0,3923.0,3897.0,3935.0,4248.0,4050.0,4273.0,3996.0,4120.0,4067.0,4182.0,4101.0,4146.0,3996.0,4100.0,4033.0,4147.0,4140.0,4092.0,4183.0,4043.0,4121.0,4149.0
AppliancesEnergy,-1331.0,-1369.0,-1345.0,-1359.0,-1350.0,1491.0,1517.0,1460.0,1473.0,1493.0,1542.0,1495.0,1501.0,1468.0,1493.0,1527.0,1486.0,1478.0,1500.0,1289.0,1291.0,1306.0,1295.0,1279.0,1276.0,1296.0,1275.0,1264.0,1289.0,1295.0
AustraliaRainfall,-43582.0,-44423.0,-45516.0,-44430.0,-44645.0,40408.0,40924.0,40947.0,40436.0,41350.0,40676.0,40048.0,40541.0,40220.0,40459.0,40640.0,40460.0,40932.0,39567.0,40483.0,40552.0,40629.0,40024.0,40291.0,40300.0,40583.0,40206.0,40019.0,40397.0,41375.0
BIDMC32HR,-174646.0,-172962.0,-169225.0,-168375.0,-166630.0,163295.0,164394.0,175223.0,175120.0,175655.0,176726.0,174188.0,176692.0,172945.0,177447.0,172030.0,175197.0,176455.0,169830.0,178028.0,173696.0,176909.0,174355.0,176844.0,172863.0,176543.0,176332.0,171171.0,173617.0,174465.0
BIDMC32RR,-174233.0,-167963.0,-169589.0,-169961.0,-175756.0,179369.0,178048.0,176709.0,172823.0,178303.0,175419.0,180157.0,174051.0,173823.0,169882.0,172358.0,172407.0,173315.0,170904.0,172002.0,178420.0,173465.0,173147.0,173585.0,175241.0,176783.0,173075.0,173999.0,179439.0,173780.0
BIDMC32SpO2,-177118.0,-166286.0,-168840.0,-170514.0,-167121.0,171399.0,150847.0,151752.0,155804.0,154594.0,156937.0,156621.0,156087.0,159015.0,160289.0,160904.0,154956.0,161188.0,155533.0,176507.0,170857.0,174164.0,171943.0,180130.0,171385.0,174699.0,174107.0,178623.0,174622.0,177506.0
BarCrawl6min,-716.0,-685.0,-714.0,-701.0,-691.0,606.0,612.0,637.0,621.0,652.0,633.0,627.0,624.0,609.0,623.0,619.0,623.0,619.0,620.0,621.0,634.0,627.0,616.0,621.0,581.0,567.0,558.0,565.0,556.0,575.0
BeijingIntAirportPM25Quality,-915.0,-927.0,-936.0,-926.0,-923.0,864.0,843.0,846.0,843.0,845.0,836.0,843.0,852.0,837.0,849.0,851.0,836.0,844.0,840.0,850.0,849.0,834.0,848.0,855.0,859.0,848.0,843.0,839.0,834.0,768.0
BeijingPM10Quality_nmv,-13515.0,-13605.0,-13596.0,-13662.0,-13577.0,13595.0,13415.0,13323.0,13361.0,13702.0,13500.0,13717.0,13397.0,13281.0,13669.0,13309.0,13340.0,13313.0,13320.0,13207.0,13255.0,13324.0,13278.0,13388.0,13705.0,13274.0,13459.0,13564.0,13305.0,13355.0
