Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AcousticContaminationMadrid_nmv,0.5509561628703923,0.5468407037985019,0.6655349435142823,0.5131502234483135,0.6008782435141793,0.7023915140859647,0.654353883389745,0.5883441632575654,0.6168393513029502,0.5464511216738188,0.6335278312450454,0.6483324492760938,0.5953021314797735,0.4652198572709437,0.6126857135795114,0.5749919545980852,0.5920067772919688,0.5101299497842643,0.6345974282100911,0.5873296481014199,0.508852256828896,0.5256180793240045,0.698433000593865,0.5473213619536184,0.5459100616541126,0.5973263940679163,0.6964096421502168,0.615930425766207,0.5842852853137914,0.6072735261136398
AluminiumConcentration,0.7336048485830194,0.719057013743472,0.718672271345274,0.7059450265484133,0.7029471594120369,0.7435797092119141,0.6977200023209709,0.7653836038132491,0.7087751954109498,0.6996727062544327,0.7145054557954753,0.7802118377732224,0.7324398163526449,0.7492263381074624,0.7632337389837544,0.721483723511732,0.7560904160694079,0.7612917956184619,0.7593321012011159,0.8002535769930876,0.6730638232371926,0.6820821192018042,0.7259445328852352,0.7101665955017487,0.6774300973821041,0.7158996991194887,0.7344981161013588,0.653421099822096,0.7929908070574004,0.7215128552765886
AppliancesEnergy,0.6312117343404493,0.6239746010396974,0.7300102447341374,0.6791227460602577,0.6434456658828456,0.6046492677786997,0.5762064082429044,0.6713321042153171,0.621021233851422,0.7073348447682154,0.6714444029805858,0.6492685757377125,0.6147027930335158,0.5740703718037066,0.5144255250140017,0.6986798001622685,0.6489475960461697,0.6104155387544523,0.6365043128268233,0.6972232201119951,0.6364421182446258,0.5493610916696283,0.5011512053745235,0.6606261123388943,0.695088495656092,0.6418468474484549,0.62137748707945,0.708732606480662,0.6482788447859038,0.6703281979911029
AustraliaRainfall,0.12432705096833296,0.01213695683596061,0.014332028260584329,0.0820656991344556,0.1654415058297245,0.14580348402582832,0.12470626334496826,0.1255471006302129,0.08976252631783477,0.15383386119056108,0.08764618743888009,0.12240287130979777,0.09033417864355042,0.08330845722742275,0.07098507710786361,0.1404026713467733,0.1494361272586242,0.11619205188942572,0.07395145722111529,0.012972165368793642,0.012486844393910346,0.09711209578825797,0.013314842602149435,0.013029411641995226,0.15960646064298656,0.011804605513717648,0.06813661704724017,0.09154176336860897,0.12367762715888198,0.01391954650555094
BIDMC32HR,0.6757331227889327,0.9928280665106112,0.9923355315474004,0.9951033060072744,0.99312938513835,0.9955248030508511,0.9940682778551366,0.9941402907531142,0.9920729581593252,0.9943783121247978,0.9930683097272365,0.9945317569890949,0.9946265863174871,0.9957401725778536,0.9944012698984414,0.9926617028361585,0.9951791761001301,0.9951508895720326,0.9938843763027817,0.9941666974718368,0.9926271330063634,0.9928552832325707,0.9949574241638379,0.9917590433723982,0.9929417592159832,0.9945627124863848,0.9935489753340218,0.9925204987918371,0.9947750076067868,0.9917584583015284
BIDMC32RR,-0.5266850212151457,0.933102768461881,0.9260606349009083,0.9314736993882172,0.925419469504596,0.9233838002196916,0.9387890143572925,0.9266785332348244,0.933448546502072,0.925857707757328,0.9288593567138348,0.9290223808340465,0.9272896277596815,0.9233182432526738,0.9416762872654856,0.9330577050713208,0.9217568125603891,0.9354460808757787,0.9282270902036965,0.9289755079205325,0.9298525494137475,0.9287639749365125,0.9271968878292719,0.9389868167403961,0.9247770663780926,0.9286578193504993,0.9410709900059845,0.9308391526025599,0.9351531215406292,0.9324203799257447
BIDMC32SpO2,-0.07268363971057545,0.9939285271288107,0.9933753831438797,0.9932501474044009,0.9932822869868794,0.9935933507042974,0.9926796951152194,0.9932578142520355,0.993596193679251,0.9934632928074287,0.9935746018480232,0.9922194384232811,0.9934436083560436,0.9935587607460619,0.9931434484277358,0.9940096414695773,0.9932440152898505,0.9937387755081645,0.993320789439396,0.9937580606450497,0.9933772789456128,0.9930212505829787,0.9937570415704577,0.9933209097674609,0.9944415456282679,0.9931393760320792,0.9935125652981667,0.9932440709601892,0.9929880905884231,0.9939114030609506
BarCrawl6min,0.44579994072037,0.3193825923011132,0.45568723637722397,0.45886748464552374,0.18972636142220456,0.43449499849468376,0.28726623204405677,0.4715955026299945,0.43410568964210083,0.3092652715828047,0.09050625572428639,0.30809658950118957,0.2937892337540824,0.2946220153598731,0.4008830294878708,0.3831333277829274,0.40820967099423333,0.4393763242869315,0.2790181607545166,0.2770408853644638,0.2980451550440044,0.449409670757566,0.39830539744678184,0.31305734451985934,0.3772338106606796,0.221375229183834,0.40658233937620825,0.27858283807375117,0.25417641649666367,0.3680498000821997
BeijingIntAirportPM25Quality,0.5576425554802655,0.49844976368324245,0.5266723704232752,0.5078330944669005,0.5170726355662469,0.5111467513380817,0.5380471469099508,0.5110966006280038,0.4957495270583757,0.5409219342280052,0.5387899366859643,0.5326849041596124,0.5272447619741966,0.5553670095000991,0.4878309071637478,0.5289455675529549,0.5237994197429363,0.4975957328874345,0.5088370430082434,0.5323844527743362,0.5254224892710659,0.5397533532081693,0.5153069993851926,0.5162099123958457,0.5196528919329515,0.46623992817148296,0.5154427165451718,0.526107285540741,0.5039828281259615,0.5238757989122887
BeijingPM10Quality_nmv,0.49046870626408756,0.6850312155197459,0.7052072761350607,0.7177742653086479,0.7109822668596086,0.7160226880992667,0.7068314879574314,0.7014113512940697,0.7089806361588176,0.7016314462882975,0.7131009227534073,0.7047695436555361,0.7024293534797234,0.7051572912185692,0.6867578405176198,0.6804212807175426,0.7241338225010914,0.7123219681064661,0.7034036299058085,0.7099671107788335,0.7149532733810012,0.7105084623426388,0.6958098622038427,0.6932015212843321,0.6872249477926533,0.6966007135597714,0.7163874284419873,0.6872609082967127,0.6942038815920539,0.7187400660417689
